M, r
0.506394, 0.256435
0.504443, 0.254463
0.508755, 0.258831
0.495046, 0.245071
0.496316, 0.24633
0.494172, 0.244206
0.519626, 0.270011
0.507667, 0.257726
0.499832, 0.249832
0.479892, 0.230296
0.487692, 0.237844
0.502079, 0.252084
0.504753, 0.254775
0.4978, 0.247804
0.496562, 0.246574
0.532399, 0.283449
0.49981, 0.24981
0.503297, 0.253308
0.509246, 0.259332
0.499007, 0.249008
0.501274, 0.251276
0.511763, 0.261901
0.486083, 0.236277
0.489628, 0.239736
0.503194, 0.253204
0.47795, 0.228436
0.496298, 0.246312
0.495048, 0.245073
0.499263, 0.249263
0.499007, 0.249008
0.490177, 0.240273
0.495444, 0.245464
0.501311, 0.251313
0.499129, 0.24913
0.516872, 0.267157
0.504343, 0.254362
0.503421, 0.253433
0.506827, 0.256873
0.495832, 0.24585
0.503214, 0.253225
0.51567, 0.265915
0.512824, 0.262988
0.508854, 0.258932
0.49667, 0.246681
0.490493, 0.240584
0.507583, 0.25764
0.503761, 0.253775
0.507306, 0.25736
0.494679, 0.244708
0.520449, 0.270867
0.501708, 0.251711
0.495162, 0.245186
0.493983, 0.244019
0.507425, 0.25748
0.496111, 0.246126
0.498803, 0.248804
0.518368, 0.268705
0.517566, 0.267875
0.503198, 0.253208
0.502031, 0.252035
0.510872, 0.26099
0.517007, 0.267296
0.50619, 0.256228
0.498222, 0.248225
0.508099, 0.258165
0.508603, 0.258677
0.510104, 0.260206
0.481282, 0.231632
0.492337, 0.242396
0.499207, 0.249208
0.501181, 0.251183
0.471235, 0.222062
0.498296, 0.248299
0.501568, 0.25157
0.503942, 0.253958
0.492432, 0.242489
0.505474, 0.255504
0.511848, 0.261989
0.503865, 0.253879
0.516387, 0.266655
0.496154, 0.246168
0.481775, 0.232107
0.499685, 0.249686
0.486233, 0.236423
0.490011, 0.240111
0.497413, 0.247419
0.513333, 0.26351
0.505814, 0.255848
0.497363, 0.24737
0.503558, 0.253571
0.507477, 0.257533
0.492387, 0.242445
0.507029, 0.257079
0.498765, 0.248766
0.493712, 0.243751
0.500962, 0.250963
0.515827, 0.266077
0.48599, 0.236186
0.522354, 0.272854
0.496262, 0.246276
