no. repeat, chi2, ignore
1, 106.22, 0
2, 114.08, 0
3, 75.42, 0
4, 97.4, 0
5, 111.76, 0
6, 116.88, 0
7, 93.94, 0
8, 90.1, 0
9, 106, 0
10, 107.22, 0
11, 93.22, 0
12, 94.46, 0
13, 81.64, 0
14, 98.98, 0
15, 101.24, 0
16, 128.44, 0
17, 100.74, 0
18, 102.82, 0
19, 111.18, 0
20, 99.68, 0
21, 114.6, 0
22, 138.42, 0
23, 71.04, 0
24, 102.36, 0
25, 94.2, 0
26, 104.2, 0
27, 111.74, 0
28, 104.62, 0
29, 105.08, 0
30, 84.16, 0
31, 99.84, 0
32, 92.58, 0
33, 82.06, 0
34, 103.34, 0
35, 102.38, 0
36, 122.26, 0
37, 101.34, 0
38, 112.28, 0
39, 101.7, 0
40, 101.88, 0
41, 110.4, 0
42, 84.28, 0
43, 79.88, 0
44, 83.32, 0
45, 80.96, 0
46, 94.88, 0
47, 75.04, 0
48, 110.72, 0
49, 107.66, 0
50, 86.9, 0
51, 108.78, 0
52, 73.24, 0
53, 128.68, 0
54, 104.84, 0
55, 107.82, 0
56, 71.48, 0
57, 103.7, 0
58, 125.1, 0
59, 102.1, 0
60, 120.16, 0
61, 84.46, 0
62, 101.06, 0
63, 89.98, 0
64, 103.4, 0
65, 111.04, 0
66, 106.16, 0
67, 100.18, 0
68, 98.96, 0
69, 92.64, 0
70, 79.42, 0
71, 87.66, 0
72, 121.52, 0
73, 142.1, 0
74, 93.5, 0
75, 91.02, 0
76, 88.46, 0
77, 132.3, 0
78, 102.06, 0
79, 88.92, 0
80, 99.36, 0
81, 108.58, 0
82, 99.08, 0
83, 111.32, 0
84, 99.8, 0
85, 81.18, 0
86, 97.44, 0
87, 99.18, 0
88, 87.68, 0
89, 92.76, 0
90, 96.98, 0
91, 99.3, 0
92, 91.64, 0
93, 103.32, 0
94, 87.2, 0
95, 111.36, 0
96, 98.74, 0
97, 107.74, 0
98, 116.38, 0
99, 89.22, 0
100, 102.5, 0
