M, r_mean(M), r_mean_std(M)
1000, 0.50185, 0
2000, 0.499017, 0.00283363
3000, 0.4965, 0.00300152
4000, 0.495641, 0.00228968
5000, 0.497384, 0.00248665
6000, 0.499357, 0.00283103
7000, 0.49907, 0.00240986
8000, 0.49836, 0.00220424
9000, 0.498321, 0.00194434
10000, 0.497633, 0.00187037
11000, 0.49908, 0.00222618
12000, 0.498902, 0.00204002
13000, 0.499341, 0.00192734
14000, 0.500301, 0.00202598
15000, 0.50015, 0.00189212
16000, 0.500916, 0.00192885
17000, 0.500817, 0.00181457
18000, 0.500825, 0.00171081
19000, 0.500056, 0.0017914
20000, 0.500534, 0.00176539
21000, 0.500948, 0.00172949
22000, 0.501301, 0.00168645
23000, 0.500437, 0.00182882
24000, 0.500833, 0.00179525
25000, 0.499882, 0.00196691
26000, 0.499722, 0.00189654
27000, 0.499835, 0.00182844
28000, 0.499399, 0.00181497
29000, 0.500095, 0.0018844
30000, 0.499556, 0.00189858
31000, 0.499346, 0.00184836
32000, 0.499351, 0.00178968
33000, 0.499156, 0.0017455
34000, 0.499266, 0.00169693
35000, 0.499221, 0.00164835
36000, 0.498783, 0.00166077
37000, 0.49928, 0.00169028
38000, 0.499229, 0.00164601
39000, 0.499428, 0.00161559
40000, 0.499852, 0.00163072
41000, 0.49975, 0.00159371
42000, 0.499817, 0.00155675
43000, 0.499738, 0.00152216
44000, 0.499722, 0.00148725
45000, 0.499651, 0.00145555
46000, 0.499432, 0.00144035
47000, 0.499312, 0.00141449
48000, 0.499186, 0.00139043
49000, 0.498946, 0.00138268
50000, 0.498717, 0.00137406
51000, 0.498625, 0.00134994
52000, 0.498648, 0.00132392
53000, 0.499024, 0.00135199
54000, 0.498892, 0.00133332
55000, 0.498472, 0.00137449
56000, 0.498411, 0.00135111
57000, 0.498795, 0.00138167
58000, 0.498914, 0.00136282
59000, 0.499019, 0.00134364
60000, 0.499086, 0.00132279
61000, 0.499112, 0.00130117
62000, 0.499136, 0.00128024
63000, 0.499329, 0.00127444
64000, 0.499285, 0.00125513
65000, 0.499066, 0.00125505
66000, 0.498918, 0.00124462
67000, 0.498937, 0.00122604
68000, 0.498952, 0.00120797
69000, 0.49891, 0.00119108
70000, 0.4989, 0.00117399
71000, 0.498984, 0.00116039
72000, 0.499207, 0.00116583
73000, 0.499159, 0.00115077
74000, 0.499108, 0.00113624
75000, 0.498874, 0.00114513
76000, 0.49901, 0.00113801
77000, 0.498827, 0.00113791
78000, 0.498873, 0.0011242
79000, 0.499019, 0.0011194
80000, 0.49895, 0.0011075
81000, 0.499167, 0.00111507
82000, 0.499205, 0.00110207
83000, 0.49911, 0.00109285
84000, 0.499339, 0.00110368
85000, 0.499357, 0.00109076
86000, 0.499223, 0.00108622
87000, 0.49925, 0.001074
88000, 0.499229, 0.00106193
89000, 0.499234, 0.00104994
90000, 0.49924, 0.00103823
91000, 0.499255, 0.00102686
92000, 0.499341, 0.00101929
93000, 0.499375, 0.00100885
94000, 0.499444, 0.00100043
95000, 0.499363, 0.000993163
96000, 0.499322, 0.000983595
97000, 0.499285, 0.000974134
98000, 0.499336, 0.000965532
99000, 0.499318, 0.000955901
100000, 0.499236, 0.000949875
