N, r_mean(N), r_mean_std(N)
1, 0.50185, 0
2, 0.499017, 0.00283363
3, 0.4965, 0.00300152
4, 0.495641, 0.00228968
5, 0.497384, 0.00248665
6, 0.499357, 0.00283103
7, 0.49907, 0.00240986
8, 0.49836, 0.00220424
9, 0.498321, 0.00194434
10, 0.497633, 0.00187037
11, 0.49908, 0.00222618
12, 0.498902, 0.00204002
13, 0.499341, 0.00192734
14, 0.500301, 0.00202598
15, 0.50015, 0.00189212
16, 0.500916, 0.00192885
17, 0.500817, 0.00181457
18, 0.500825, 0.00171081
19, 0.500056, 0.0017914
20, 0.500534, 0.00176539
21, 0.500948, 0.00172949
22, 0.501301, 0.00168645
23, 0.500437, 0.00182882
24, 0.500833, 0.00179525
25, 0.499882, 0.00196691
26, 0.499722, 0.00189654
27, 0.499835, 0.00182844
28, 0.499399, 0.00181497
29, 0.500095, 0.0018844
30, 0.499556, 0.00189858
31, 0.499346, 0.00184836
32, 0.499351, 0.00178968
33, 0.499156, 0.0017455
34, 0.499266, 0.00169693
35, 0.499221, 0.00164835
36, 0.498783, 0.00166077
37, 0.49928, 0.00169028
38, 0.499229, 0.00164601
39, 0.499428, 0.00161559
40, 0.499852, 0.00163072
41, 0.49975, 0.00159371
42, 0.499817, 0.00155675
43, 0.499738, 0.00152216
44, 0.499722, 0.00148725
45, 0.499651, 0.00145555
46, 0.499432, 0.00144035
47, 0.499312, 0.00141449
48, 0.499186, 0.00139043
49, 0.498946, 0.00138268
50, 0.498717, 0.00137406
51, 0.498625, 0.00134994
52, 0.498648, 0.00132392
53, 0.499024, 0.00135199
54, 0.498892, 0.00133332
55, 0.498472, 0.00137449
56, 0.498411, 0.00135111
57, 0.498795, 0.00138167
58, 0.498914, 0.00136282
59, 0.499019, 0.00134364
60, 0.499086, 0.00132279
61, 0.499112, 0.00130117
62, 0.499136, 0.00128024
63, 0.499329, 0.00127444
64, 0.499285, 0.00125513
65, 0.499066, 0.00125505
66, 0.498918, 0.00124462
67, 0.498937, 0.00122604
68, 0.498952, 0.00120797
69, 0.49891, 0.00119108
70, 0.4989, 0.00117399
71, 0.498984, 0.00116039
72, 0.499207, 0.00116583
73, 0.499159, 0.00115077
74, 0.499108, 0.00113624
75, 0.498874, 0.00114513
76, 0.49901, 0.00113801
77, 0.498827, 0.00113791
78, 0.498873, 0.0011242
79, 0.499019, 0.0011194
80, 0.49895, 0.0011075
81, 0.499167, 0.00111507
82, 0.499205, 0.00110207
83, 0.49911, 0.00109285
84, 0.499339, 0.00110368
85, 0.499357, 0.00109076
86, 0.499223, 0.00108622
87, 0.49925, 0.001074
88, 0.499229, 0.00106193
89, 0.499234, 0.00104994
90, 0.49924, 0.00103823
91, 0.499255, 0.00102686
92, 0.499341, 0.00101929
93, 0.499375, 0.00100885
94, 0.499444, 0.00100043
95, 0.499363, 0.000993163
96, 0.499322, 0.000983595
97, 0.499285, 0.000974134
98, 0.499336, 0.000965532
99, 0.499318, 0.000955901
100, 0.499236, 0.000949875
