M, r_var(M), r_var_std(M)
1000, 0.0876628, 0
2000, 0.085994, 0.00166884
3000, 0.0856076, 0.00103809
4000, 0.0845216, 0.00131076
5000, 0.084927, 0.00109325
6000, 0.0844686, 0.00100345
7000, 0.0843115, 0.000862505
8000, 0.084725, 0.000853778
9000, 0.0846955, 0.000753542
10000, 0.084556, 0.000688258
11000, 0.0848358, 0.000682547
12000, 0.08462, 0.000659413
13000, 0.0842558, 0.000707504
14000, 0.0842936, 0.000656111
15000, 0.0843104, 0.000611036
16000, 0.0840163, 0.000642767
17000, 0.0838541, 0.000625199
18000, 0.0839292, 0.000594218
19000, 0.0836382, 0.000632964
20000, 0.0835556, 0.000606135
21000, 0.0836025, 0.000578456
22000, 0.0836953, 0.000559294
23000, 0.0837636, 0.00053877
24000, 0.0836481, 0.000528611
25000, 0.0835889, 0.000510471
26000, 0.0835196, 0.000495323
27000, 0.0833703, 0.000499446
28000, 0.0833225, 0.000483649
29000, 0.0831388, 0.000501508
30000, 0.0833232, 0.000518407
31000, 0.0834118, 0.000509161
32000, 0.0832569, 0.000516735
33000, 0.0831794, 0.000506792
34000, 0.0831814, 0.000491664
35000, 0.0831548, 0.000478155
36000, 0.083112, 0.000466648
37000, 0.0831297, 0.000454206
38000, 0.0832015, 0.000447882
39000, 0.0832485, 0.00043877
40000, 0.0832031, 0.000430054
41000, 0.0831134, 0.000428929
42000, 0.0831905, 0.000425642
43000, 0.0831161, 0.00042224
44000, 0.0831006, 0.000412823
45000, 0.0830911, 0.000403657
46000, 0.0830678, 0.000395473
47000, 0.0831146, 0.000389792
48000, 0.0830307, 0.000390693
49000, 0.0830981, 0.000388529
50000, 0.0830067, 0.000391501
51000, 0.0830009, 0.000383791
52000, 0.082992, 0.000376444
53000, 0.0829967, 0.000369302
54000, 0.0829516, 0.000365189
55000, 0.0829303, 0.000359123
56000, 0.082907, 0.000353418
57000, 0.0828919, 0.000347491
58000, 0.0829204, 0.000342634
59000, 0.0829056, 0.0003371
60000, 0.0829069, 0.000331437
61000, 0.0829475, 0.000328475
62000, 0.0829194, 0.000324352
63000, 0.0829061, 0.000319442
64000, 0.0828975, 0.000314527
65000, 0.0829121, 0.000309994
66000, 0.0829253, 0.000305549
67000, 0.0829298, 0.000300986
68000, 0.0829446, 0.000296898
69000, 0.082959, 0.000292916
70000, 0.0829418, 0.000289211
71000, 0.0829898, 0.000289122
72000, 0.0829297, 0.000291341
73000, 0.0829499, 0.000288029
74000, 0.0829607, 0.000284316
75000, 0.0829563, 0.000280534
76000, 0.0830076, 0.000281538
77000, 0.0830099, 0.000277867
78000, 0.0830358, 0.000275496
79000, 0.0830334, 0.000271997
80000, 0.0830187, 0.000268974
81000, 0.0830531, 0.000267848
82000, 0.0830375, 0.000265023
83000, 0.0830366, 0.000261811
84000, 0.0830537, 0.000259239
85000, 0.0830474, 0.000256249
86000, 0.083011, 0.000255848
87000, 0.0830378, 0.000254303
88000, 0.0830466, 0.000251552
89000, 0.0830307, 0.000249218
90000, 0.0830459, 0.000246902
91000, 0.0830601, 0.000244583
92000, 0.0830742, 0.00024232
93000, 0.0830781, 0.000239732
94000, 0.0830419, 0.000239904
95000, 0.0830531, 0.000237627
96000, 0.0830816, 0.000236862
97000, 0.0830795, 0.000234417
98000, 0.0831069, 0.000233632
99000, 0.0831105, 0.000231287
100000, 0.0831087, 0.00022897
