N, r_var(N), r_var_std(N)
1, 0.0876628, 0
2, 0.085994, 0.00166884
3, 0.0856076, 0.00103809
4, 0.0845216, 0.00131076
5, 0.084927, 0.00109325
6, 0.0844686, 0.00100345
7, 0.0843115, 0.000862505
8, 0.084725, 0.000853778
9, 0.0846955, 0.000753542
10, 0.084556, 0.000688258
11, 0.0848358, 0.000682547
12, 0.08462, 0.000659413
13, 0.0842558, 0.000707504
14, 0.0842936, 0.000656111
15, 0.0843104, 0.000611036
16, 0.0840163, 0.000642767
17, 0.0838541, 0.000625199
18, 0.0839292, 0.000594218
19, 0.0836382, 0.000632964
20, 0.0835556, 0.000606135
21, 0.0836025, 0.000578456
22, 0.0836953, 0.000559294
23, 0.0837636, 0.00053877
24, 0.0836481, 0.000528611
25, 0.0835889, 0.000510471
26, 0.0835196, 0.000495323
27, 0.0833703, 0.000499446
28, 0.0833225, 0.000483649
29, 0.0831388, 0.000501508
30, 0.0833232, 0.000518407
31, 0.0834118, 0.000509161
32, 0.0832569, 0.000516735
33, 0.0831794, 0.000506792
34, 0.0831814, 0.000491664
35, 0.0831548, 0.000478155
36, 0.083112, 0.000466648
37, 0.0831297, 0.000454206
38, 0.0832015, 0.000447882
39, 0.0832485, 0.00043877
40, 0.0832031, 0.000430054
41, 0.0831134, 0.000428929
42, 0.0831905, 0.000425642
43, 0.0831161, 0.00042224
44, 0.0831006, 0.000412823
45, 0.0830911, 0.000403657
46, 0.0830678, 0.000395473
47, 0.0831146, 0.000389792
48, 0.0830307, 0.000390693
49, 0.0830981, 0.000388529
50, 0.0830067, 0.000391501
51, 0.0830009, 0.000383791
52, 0.082992, 0.000376444
53, 0.0829967, 0.000369302
54, 0.0829516, 0.000365189
55, 0.0829303, 0.000359123
56, 0.082907, 0.000353418
57, 0.0828919, 0.000347491
58, 0.0829204, 0.000342634
59, 0.0829056, 0.0003371
60, 0.0829069, 0.000331437
61, 0.0829475, 0.000328475
62, 0.0829194, 0.000324352
63, 0.0829061, 0.000319442
64, 0.0828975, 0.000314527
65, 0.0829121, 0.000309994
66, 0.0829253, 0.000305549
67, 0.0829298, 0.000300986
68, 0.0829446, 0.000296898
69, 0.082959, 0.000292916
70, 0.0829418, 0.000289211
71, 0.0829898, 0.000289122
72, 0.0829297, 0.000291341
73, 0.0829499, 0.000288029
74, 0.0829607, 0.000284316
75, 0.0829563, 0.000280534
76, 0.0830076, 0.000281538
77, 0.0830099, 0.000277867
78, 0.0830358, 0.000275496
79, 0.0830334, 0.000271997
80, 0.0830187, 0.000268974
81, 0.0830531, 0.000267848
82, 0.0830375, 0.000265023
83, 0.0830366, 0.000261811
84, 0.0830537, 0.000259239
85, 0.0830474, 0.000256249
86, 0.083011, 0.000255848
87, 0.0830378, 0.000254303
88, 0.0830466, 0.000251552
89, 0.0830307, 0.000249218
90, 0.0830459, 0.000246902
91, 0.0830601, 0.000244583
92, 0.0830742, 0.00024232
93, 0.0830781, 0.000239732
94, 0.0830419, 0.000239904
95, 0.0830531, 0.000237627
96, 0.0830816, 0.000236862
97, 0.0830795, 0.000234417
98, 0.0831069, 0.000233632
99, 0.0831105, 0.000231287
100, 0.0831087, 0.00022897
