N_terms = 1, N_terms = 2, N_terms = 10, N_terms = 100
1.16936, 0.995015, 0.80735, 1.10409
1.11865, 3.71879, 2.59861, 1.29468
0.93598, 1.00455, 1.02857, 0.981914
0.696556, 0.574473, 0.704414, 1.02664
1.22351, 1.26892, 1.27283, 1.25065
0.61556, 2.2015, 2.07039, 1.09288
0.187751, 1.92186, 0.949635, 1.11329
1.18116, 1.04916, 1.47467, 1.16242
0.823541, 1.06699, 0.911415, 1.05342
0.56149, 1.76513, 2.29859, 1.20305
1.2318, 1.55337, 1.59686, 1.22234
1.57702, 1.05895, 1.3912, 1.11806
0.67181, 1.18321, 0.983998, 1.11588
0.3549, 2.44894, 1.11411, 1.03383
0.520523, 1.0793, 1.24147, 1.12762
0.525278, 1.92807, 1.4764, 1.26593
0.0984415, 1.78496, 1.41525, 1.08265
0.222615, 0.480392, 0.716899, 1.01559
1.36695, 1.4177, 1.27424, 1.003
0.631078, 1.19245, 1.28152, 1.03212
0.192977, 0.857702, 1.10074, 1.1421
0.597565, 1.64066, 1.15913, 1.18324
1.2619, 3.01462, 1.58683, 1.09044
1.44123, 1.90949, 0.983999, 1.0949
0.912183, 0.712513, 1.17367, 1.06838
1.5505, 1.544, 1.19633, 1.27217
0.34426, 1.95788, 1.1289, 1.10043
0.320743, 0.607412, 1.63175, 1.21929
0.397443, 1.02295, 1.06373, 1.01273
1.1015, 0.997551, 1.1938, 1.35865
0.32416, 0.539125, 1.45706, 1.19557
0.0993488, 0.605859, 1.02287, 0.929873
0.368647, 0.83498, 1.54295, 1.10757
1.67541, 2.11293, 1.80591, 1.14178
1.92205, 2.15697, 1.27607, 1.2123
0.937989, 1.17237, 1.26265, 1.13913
0.22806, 1.8614, 1.04379, 1.08761
0.237637, 1.48305, 1.51753, 1.11948
1.11074, 1.27368, 1.25514, 1.13854
0.535544, 0.391379, 0.939193, 1.01957
3.0446, 3.27568, 1.51622, 1.2859
3.6621, 2.14625, 1.64192, 1.1901
0.855516, 1.55817, 0.928449, 1.10304
0.302257, 1.40537, 0.969507, 1.03864
0.55607, 2.17061, 1.19543, 1.16827
0.0665879, 1.75903, 1.40241, 1.09877
1.64223, 2.31197, 1.17934, 1.12633
0.451489, 1.69881, 1.27524, 1.12107
1.78011, 2.01668, 1.5394, 1.23309
1.09573, 1.26221, 1.00171, 1.05348
0.327169, 0.526571, 1.15517, 1.24837
0.299265, 0.742556, 1.82562, 1.04941
0.607304, 0.426059, 1.1243, 0.933102
2.3503, 2.53379, 1.29162, 1.12714
1.22905, 1.58854, 1.4085, 1.18056
1.02979, 1.37218, 1.02249, 0.88251
0.517209, 1.42422, 1.11665, 1.03335
0.787636, 0.707076, 1.3292, 1.2488
0.852832, 0.932905, 0.915183, 1.07338
0.306889, 0.92275, 0.705497, 1.16997
0.652145, 2.01521, 1.64241, 1.06999
0.102543, 0.615993, 1.6334, 1.03598
2.29858, 1.70679, 1.23258, 1.23343
0.141064, 0.502262, 0.905374, 1.03584
0.862683, 0.887188, 1.20983, 0.964369
0.24602, 0.52011, 0.773713, 1.0944
0.808061, 0.896042, 1.29922, 1.19834
0.381326, 1.38697, 1.138, 1.06161
0.234088, 0.385581, 0.925975, 1.14413
0.254456, 2.24629, 1.94734, 1.2983
0.429583, 1.48854, 1.09678, 1.27676
0.183747, 1.12472, 1.02002, 1.15844
2.46069, 1.42799, 1.42826, 1.19075
1.05576, 2.75486, 1.63704, 1.29087
1.60662, 1.88435, 1.28371, 1.0097
0.647758, 0.644447, 0.844598, 1.10837
1.20909, 1.03956, 1.07709, 1.12011
1.96966, 1.76915, 0.70021, 1.10004
0.611546, 1.52758, 1.24004, 1.10106
0.270426, 1.49875, 1.50059, 0.953038
1.43826, 1.17835, 1.37613, 1.31614
0.432659, 0.709964, 1.06669, 1.05225
1.67353, 1.64746, 1.04279, 1.16405
0.140345, 0.969853, 0.793476, 1.20784
1.78999, 1.48162, 1.98737, 1.15984
0.559254, 1.26899, 1.07719, 1.32278
0.663021, 0.623375, 1.21093, 1.06994
0.619586, 1.05804, 1.62208, 1.26423
3.94638, 3.05611, 2.13723, 1.14147
1.10161, 0.641095, 1.48093, 1.28399
1.75347, 1.87667, 1.15384, 1.28581
0.462151, 1.81522, 1.58006, 1.07729
0.373326, 0.955567, 1.14613, 1.07584
0.0387065, 1.98929, 1.78636, 1.05773
3.08021, 1.98054, 1.49912, 1.17251
2.46317, 1.85076, 1.64537, 1.17466
0.417141, 2.12879, 0.789499, 0.953333
2.37082, 2.27243, 1.24993, 1.04068
4.20658, 4.79137, 2.07322, 1.28474
2.48154, 3.32378, 1.12725, 1.11353
0.267324, 1.29707, 1.32616, 1.14068
0.228257, 1.05476, 1.54555, 1.09206
0.0782632, 0.155013, 1.59904, 1.1673
1.67794, 1.2053, 1.16365, 1.24299
3.47454, 3.36835, 1.50768, 0.974526
0.11008, 0.328687, 1.54098, 1.06134
0.344718, 0.293783, 0.935264, 1.08916
0.935998, 0.799257, 1.17251, 1.15437
0.101537, 1.34704, 1.49944, 1.15832
0.339336, 1.29139, 1.09062, 1.24514
0.0319949, 1.17214, 1.10385, 1.04877
0.16172, 1.47435, 1.31784, 1.11573
0.270506, 0.811194, 1.62163, 1.23757
0.725219, 0.655137, 1.57231, 0.98226
0.601434, 1.98074, 1.13465, 1.08423
0.502526, 2.656, 1.26688, 1.09368
2.14451, 1.28929, 0.807126, 1.25511
0.474244, 0.665606, 1.12314, 1.04978
0.0912299, 0.55643, 1.58784, 1.05205
0.25977, 1.40402, 1.45747, 1.11806
0.53867, 1.95695, 1.72723, 1.30501
2.91879, 1.87066, 1.51459, 1.04887
1.31803, 1.28898, 1.83536, 1.11902
0.224874, 1.37122, 0.859347, 1.13754
0.54741, 1.11605, 1.17857, 1.09445
0.155017, 0.636334, 1.05188, 1.2145
2.34127, 1.36463, 1.19338, 1.28777
3.05739, 1.93469, 1.22116, 1.17514
0.0851548, 0.571299, 0.695017, 1.01993
0.0926579, 1.65597, 1.00694, 1.04007
0.363277, 1.69921, 0.971014, 1.12406
1.7501, 1.46125, 1.60288, 1.3076
0.721635, 0.894302, 0.973881, 1.24788
2.93207, 2.71354, 1.62253, 1.20764
0.209157, 2.98576, 1.82998, 1.03728
0.652741, 0.744911, 0.951661, 1.11545
1.4526, 1.611, 0.969111, 1.14517
0.0102854, 0.822484, 1.14865, 1.22226
0.213598, 1.23385, 2.68123, 1.24127
0.413486, 0.377421, 1.38496, 1.16107
0.751912, 1.58789, 1.66557, 1.13614
0.19762, 0.450651, 0.871612, 1.01079
1.94705, 3.28429, 1.40278, 1.21542
0.139555, 0.860934, 1.24678, 0.954011
1.17543, 1.79282, 1.01532, 1.05488
1.75019, 1.39888, 1.33033, 1.06152
2.19957, 1.47736, 1.77804, 1.28425
0.122165, 1.22083, 1.17656, 1.13373
0.120807, 0.453072, 1.2025, 1.01134
0.571816, 1.70592, 1.18625, 1.10548
0.289604, 1.52312, 1.22172, 1.14689
0.0994394, 1.47498, 1.30056, 1.09235
0.729388, 1.57463, 0.970216, 1.16479
0.607177, 0.358731, 0.929804, 0.9186
5.13333, 4.83965, 2.5084, 1.29715
1.68914, 2.02444, 1.4946, 1.14659
0.651284, 1.46328, 1.22899, 0.999548
1.13042, 0.884818, 1.56821, 1.11838
1.01438, 0.590735, 0.816197, 0.999691
0.86484, 1.59964, 1.52377, 1.15207
0.0107385, 0.720154, 1.0581, 1.02554
0.137816, 1.66926, 0.82516, 1.06847
1.56893, 1.49824, 1.25911, 0.95293
0.191354, 1.27298, 0.97071, 1.22166
0.330912, 1.20136, 1.18133, 1.2745
0.0641444, 1.92199, 1.21109, 0.958574
0.216273, 2.1923, 1.63382, 1.36156
0.942032, 1.48253, 0.945134, 1.03264
0.315758, 0.25855, 1.33146, 1.22501
0.0527304, 0.714368, 0.906273, 1.07619
0.920296, 1.75175, 1.55312, 1.21076
0.690385, 1.90852, 1.25032, 1.06373
0.888744, 2.72432, 1.88094, 1.08097
0.780857, 0.788816, 1.2665, 1.10942
0.0102572, 2.19747, 1.29788, 1.16898
1.1533, 0.628933, 0.945171, 1.11109
1.37607, 1.45304, 1.10089, 1.12976
0.301077, 0.622616, 1.13296, 0.976915
2.66869, 1.69909, 1.59177, 1.18279
0.250938, 1.10004, 1.03925, 1.30668
0.863737, 2.04125, 1.91079, 1.1203
1.24066, 1.45403, 0.967474, 0.875595
0.237281, 1.63022, 1.15336, 1.03269
2.06058, 1.50959, 1.35893, 1.12993
1.00054, 1.72947, 0.991612, 0.967731
0.407767, 4.53269, 1.91774, 1.28494
4.1047, 2.38969, 1.66037, 1.24891
1.39884, 1.42062, 1.11258, 1.11317
1.25472, 1.14871, 1.02348, 1.05281
1.21996, 0.904788, 0.924247, 1.11965
0.340975, 0.649692, 0.983355, 0.993188
1.98155, 1.55409, 1.26908, 0.997707
0.554237, 0.67274, 0.919214, 1.00573
0.152783, 1.20504, 0.899121, 1.11107
2.51923, 1.68192, 1.37835, 1.18503
0.215014, 1.07027, 0.929347, 0.993426
3.14175, 1.90046, 1.21289, 1.15651
0.224367, 1.12892, 1.27116, 0.977024
2.48988, 1.77197, 1.1474, 1.29754
1.22899, 3.34421, 1.60893, 1.11761
0.638147, 1.82415, 1.35774, 1.18706
0.297652, 0.499128, 0.957278, 1.23915
0.497673, 0.824704, 0.933646, 1.03702
0.298679, 2.06325, 1.45383, 0.984239
0.263297, 0.437305, 0.86047, 1.15592
1.40821, 1.19145, 1.33955, 1.09123
0.119853, 0.617845, 1.10938, 1.08627
1.61683, 1.55018, 2.10296, 1.19737
0.086724, 0.501943, 1.42139, 1.14936
0.151761, 0.335161, 1.17455, 0.984083
0.454158, 0.946049, 0.967642, 1.35271
2.93079, 5.00514, 1.58793, 1.22212
2.11627, 1.5085, 0.980592, 1.13762
1.8687, 2.16545, 1.51759, 1.06959
0.611811, 1.21328, 0.790672, 1.30245
1.39951, 1.2435, 0.809218, 0.780482
0.681934, 0.921804, 0.995896, 1.14446
0.603294, 1.87079, 0.888185, 0.88648
3.55041, 2.07481, 1.9262, 1.32066
0.158961, 0.787648, 1.68468, 1.11241
0.0643376, 0.452999, 0.940952, 0.987172
0.0507274, 0.910429, 1.08815, 1.23085
0.314323, 0.652398, 1.60729, 1.20203
0.629325, 1.6692, 1.47066, 1.28605
0.418822, 0.91325, 0.961659, 1.11183
0.246603, 0.279765, 1.29824, 1.32615
0.307035, 0.827315, 0.860908, 1.13817
0.582505, 0.797736, 1.17126, 1.15156
0.253324, 1.03874, 1.05629, 1.03887
1.5666, 1.40794, 1.11924, 1.04826
0.123571, 1.64185, 1.46477, 1.21755
1.46449, 1.34808, 1.37223, 1.18252
0.949704, 2.87781, 1.67647, 0.96891
1.33257, 1.38806, 0.76326, 1.10769
0.115208, 0.516931, 0.737872, 1.22731
2.26551, 2.11626, 1.58935, 1.15347
0.941629, 3.97088, 1.85776, 0.989149
0.0295214, 0.689162, 1.89422, 1.25948
1.88272, 1.12826, 1.13664, 1.03462
0.530526, 1.25959, 1.66229, 1.24184
0.079212, 1.28353, 1.0934, 1.22978
0.368204, 1.20405, 0.776402, 0.931878
0.18033, 0.451227, 0.553731, 0.976916
0.851453, 1.11982, 1.22597, 1.1675
0.856, 0.620541, 1.34993, 1.32565
0.139978, 0.807931, 1.14197, 0.963708
0.616215, 2.15932, 1.60255, 1.09586
0.242491, 0.602525, 1.74286, 1.09913
0.0985177, 2.34906, 1.83868, 1.35924
3.01456, 1.93277, 0.989792, 1.00673
2.90476, 1.92288, 1.99633, 1.1655
2.27548, 2.21825, 1.44541, 1.06314
2.79841, 1.85317, 1.49009, 1.17865
0.00159533, 0.467197, 1.16211, 1.12792
0.714707, 0.666464, 0.888106, 0.986892
0.608168, 0.597497, 1.36743, 1.22211
0.513822, 0.74149, 0.726594, 1.02133
0.339295, 0.949874, 1.17559, 1.20656
0.290237, 2.11312, 1.08792, 1.18587
1.82074, 1.51214, 0.808491, 1.02862
0.0120479, 1.49001, 1.64762, 1.02201
0.331776, 0.884, 1.08899, 1.07834
0.828612, 0.883332, 1.27806, 1.18072
0.546681, 2.18544, 1.54727, 1.0762
3.00725, 2.27264, 1.08749, 1.19557
1.53978, 1.27935, 1.87482, 1.19289
3.10392, 1.60698, 1.00951, 1.07546
0.147461, 0.74144, 1.06228, 1.25903
0.064541, 0.235339, 0.936337, 1.26342
0.124518, 0.829248, 1.41477, 1.07588
0.197962, 0.989047, 0.923656, 1.21279
0.337879, 0.460795, 1.64385, 1.04154
0.251814, 0.635989, 1.58868, 1.2167
0.54134, 0.911675, 1.22975, 1.00835
0.0263865, 0.768826, 1.03077, 1.17315
0.718577, 1.09907, 1.2664, 1.05793
4.02296, 2.77716, 1.41303, 1.1819
0.987672, 1.0293, 1.77298, 1.03874
0.427702, 0.665228, 0.945151, 1.33888
0.140883, 0.557534, 0.832539, 0.960999
0.840665, 0.967025, 0.957582, 1.01195
1.1162, 1.92515, 1.01762, 0.997752
0.0139149, 1.29388, 1.89746, 1.3212
2.52558, 1.67682, 1.23093, 0.99333
1.1508, 2.54768, 1.77688, 1.09928
1.54977, 1.65105, 1.31568, 1.06585
2.47389, 1.84614, 1.32113, 0.977983
0.0369597, 1.02337, 1.1634, 1.12725
0.0511005, 0.0501771, 0.578755, 1.02744
0.936186, 1.7684, 1.16801, 1.1295
1.33904, 1.14896, 0.864882, 0.95529
0.743204, 1.00596, 1.2614, 1.06662
0.466971, 1.20038, 0.825632, 1.26717
2.27325, 2.73954, 1.9627, 1.32047
0.864743, 1.07749, 1.04809, 1.09568
1.38163, 1.84258, 1.25382, 1.06529
0.0305055, 0.579749, 0.923333, 0.97534
0.492178, 0.680831, 1.02848, 1.07922
1.99457, 3.48423, 1.48928, 1.13401
0.0603348, 1.39664, 1.36056, 1.34758
0.281426, 0.783521, 1.18477, 1.11513
0.343416, 1.66539, 1.23868, 1.10849
0.34168, 2.48239, 1.15789, 1.20135
0.487151, 0.514322, 1.30992, 1.12879
0.396868, 1.90631, 1.13173, 1.05653
0.476192, 1.11445, 1.24058, 1.04504
0.275123, 0.883295, 1.16171, 0.949287
1.19236, 0.860414, 1.29339, 1.17542
0.474755, 1.0216, 1.04505, 1.16944
0.357507, 1.33389, 1.32599, 1.118
0.808137, 0.802175, 1.96759, 1.08222
0.0718624, 0.787352, 0.977173, 1.06815
0.128202, 0.672608, 1.10531, 1.19043
0.644812, 1.32658, 0.960717, 1.05939
0.503723, 1.77054, 1.08254, 1.36873
0.62488, 0.688005, 0.950958, 1.12739
1.01469, 3.7248, 1.33188, 1.15948
1.59463, 1.25875, 1.10458, 1.15068
0.0267183, 3.0047, 1.68237, 1.17287
0.2975, 0.760656, 1.03873, 1.14171
4.51828, 3.85915, 1.67265, 1.23308
2.24291, 1.42899, 1.35154, 0.994143
0.554715, 1.46036, 1.46291, 1.12741
0.781104, 3.45737, 1.81633, 1.12479
0.297785, 1.36722, 1.34533, 1.14122
2.21651, 3.85659, 1.85854, 1.16815
0.0310735, 2.48868, 1.39323, 1.16266
1.70299, 2.24732, 1.75212, 1.08099
0.674545, 1.36249, 1.40854, 1.02708
0.0963597, 0.566023, 1.23878, 1.16866
1.06541, 1.84047, 1.25871, 1.23971
0.842826, 1.69991, 1.87255, 1.20042
0.536083, 1.27095, 1.13094, 1.00631
0.840967, 1.17526, 1.42052, 1.08391
0.24804, 0.70182, 1.09619, 1.17323
1.03981, 3.10791, 1.19598, 1.09697
0.635029, 0.945887, 1.36621, 1.21667
2.49457, 1.99286, 1.53947, 1.14533
2.38687, 1.4915, 0.78704, 1.13961
0.345305, 0.419115, 0.511371, 1.03649
0.919915, 0.557798, 0.957616, 1.0815
0.167948, 0.309436, 0.713692, 1.00989
0.542424, 0.617471, 1.12899, 1.18521
1.55419, 1.64972, 1.65953, 1.20834
3.0757, 2.92652, 1.48828, 1.1064
0.553243, 0.52432, 0.743624, 1.0272
5.37814, 3.36111, 1.33614, 1.1383
0.697959, 1.07239, 1.64728, 1.10342
2.09361, 1.7158, 1.19189, 1.17876
0.834121, 0.969762, 0.97492, 1.09164
2.26989, 1.53977, 1.25445, 0.997256
1.03935, 1.42085, 1.23638, 1.17993
2.36681, 1.59239, 0.894864, 1.26808
0.078393, 0.600601, 1.32702, 1.35299
0.127579, 1.25646, 1.02617, 1.23545
0.404542, 0.532476, 0.934202, 1.26603
0.209402, 0.680509, 1.07163, 1.09078
0.386555, 1.36472, 0.637487, 1.05938
1.57597, 0.917522, 0.816961, 1.1275
2.2526, 1.26942, 1.14469, 1.23442
0.494839, 0.668858, 0.844068, 1.10039
0.308, 0.508662, 1.05721, 1.0723
0.32918, 0.607418, 0.851132, 1.08639
0.613304, 2.4412, 1.3614, 1.28881
1.95786, 1.55144, 1.93052, 1.17929
0.230585, 0.474563, 0.704492, 1.13706
0.260978, 2.14466, 1.40297, 1.19277
0.252343, 1.21189, 0.928989, 1.08818
1.3514, 1.73038, 0.926688, 0.943278
0.328396, 0.991133, 1.20242, 1.2422
0.657406, 1.36224, 1.73569, 1.04787
1.33097, 1.30717, 1.99109, 1.16252
0.0526237, 0.571554, 0.954645, 1.08805
0.480856, 0.763341, 1.57576, 1.18436
1.39613, 1.66383, 0.969456, 1.26958
2.69333, 1.4931, 1.44993, 1.13398
0.274043, 1.33236, 1.21917, 1.24012
2.05884, 1.70972, 1.73111, 1.14607
0.831037, 3.65381, 1.69271, 1.11138
0.203686, 0.737539, 1.35762, 1.20752
0.895586, 1.59536, 0.868034, 1.18636
0.73234, 0.605988, 0.88703, 0.937061
0.198217, 1.27527, 1.02611, 0.984853
1.58158, 2.4116, 1.2929, 1.13823
0.637466, 0.960641, 1.31298, 1.15331
1.16712, 0.725942, 0.812966, 1.20508
1.68328, 1.29793, 1.55604, 1.18604
0.0592341, 1.23246, 1.00757, 1.24344
1.81553, 1.72764, 1.36913, 1.16335
0.382671, 0.414, 1.75127, 1.33657
1.10307, 1.44671, 1.50621, 1.11158
0.44896, 1.53014, 1.21719, 1.1365
0.0573051, 0.512102, 1.53155, 0.929928
1.36921, 2.30463, 0.779975, 1.117
0.16272, 1.38021, 0.975023, 0.937548
0.0120016, 2.46741, 1.09874, 0.940883
0.642265, 0.739932, 1.0967, 1.12508
0.577844, 0.430587, 1.18821, 1.12792
1.98475, 1.46549, 1.30372, 1.04929
0.182441, 1.99157, 1.76498, 1.07551
1.40741, 1.25954, 1.62862, 1.1862
0.0664626, 0.180817, 0.727836, 1.13589
1.05085, 1.02469, 1.50186, 1.18659
0.0934931, 0.656386, 1.51702, 1.14757
0.0870724, 0.311741, 0.761648, 1.07724
0.724859, 1.58485, 1.5868, 1.29036
0.45329, 1.80009, 1.51914, 1.13414
2.45536, 2.12812, 1.55282, 1.06974
0.105808, 0.886128, 0.903787, 1.03353
0.533824, 1.07416, 0.768394, 0.989528
0.595898, 0.58796, 1.53293, 1.31279
0.462369, 1.46062, 0.839712, 1.16954
0.121701, 1.18796, 1.36129, 1.183
0.638314, 2.37512, 1.30404, 0.942044
0.553479, 1.57903, 1.40115, 1.06362
2.16995, 2.4683, 1.73565, 1.21512
0.945535, 1.38534, 1.57981, 1.11557
2.31145, 1.75865, 1.00029, 1.07701
0.963836, 0.956143, 0.855731, 1.05145
1.33749, 2.10932, 1.33753, 1.4185
0.673896, 3.15328, 1.04661, 1.02894
2.07343, 1.58354, 1.17597, 1.24672
1.44856, 1.11336, 0.909166, 1.09489
0.393322, 0.479539, 0.746549, 0.942569
0.606037, 2.20044, 1.90838, 1.21046
1.99948, 2.60819, 1.62768, 0.997792
0.800626, 1.59759, 0.949484, 1.07304
0.227614, 1.6066, 1.82851, 1.20277
0.681506, 1.06957, 1.03769, 1.10936
0.673066, 0.981267, 1.42667, 1.15365
1.2828, 1.91491, 1.90046, 1.16397
0.808253, 1.37199, 1.27885, 1.08046
2.73941, 1.91206, 1.10201, 1.19935
0.206381, 1.53239, 0.885987, 1.15663
0.812092, 1.77162, 1.43245, 1.02983
1.25091, 1.37861, 1.38741, 1.23803
1.64397, 1.7958, 2.35239, 1.27473
0.899646, 1.27501, 0.94097, 1.07253
0.793112, 1.78248, 1.51825, 1.21687
0.000953002, 0.264162, 1.19314, 0.940555
0.967517, 1.1708, 1.5999, 1.25476
1.31826, 1.07408, 1.46282, 1.08462
2.56379, 2.09928, 1.10198, 1.07144
0.258658, 2.87324, 1.56427, 1.05203
0.908719, 0.969442, 1.09092, 1.18704
2.16051, 1.7078, 1.17023, 0.865589
0.881848, 1.33817, 1.47265, 1.04668
0.190473, 2.11482, 1.8929, 1.15269
0.0589011, 0.32011, 0.913541, 1.00053
0.182512, 1.11796, 0.850718, 1.04852
0.730641, 1.08623, 0.857419, 1.28463
0.240573, 1.26072, 1.15963, 1.18007
0.550916, 0.906667, 1.14875, 1.11743
0.139935, 0.573964, 0.732942, 0.947159
0.421356, 0.8822, 1.29452, 1.10752
2.55417, 2.57451, 1.50947, 1.2072
0.0966337, 1.43857, 1.47866, 1.06174
1.93375, 1.86471, 1.62713, 1.16434
0.157895, 0.796591, 1.2602, 1.14198
0.603641, 0.744545, 0.828683, 1.10773
0.456305, 0.745112, 0.918484, 0.960364
1.76289, 2.097, 1.61333, 1.14456
3.33905, 3.31737, 1.55726, 1.02492
0.0621984, 0.542715, 0.838928, 1.09271
0.84754, 1.77995, 1.12657, 1.05676
3.84796, 3.11253, 1.5511, 1.15364
0.429179, 2.52539, 2.02421, 1.33464
0.309336, 2.26586, 1.41229, 1.22257
0.325124, 2.82534, 1.70963, 1.21562
0.393423, 1.0592, 1.59557, 1.32801
0.746955, 1.59765, 1.29142, 1.11148
0.892679, 2.69419, 1.18907, 1.16488
2.09539, 1.24594, 1.55754, 1.10728
0.394148, 1.24435, 0.963073, 1.25614
0.113947, 0.738236, 1.29136, 1.2328
2.3261, 1.68756, 1.4748, 0.962729
0.406402, 0.57909, 0.83585, 0.984835
2.13301, 2.45069, 1.39093, 1.2289
1.34516, 1.16436, 1.00302, 1.15975
0.50847, 0.612595, 1.24998, 1.13934
0.177371, 0.181215, 1.20494, 1.12858
0.732942, 1.26827, 1.29005, 1.27909
3.59326, 2.60734, 1.13654, 1.25911
2.63805, 2.48816, 1.41349, 1.11732
0.184904, 0.371415, 1.06252, 0.921328
0.194605, 1.47208, 1.4323, 1.23621
0.124974, 1.05518, 1.45402, 1.14693
0.386148, 1.7071, 1.70473, 1.02454
0.564369, 0.621952, 0.91629, 0.945665
1.03942, 0.820599, 1.05839, 1.16503
0.827111, 1.57995, 2.14763, 1.22175
3.13184, 2.2325, 1.33601, 1.03106
1.4892, 2.03185, 1.15244, 1.25668
1.17483, 2.03253, 1.27513, 1.26959
0.67683, 0.475028, 0.736825, 1.00787
3.68546, 2.42433, 1.37402, 0.846806
1.05641, 1.70591, 1.4529, 1.22696
0.546237, 0.384961, 1.16956, 1.36749
0.079758, 0.436367, 0.927804, 1.13677
0.0143933, 1.48445, 1.01093, 1.02682
0.0960019, 0.575858, 0.704958, 1.12723
0.318878, 1.06126, 1.05784, 1.04067
2.00183, 1.89004, 1.09895, 1.08413
1.15318, 1.85396, 1.50681, 1.13338
0.000974288, 0.963611, 1.51602, 1.11138
0.119237, 1.13055, 1.29064, 0.879007
0.647179, 1.05356, 0.581537, 1.19898
0.294734, 1.25431, 1.5285, 1.14787
1.33981, 1.52488, 1.47291, 1.11295
0.0217154, 0.975558, 1.0581, 1.22082
0.0159689, 0.818808, 1.03589, 1.05824
