N_terms = 1, N_terms = 2, N_terms = 10, N_terms = 100
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
1, 1.5, 1.3, 1.13
