M, N_hit / N_thr(M), pi_error(M)
1000, 0.432, 0
2000, 0.439, 0.007
3000, 0.446333, 0.00837324
4000, 0.444, 0.00636396
5000, 0.4444, 0.00494571
6000, 0.444333, 0.0040387
7000, 0.444143, 0.00341864
8000, 0.44675, 0.00394493
9000, 0.450111, 0.00483748
10000, 0.448, 0.00481433
11000, 0.448455, 0.00437838
12000, 0.448, 0.00402266
13000, 0.449462, 0.00397849
14000, 0.448643, 0.00377325
15000, 0.449, 0.00353082
16000, 0.4505, 0.00362744
17000, 0.448706, 0.00385086
18000, 0.447667, 0.00377643
19000, 0.446684, 0.00370479
20000, 0.44595, 0.00359054
21000, 0.447238, 0.00365012
22000, 0.447, 0.00348839
23000, 0.446783, 0.00334035
24000, 0.446833, 0.00319854
25000, 0.44624, 0.00312478
26000, 0.447115, 0.00312721
27000, 0.446926, 0.00301512
28000, 0.44675, 0.00291077
29000, 0.447103, 0.00283075
30000, 0.447033, 0.00273567
31000, 0.44629, 0.00274829
32000, 0.446375, 0.00266237
33000, 0.445879, 0.00262771
34000, 0.445618, 0.00256259
35000, 0.445286, 0.00251034
36000, 0.445111, 0.00244585
37000, 0.444649, 0.00242336
38000, 0.444316, 0.0023821
39000, 0.444564, 0.00233347
40000, 0.444475, 0.00227613
41000, 0.444439, 0.00222021
42000, 0.4445, 0.00216756
43000, 0.444628, 0.00212041
44000, 0.444659, 0.0020719
45000, 0.444733, 0.00202669
46000, 0.444326, 0.00202355
47000, 0.445, 0.00209157
48000, 0.445479, 0.00210285
49000, 0.445571, 0.00206155
50000, 0.44556, 0.00201993
51000, 0.444804, 0.00211938
52000, 0.445077, 0.00209608
53000, 0.445283, 0.00206645
54000, 0.44587, 0.00211117
55000, 0.446164, 0.00209308
56000, 0.446232, 0.00205651
57000, 0.446281, 0.00202069
58000, 0.44619, 0.00198763
59000, 0.445915, 0.00197283
60000, 0.445567, 0.00197074
61000, 0.446033, 0.00199343
62000, 0.445806, 0.00197403
63000, 0.445841, 0.00194276
64000, 0.445562, 0.00193237
65000, 0.445815, 0.00191915
66000, 0.445636, 0.0018983
67000, 0.445791, 0.00187614
68000, 0.445647, 0.00185395
69000, 0.44529, 0.00186148
70000, 0.445071, 0.00184765
71000, 0.44531, 0.00183698
72000, 0.445375, 0.00181245
73000, 0.444945, 0.0018384
74000, 0.444919, 0.00181358
75000, 0.445, 0.00179107
76000, 0.444816, 0.00177692
77000, 0.444494, 0.00178306
78000, 0.444474, 0.00176015
79000, 0.444468, 0.00173774
80000, 0.444525, 0.00171682
81000, 0.444494, 0.00169578
82000, 0.444463, 0.00167524
83000, 0.444373, 0.00165738
84000, 0.444619, 0.00165584
85000, 0.444753, 0.00164171
86000, 0.444779, 0.00162272
87000, 0.444621, 0.00161176
88000, 0.444466, 0.00160084
89000, 0.444753, 0.00160854
90000, 0.445044, 0.00161708
91000, 0.445077, 0.00159954
92000, 0.444989, 0.0015845
93000, 0.444957, 0.0015677
94000, 0.444926, 0.00155125
95000, 0.444905, 0.00153497
96000, 0.44475, 0.00152681
97000, 0.444649, 0.00151432
98000, 0.444735, 0.00150121
99000, 0.444929, 0.00149866
100000, 0.44508, 0.00149123
