M, r_var(M), r_var_error(M)
1500, 0.0845091, 0
3000, 0.0830682, 0.00144091
4500, 0.0825432, 0.000983723
6000, 0.082703, 0.000713723
7500, 0.0832012, 0.00074423
9000, 0.0829563, 0.000655166
10500, 0.0830399, 0.000559993
12000, 0.0831739, 0.000503131
13500, 0.0832607, 0.000452142
15000, 0.0835093, 0.000474705
16500, 0.0833154, 0.000471151
18000, 0.0837709, 0.000626441
19500, 0.0839542, 0.000604703
21000, 0.0837099, 0.00061084
22500, 0.0835412, 0.000593157
24000, 0.0833561, 0.000584887
25500, 0.083307, 0.000551595
27000, 0.0832156, 0.000528026
28500, 0.0832344, 0.000499815
30000, 0.0831701, 0.000478503
31500, 0.0831348, 0.000456518
33000, 0.0830424, 0.000444966
34500, 0.0830518, 0.000425284
36000, 0.0830354, 0.000407509
37500, 0.0830813, 0.000393553
39000, 0.0832061, 0.000398178
40500, 0.0831853, 0.00038371
42000, 0.0831404, 0.000372464
43500, 0.0830534, 0.000369792
45000, 0.0830206, 0.000358751
46500, 0.0829981, 0.000347714
48000, 0.0829691, 0.000337923
49500, 0.0829369, 0.000329102
51000, 0.0828877, 0.000323046
52500, 0.082884, 0.000313701
54000, 0.0828227, 0.000310958
55500, 0.0828887, 0.000309556
57000, 0.0828775, 0.000301508
58500, 0.082893, 0.000294084
60000, 0.0828743, 0.000287251
61500, 0.0828874, 0.000280468
63000, 0.0828834, 0.000273739
64500, 0.08291, 0.000268619
66000, 0.0829264, 0.000262958
67500, 0.0829277, 0.000257051
69000, 0.0828813, 0.000255658
70500, 0.0829086, 0.000251649
72000, 0.0828643, 0.000250315
73500, 0.0827902, 0.000256103
75000, 0.0828373, 0.000255308
76500, 0.082795, 0.000253787
78000, 0.0828307, 0.000251403
79500, 0.0828288, 0.000246621
81000, 0.0828029, 0.000243396
82500, 0.0828044, 0.000238935
84000, 0.0828825, 0.000247288
85500, 0.082798, 0.000257203
87000, 0.0827773, 0.000253572
88500, 0.082826, 0.000253948
90000, 0.0827917, 0.000252034
91500, 0.0828406, 0.000252649
93000, 0.0828206, 0.000249343
94500, 0.0827846, 0.000247983
96000, 0.0827779, 0.000244168
97500, 0.0827498, 0.000242027
99000, 0.0827636, 0.000238735
100500, 0.0827635, 0.000235145
102000, 0.0828168, 0.00023772
103500, 0.0828231, 0.000234332
105000, 0.0828358, 0.000231312
106500, 0.0828117, 0.000229308
108000, 0.0828249, 0.000226491
109500, 0.0828509, 0.000224867
111000, 0.0828688, 0.000222531
112500, 0.0828807, 0.000219868
114000, 0.0828437, 0.000220095
115500, 0.0828922, 0.000222558
117000, 0.0829362, 0.000224064
118500, 0.0829594, 0.000222419
120000, 0.0829664, 0.000219733
121500, 0.083001, 0.000219739
123000, 0.0830202, 0.000217893
124500, 0.083036, 0.000215833
126000, 0.0830234, 0.000213622
127500, 0.0830099, 0.000211526
129000, 0.0830206, 0.000209329
130500, 0.083051, 0.000209126
132000, 0.0830878, 0.000209988
133500, 0.0831231, 0.000210594
135000, 0.0831092, 0.000208705
136500, 0.0831224, 0.00020682
138000, 0.0831243, 0.000204568
139500, 0.08315, 0.000203981
141000, 0.0831761, 0.000203478
142500, 0.083186, 0.000201568
144000, 0.0832059, 0.000200451
145500, 0.0832372, 0.000200825
147000, 0.0832483, 0.000199075
148500, 0.0832356, 0.000197462
150000, 0.0832524, 0.000196202
