M, r_mean(M), r_mean_error(M)
1500, 0.505479, 0
3000, 0.506531, 0.00105185
4500, 0.50301, 0.00357313
6000, 0.500854, 0.00332095
7500, 0.503112, 0.0034229
9000, 0.503583, 0.00283419
10500, 0.500042, 0.00427545
12000, 0.50016, 0.00370451
13500, 0.500469, 0.00328171
15000, 0.500069, 0.00296245
16500, 0.502197, 0.00342213
18000, 0.50203, 0.00312844
19500, 0.501912, 0.00288015
21000, 0.502193, 0.00268129
22500, 0.502586, 0.00252687
24000, 0.501397, 0.00264582
25500, 0.501182, 0.00249464
27000, 0.500407, 0.00247643
28500, 0.500019, 0.00237424
30000, 0.500143, 0.0022558
31500, 0.499786, 0.0021753
33000, 0.499734, 0.0020747
34500, 0.499776, 0.00198288
36000, 0.500321, 0.00197537
37500, 0.500762, 0.00194523
39000, 0.500453, 0.00189434
40500, 0.500748, 0.00184654
42000, 0.501175, 0.00183004
43500, 0.501242, 0.00176706
45000, 0.501008, 0.00172304
46500, 0.501172, 0.00167456
48000, 0.501334, 0.00162943
49500, 0.501382, 0.00158
51000, 0.501586, 0.00154632
52500, 0.501454, 0.0015072
54000, 0.501434, 0.00146488
55500, 0.501426, 0.00142476
57000, 0.501591, 0.00139666
58500, 0.501933, 0.0014025
60000, 0.501892, 0.00136759
61500, 0.502156, 0.00135966
63000, 0.502342, 0.00133998
64500, 0.502395, 0.00130951
66000, 0.502462, 0.00128116
67500, 0.502442, 0.00125253
69000, 0.502119, 0.00126675
70500, 0.502086, 0.00123996
72000, 0.501637, 0.00129418
73500, 0.501564, 0.0012696
75000, 0.501622, 0.00124532
76500, 0.501553, 0.00122259
78000, 0.501685, 0.00120603
79500, 0.501739, 0.00118432
81000, 0.501825, 0.00116531
82500, 0.501639, 0.00115893
84000, 0.501375, 0.00116825
85500, 0.501199, 0.00116094
87000, 0.501336, 0.00114895
88500, 0.501372, 0.00112988
90000, 0.501367, 0.00111091
91500, 0.501389, 0.00109278
93000, 0.501397, 0.00107504
94500, 0.50126, 0.00106669
96000, 0.501285, 0.00105019
97500, 0.501348, 0.00103582
99000, 0.50149, 0.00102988
100500, 0.501381, 0.00102018
102000, 0.501327, 0.00100656
103500, 0.501256, 0.000994391
105000, 0.501361, 0.000985692
106500, 0.501131, 0.000998603
108000, 0.501065, 0.000986787
109500, 0.501112, 0.000974278
111000, 0.50124, 0.000969567
112500, 0.501234, 0.00095657
114000, 0.501284, 0.000945191
115500, 0.501122, 0.000946805
117000, 0.500975, 0.000945945
118500, 0.500971, 0.000933906
120000, 0.501002, 0.00092268
121500, 0.501142, 0.000921921
123000, 0.501103, 0.00091142
124500, 0.50095, 0.000913395
126000, 0.501046, 0.000907613
127500, 0.501175, 0.000906003
129000, 0.501301, 0.000904307
130500, 0.501199, 0.000899642
132000, 0.501308, 0.000896027
133500, 0.50134, 0.000886458
135000, 0.501396, 0.000878369
136500, 0.501203, 0.000889823
138000, 0.501259, 0.000881842
139500, 0.501163, 0.000877539
141000, 0.501201, 0.000868992
142500, 0.501275, 0.000862988
144000, 0.501193, 0.000857882
145500, 0.501124, 0.000851853
147000, 0.501102, 0.000843399
148500, 0.501002, 0.0008408
150000, 0.50097, 0.000832976
