N_terms = 1, N_terms = 2, N_terms = 10, N_terms = 100
0.409168, 1.07893, 0.794159, 0.535616
0.438931, 0.718885, 0.739166, 0.584873
0.326764, 0.477887, 0.626371, 0.54735
0.169887, 0.519452, 0.565207, 0.568086
0.729552, 0.984108, 0.797719, 0.576473
0.156849, 0.848134, 0.698562, 0.599898
0.772047, 0.873743, 0.755898, 0.570245
0.722367, 0.725312, 0.624234, 0.588441
0.466094, 0.621793, 0.606793, 0.52511
0.355327, 0.871753, 0.746435, 0.574807
0.915263, 0.945721, 0.632593, 0.522012
0.614696, 0.755017, 0.520147, 0.57382
0.15581, 0.766359, 0.51449, 0.534401
0.604289, 0.861693, 0.77734, 0.533772
0.39955, 0.792093, 0.62958, 0.565142
0.325479, 0.595646, 0.653123, 0.502433
0.814206, 1.36754, 1.01836, 0.630362
0.750674, 1.20368, 0.951846, 0.61728
0.102019, 0.544575, 0.627228, 0.599056
0.35987, 0.633506, 0.666255, 0.584185
0.768324, 1.13332, 0.838807, 0.540858
0.807017, 0.649307, 0.603953, 0.541549
0.850901, 1.01393, 0.773662, 0.569472
0.498265, 0.907754, 0.732365, 0.57277
0.161579, 0.280892, 0.686351, 0.534322
0.614395, 0.907192, 0.685316, 0.524319
0.876175, 0.904763, 0.585244, 0.519846
0.493571, 0.628557, 0.527163, 0.603883
0.423035, 0.490163, 0.583979, 0.55168
0.210992, 0.460162, 0.660799, 0.540464
0.770423, 0.637519, 0.60007, 0.493903
0.137138, 0.580665, 0.617474, 0.592096
0.237744, 0.539246, 0.621874, 0.521956
0.7566, 1.08773, 0.811881, 0.591756
0.947917, 1.01004, 0.554014, 0.554087
0.0239279, 0.526536, 0.627817, 0.555222
0.668407, 1.0659, 0.813911, 0.618966
0.964953, 0.848601, 0.668337, 0.572446
0.232504, 0.821221, 0.755397, 0.577235
0.882838, 1.18782, 0.836028, 0.570761
0.161662, 0.740509, 0.737791, 0.562428
0.281801, 0.493696, 0.529233, 0.505673
0.768871, 0.626306, 0.666544, 0.553964
0.0471249, 0.27021, 0.560877, 0.608972
0.480555, 0.854598, 0.663081, 0.582185
0.737809, 0.691474, 0.753433, 0.576581
0.333858, 0.971935, 0.699567, 0.569233
0.0402584, 0.67651, 0.585785, 0.570977
0.0503147, 0.313336, 0.534, 0.586484
0.441133, 0.856013, 0.696061, 0.565136
0.127211, 0.510873, 0.656406, 0.569491
0.830435, 1.0703, 0.878465, 0.597168
0.855842, 0.801434, 0.497463, 0.5631
0.213106, 0.872711, 0.786293, 0.566088
0.95368, 1.07806, 0.812119, 0.58689
0.0176597, 0.273293, 0.554486, 0.465083
0.610875, 0.890129, 0.613204, 0.600871
0.788819, 0.76238, 0.625802, 0.623301
0.485781, 0.643768, 0.493509, 0.557608
0.984438, 0.741554, 0.752761, 0.560403
0.311519, 0.630097, 0.603854, 0.585987
0.398185, 0.254111, 0.525378, 0.521203
0.0404057, 0.5843, 0.546281, 0.532617
0.257387, 0.628302, 0.574415, 0.598102
0.0278114, 0.683325, 0.791471, 0.565488
0.226779, 0.340029, 0.475929, 0.524941
0.440473, 0.729401, 0.632296, 0.562755
0.353759, 0.435786, 0.536544, 0.521078
0.569637, 0.87893, 0.706543, 0.57505
0.262633, 0.446834, 0.602098, 0.602511
0.399013, 0.478042, 0.53914, 0.522105
0.054029, 0.638884, 0.534381, 0.473435
0.837112, 0.71706, 0.670024, 0.550867
0.117025, 0.213102, 0.502148, 0.583773
0.197605, 1.005, 0.817639, 0.594997
0.148251, 0.753908, 0.736319, 0.587383
0.736542, 0.915405, 0.65306, 0.619378
0.535054, 0.637372, 0.713178, 0.591795
0.880532, 0.810641, 0.655512, 0.53206
0.517274, 0.874576, 0.87507, 0.563484
0.673201, 0.609061, 0.768086, 0.57364
0.174663, 0.736951, 0.529896, 0.497662
0.803036, 0.961559, 0.728709, 0.583257
0.16659, 0.622306, 0.48577, 0.490455
0.139866, 0.431856, 0.484757, 0.562447
0.739167, 0.804723, 0.668516, 0.569347
0.115677, 0.712081, 0.693718, 0.543471
0.23556, 0.600584, 0.690836, 0.584396
0.779961, 0.971655, 0.681278, 0.595851
0.325051, 0.891527, 0.722285, 0.573884
0.0022177, 0.433628, 0.657286, 0.585773
0.731871, 0.815973, 0.576307, 0.519196
