beta, l1
0, 37.0362
0.200401, 45.9736
0.400802, 38.9806
0.601202, 31.1287
0.801603, 27.252
1.002, 26.3393
1.2024, 25.3032
1.40281, 23.8599
1.60321, 17.7343
1.80361, 14.3342
2.00401, 22.407
2.20441, 20.5995
2.40481, 22.698
2.60521, 16.723
2.80561, 12.7909
3.00601, 12.1352
3.20641, 13.6045
3.40681, 12.7063
3.60721, 13.777
3.80762, 12.7894
4.00802, 12.2159
4.20842, 10.3756
4.40882, 9.77473
4.60922, 8.57427
4.80962, 8.69014
5.01002, 9.89007
5.21042, 10.0588
5.41082, 7.96157
5.61122, 7.11449
5.81162, 8.60559
6.01202, 8.47991
6.21242, 8.60597
6.41283, 8.35993
6.61323, 7.23757
6.81363, 7.14113
7.01403, 7.94437
7.21443, 6.88654
7.41483, 8.01869
7.61523, 7.20623
7.81563, 7.28129
8.01603, 7.36541
8.21643, 8.03831
8.41683, 6.79126
8.61723, 6.74175
8.81764, 6.62138
9.01804, 6.93802
9.21844, 6.8385
9.41884, 6.64149
9.61924, 6.70363
9.81964, 6.9691
10.02, 6.94918
10.2204, 6.73451
10.4208, 6.41608
10.6212, 7.32131
10.8216, 6.44059
11.022, 6.48666
11.2224, 8.06905
11.4228, 6.77926
11.6232, 6.39323
11.8236, 7.10236
12.024, 6.84357
12.2244, 7.11999
12.4248, 6.8619
12.6253, 6.96015
12.8257, 6.92511
13.0261, 7.02705
13.2265, 6.32043
13.4269, 6.73301
13.6273, 6.39323
13.8277, 6.72971
14.0281, 6.76712
14.2285, 6.41415
14.4289, 6.97223
14.6293, 6.40514
14.8297, 6.5627
15.0301, 6.789
15.2305, 6.42846
15.4309, 6.42243
15.6313, 6.69375
15.8317, 6.33714
16.0321, 6.32676
16.2325, 6.41141
16.4329, 6.69089
16.6333, 6.44668
16.8337, 6.35532
17.0341, 6.36433
17.2345, 6.39361
17.4349, 6.39359
17.6353, 6.48769
17.8357, 6.5557
18.0361, 6.73165
18.2365, 6.5341
18.4369, 6.65284
18.6373, 6.49839
18.8377, 6.39361
19.0381, 6.43281
19.2385, 6.58818
19.4389, 6.45579
19.6393, 6.35532
19.8397, 6.39359
20.0401, 6.42332
20.2405, 6.38104
20.4409, 6.3873
20.6413, 6.34972
20.8417, 6.32523
21.0421, 6.469
21.2425, 6.32523
21.4429, 6.34615
21.6433, 6.34615
21.8437, 6.53408
22.0441, 6.42848
22.2445, 6.34494
22.4449, 6.45097
22.6453, 6.39792
22.8457, 6.34972
23.0461, 6.36785
23.2465, 6.60235
23.4469, 6.44666
23.6473, 6.48155
23.8477, 6.32523
24.0481, 6.34494
24.2485, 6.32523
24.4489, 6.36787
24.6493, 6.36787
24.8497, 6.34967
25.0501, 6.30225
25.2505, 6.39357
25.4509, 6.32523
25.6513, 6.51897
25.8517, 6.40514
26.0521, 6.54471
26.2525, 6.45531
26.4529, 6.32676
26.6533, 6.43866
26.8537, 6.52218
27.0541, 6.32523
27.2545, 6.30225
27.4549, 6.38104
27.6553, 6.40554
27.8557, 6.42243
28.0561, 6.35532
28.2565, 6.36012
28.4569, 6.34967
28.6573, 6.34967
28.8577, 6.38104
29.0581, 6.34969
29.2585, 6.46337
29.4589, 6.34969
29.6593, 6.32523
29.8597, 6.34969
30.0601, 6.45732
30.2605, 6.30225
30.4609, 6.38458
30.6613, 6.32676
30.8617, 6.32523
31.0621, 6.30225
31.2625, 6.32523
31.4629, 6.34494
31.6633, 6.30225
31.8637, 6.34967
32.0641, 6.30225
32.2645, 6.32043
32.4649, 6.38104
32.6653, 6.36789
32.8657, 6.32523
33.0661, 6.34972
33.2665, 6.30225
33.4669, 6.35532
33.6673, 6.36433
33.8677, 6.65074
34.0681, 6.44783
34.2685, 6.40276
34.4689, 6.32523
34.6693, 6.32523
34.8697, 6.34615
35.0701, 6.32523
35.2705, 6.36913
35.4709, 6.32523
35.6713, 6.36785
35.8717, 6.34967
36.0721, 6.32043
36.2725, 6.39323
36.4729, 6.3873
36.6733, 6.36789
36.8737, 6.30225
37.0741, 6.4285
37.2745, 6.30225
37.4749, 6.30225
37.6754, 6.32043
37.8758, 6.30225
38.0762, 6.32523
38.2766, 6.32043
38.477, 6.34341
38.6774, 6.33714
38.8778, 6.34967
39.0782, 6.32676
39.2786, 6.34972
39.479, 6.32523
39.6794, 6.4359
39.8798, 6.30225
40.0802, 6.30225
40.2806, 6.37025
40.481, 6.36913
40.6814, 6.42332
40.8818, 6.49828
41.0822, 6.36433
41.2826, 6.35532
41.483, 6.32043
41.6834, 6.47074
41.8838, 6.32043
42.0842, 6.30225
42.2846, 6.45579
42.485, 6.30225
42.6854, 6.36785
42.8858, 6.46159
43.0862, 6.34615
43.2866, 6.32676
43.487, 6.50081
43.6874, 6.30225
43.8878, 6.32523
44.0882, 6.38458
44.2886, 6.30225
44.489, 6.36012
44.6894, 6.32043
44.8898, 6.30225
45.0902, 6.36012
45.2906, 6.34969
45.491, 6.30225
