igen, l1_best, l1_mean
0, 25.0819, 33.2831
1, 23.7183, 30.9419
2, 23.7183, 28.3723
3, 22.5278, 26.0028
4, 21.4561, 24.5973
5, 21.2254, 23.4969
6, 19.9299, 22.6305
7, 19.5639, 21.7158
8, 18.0737, 20.9498
9, 17.6521, 20.3071
10, 16.9644, 19.7659
11, 16.8913, 18.8964
12, 16.2302, 18.1565
13, 15.5498, 17.4126
14, 15.5498, 16.9446
15, 15.2197, 16.4424
16, 14.6162, 16.0656
17, 14.6162, 15.5989
18, 14.5232, 15.1514
19, 14.3075, 14.9081
20, 14.0292, 14.7475
21, 13.9322, 14.6001
22, 13.535, 14.3856
23, 13.3608, 14.263
24, 12.9844, 14.0628
25, 12.923, 13.9055
26, 12.3004, 13.6198
27, 12.2983, 13.4577
28, 11.791, 13.0132
29, 11.791, 12.7689
30, 11.791, 12.3936
31, 11.6995, 12.1491
32, 11.6995, 11.9232
33, 11.6382, 11.8471
34, 11.4936, 11.8018
35, 11.4322, 11.7573
36, 11.4322, 11.6591
37, 11.3662, 11.5839
38, 11.3115, 11.5096
39, 11.2194, 11.4526
40, 11.1846, 11.4989
41, 11.0793, 11.534
42, 10.9779, 11.4037
43, 10.9071, 11.3458
44, 10.9071, 11.2334
45, 10.9071, 11.174
46, 10.7904, 11.0899
47, 10.7904, 11.0616
48, 10.7904, 11.0635
49, 10.7904, 11.0037
50, 10.6298, 10.8894
51, 10.6298, 10.8381
52, 10.6298, 10.7841
53, 10.6298, 10.7401
54, 10.6298, 10.7128
55, 10.6298, 10.6749
56, 10.6298, 10.6593
57, 10.6298, 10.6648
58, 10.6298, 10.6769
59, 10.6298, 10.6547
60, 10.6133, 10.6306
61, 10.6133, 10.6557
62, 10.6133, 10.7123
63, 10.6133, 10.662
64, 10.6133, 10.6434
65, 10.6133, 10.6655
66, 10.6133, 10.6583
67, 10.6133, 10.6149
68, 10.6133, 10.692
69, 10.6133, 10.6166
70, 10.6133, 10.6157
71, 10.6133, 10.6133
72, 10.6133, 10.6171
73, 10.6133, 10.6213
74, 10.6133, 10.6134
75, 10.6133, 10.6133
76, 10.6133, 10.6165
77, 10.6133, 10.6139
78, 10.6133, 10.6222
79, 10.6133, 10.6446
80, 10.6133, 10.6193
81, 10.6133, 10.6144
82, 10.6133, 10.6138
83, 10.6133, 10.6611
84, 10.6133, 10.7185
85, 10.6133, 10.652
86, 10.6133, 10.6652
87, 10.6133, 10.6255
88, 10.6133, 10.6803
89, 10.6133, 10.6325
90, 10.6133, 10.6501
91, 10.6133, 10.6578
92, 10.6133, 10.6398
93, 10.6133, 10.6229
94, 10.6133, 10.6535
95, 10.6133, 10.6386
96, 10.6133, 10.6737
97, 10.6133, 10.6136
98, 10.6133, 10.628
99, 10.6133, 10.6291
100, 10.6133, 10.6239
101, 10.6133, 10.6133
102, 10.6133, 10.707
103, 10.6133, 10.6738
104, 10.6133, 10.6585
105, 10.6133, 10.6346
106, 10.6133, 10.6746
107, 10.6133, 10.6267
108, 10.6133, 10.6144
109, 10.6133, 10.641
110, 10.6133, 10.6412
111, 10.6133, 10.6136
112, 10.6133, 10.6171
113, 10.6133, 10.6297
114, 10.6133, 10.644
115, 10.6133, 10.6225
116, 10.6133, 10.6133
117, 10.6133, 10.6146
118, 10.6133, 10.6147
119, 10.6133, 10.6344
120, 10.6133, 10.6351
121, 10.6133, 10.669
122, 10.6133, 10.6742
123, 10.6133, 10.6146
124, 10.6133, 10.6133
125, 10.6133, 10.6136
126, 10.6133, 10.6239
127, 10.6133, 10.6329
128, 10.6133, 10.6615
129, 10.6133, 10.6476
130, 10.6133, 10.6405
131, 10.6133, 10.6187
132, 10.6133, 10.6195
133, 10.6133, 10.6145
134, 10.6133, 10.6451
135, 10.6133, 10.6241
136, 10.6133, 10.6359
137, 10.6133, 10.6481
138, 10.6133, 10.6794
139, 10.6133, 10.6724
140, 10.6133, 10.6563
141, 10.6133, 10.6659
142, 10.6133, 10.6844
143, 10.6133, 10.6448
144, 10.6133, 10.6679
145, 10.6133, 10.7169
146, 10.6133, 10.6955
147, 10.6133, 10.7461
148, 10.6133, 10.7077
149, 10.6133, 10.6531
