igen, l1_best, l1_mean
0, 26.8386, 32.8277
1, 25.1675, 31.0502
2, 21.5522, 29.3878
3, 21.541, 27.3314
4, 20.9398, 25.5366
5, 20.3645, 23.7701
6, 19.2809, 22.3403
7, 17.1199, 21.5234
8, 17.1199, 20.4416
9, 16.072, 19.4569
10, 16.072, 18.5191
11, 15.8222, 17.487
12, 15.7675, 16.7937
13, 15.6511, 16.4201
14, 14.372, 16.173
15, 14.372, 15.8342
16, 14.229, 15.5174
17, 14.229, 15.1839
18, 14.1776, 14.923
19, 14.0346, 14.6932
20, 14.0346, 14.5204
21, 13.7412, 14.3533
22, 13.5468, 14.1465
23, 13.4879, 14.0257
24, 13.2834, 13.8735
25, 13.168, 13.7673
26, 13.168, 13.6628
27, 13.1, 13.4964
28, 12.9636, 13.406
29, 12.9636, 13.3487
30, 12.9377, 13.2875
31, 12.9201, 13.2372
32, 12.7118, 13.1613
33, 12.7118, 12.9982
34, 12.6586, 12.9318
35, 12.3398, 12.8791
36, 12.3398, 12.7767
37, 12.2011, 12.6432
38, 11.8291, 12.5875
39, 11.804, 12.4484
40, 11.804, 12.2477
41, 11.804, 12.2447
42, 11.3102, 12.0315
43, 11.3102, 11.8145
44, 11.2938, 11.6658
45, 10.979, 11.5624
46, 10.4607, 11.5082
47, 10.4607, 11.5422
48, 10.4607, 11.4995
49, 10.4607, 11.2981
50, 10.4142, 11.0641
51, 10.4142, 11.0854
52, 10.0081, 10.908
53, 10.0081, 10.7512
54, 9.96153, 10.5708
55, 9.96153, 10.3448
56, 9.96153, 10.1583
57, 9.96153, 10.0652
58, 9.96153, 10.0461
59, 9.95548, 10.0221
60, 9.95548, 10.0314
61, 9.89068, 10.0351
62, 9.88464, 9.9793
63, 9.88464, 9.9238
64, 9.88464, 9.90934
65, 9.82047, 9.93764
66, 9.82047, 9.95987
67, 9.82047, 10.0915
68, 9.82047, 10.1807
69, 9.82047, 10.332
70, 9.82047, 10.3386
71, 9.77462, 10.2937
72, 9.74065, 10.2672
73, 9.74065, 10.1218
74, 9.58293, 9.92646
75, 9.58003, 9.80728
76, 9.42231, 9.73961
77, 9.42231, 9.70293
78, 9.42231, 9.6573
79, 9.42231, 9.57313
80, 9.42231, 9.53394
81, 9.42231, 9.5229
82, 9.42231, 9.47107
83, 9.42231, 9.48271
84, 9.42231, 9.47228
85, 9.42231, 9.43894
86, 9.42231, 9.42231
87, 9.42231, 9.44411
88, 9.42231, 9.47308
89, 9.42231, 9.42423
90, 9.42231, 9.42231
91, 9.42231, 9.42248
92, 9.42231, 9.43507
93, 9.42231, 9.43121
94, 9.42231, 9.42273
95, 9.42231, 9.42864
96, 9.29795, 9.41822
97, 9.29795, 9.43334
98, 9.29795, 9.37131
99, 9.29795, 9.32314
100, 9.29795, 9.3262
