igen, l1_best, l1_mean
0, 24.8829, 30.6211
1, 24.7157, 29.1096
2, 23.8103, 27.5348
3, 22.2547, 25.7004
4, 22.2547, 24.6955
5, 21.5271, 23.9646
6, 20.4478, 23.0285
7, 19.5053, 22.1756
8, 19.2956, 21.4931
9, 19.2956, 20.8632
10, 18.4397, 20.5918
11, 18.4397, 20.096
12, 18.1597, 19.7423
13, 17.0911, 19.2756
14, 16.9893, 18.8208
15, 16.3481, 18.6026
16, 16.2301, 18.1257
17, 15.8897, 17.5748
18, 15.6185, 17.0147
19, 15.2777, 16.5806
20, 15.2444, 16.3508
21, 14.9941, 16.0278
22, 14.7325, 15.6103
23, 14.5435, 15.3123
24, 14.3918, 15.1247
25, 14.2815, 15.0146
26, 14.0312, 14.8752
27, 14.0312, 14.6968
28, 13.955, 14.4754
29, 13.748, 14.2682
30, 13.4666, 14.1483
31, 13.4666, 14.0233
32, 13.3893, 13.8408
33, 13.3242, 13.714
34, 13.2056, 13.6211
35, 13.2056, 13.5225
36, 12.9523, 13.39
37, 12.9523, 13.333
38, 12.6972, 13.2508
39, 12.6406, 13.1723
40, 12.4425, 13.1197
41, 12.4425, 13.0179
42, 12.4059, 12.9058
43, 12.0633, 12.702
44, 11.9271, 12.5735
45, 11.8352, 12.5011
46, 11.8352, 12.3414
47, 11.8352, 12.2692
48, 11.7645, 12.1137
49, 11.7525, 12.0158
50, 11.7525, 11.8775
51, 11.6583, 11.8922
52, 11.5453, 11.8464
53, 11.5453, 11.8307
54, 11.4391, 11.7048
55, 11.4391, 11.6517
56, 11.4391, 11.5791
57, 11.4391, 11.5397
58, 11.2537, 11.4993
59, 11.1475, 11.4689
60, 11.1475, 11.5234
61, 11.1475, 11.5345
62, 11.1475, 11.4011
63, 11.1475, 11.4155
64, 11.1475, 11.3401
65, 11.1475, 11.2273
66, 11.1475, 11.2786
67, 11.1475, 11.2243
68, 11.1475, 11.2326
69, 11.1475, 11.1716
70, 11.1475, 11.1635
71, 11.1475, 11.1502
72, 11.1475, 11.1475
73, 11.1475, 11.1594
74, 11.1475, 11.1476
75, 11.1475, 11.1504
76, 11.1475, 11.148
77, 11.1475, 11.1568
78, 11.1475, 11.1475
79, 11.1475, 11.1541
80, 11.1475, 11.156
81, 11.1475, 11.1882
82, 11.1475, 11.1689
83, 11.1475, 11.1846
84, 11.1475, 11.182
85, 11.1475, 11.1554
86, 11.1475, 11.1517
87, 11.1475, 11.1831
88, 11.1475, 11.1791
89, 11.1475, 11.16
90, 11.1475, 11.1747
91, 11.1475, 11.1629
92, 11.1475, 11.1475
93, 11.1475, 11.1475
94, 11.1475, 11.1475
95, 11.1475, 11.1476
96, 11.1475, 11.1475
97, 11.1475, 11.1475
98, 11.1475, 11.1475
99, 11.1475, 11.1475
100, 11.1475, 11.1638
101, 11.1475, 11.2173
102, 11.1475, 11.1706
103, 11.075, 11.1678
104, 11.075, 11.1408
105, 11.075, 11.1277
106, 11.075, 11.1396
107, 11.075, 11.162
108, 11.0602, 11.0903
109, 11.0602, 11.083
110, 11.0602, 11.1004
111, 11.0602, 11.1129
112, 11.0602, 11.0993
113, 11.0602, 11.0905
114, 11.0257, 11.0786
115, 11.0257, 11.0596
116, 11.0257, 11.0796
117, 11.0257, 11.1153
118, 11.0257, 11.1074
119, 11.0257, 11.0754
120, 11.0257, 11.0374
121, 11.0257, 11.0393
122, 11.0257, 11.0499
123, 11.0257, 11.0384
124, 11.0257, 11.0944
125, 11.0257, 11.0809
126, 11.0257, 11.0765
127, 11.0257, 11.0674
128, 11.0257, 11.0456
129, 11.0257, 11.044
130, 11.0257, 11.0496
131, 11.0257, 11.0257
132, 11.0257, 11.0488
133, 11.0257, 11.0257
134, 11.0257, 11.0315
135, 11.0257, 11.0394
136, 11.0257, 11.0391
137, 11.0257, 11.0261
138, 11.0257, 11.0416
139, 11.0257, 11.0798
140, 11.0257, 11.0581
141, 11.0257, 11.0357
142, 11.0257, 11.0862
143, 11.0257, 11.0947
144, 11.0257, 11.0648
145, 11.0257, 11.047
146, 11.0257, 11.0257
147, 11.0257, 11.0411
148, 11.0257, 11.0354
149, 11.0257, 11.0307
150, 11.0257, 11.0311
151, 11.0257, 11.0257
152, 11.0257, 11.0257
153, 11.0257, 11.0257
154, 11.0257, 11.0257
155, 11.0257, 11.0268
156, 11.0257, 11.0473
157, 11.0257, 11.0977
158, 11.0257, 11.0997
159, 11.0257, 11.0806
160, 11.0257, 11.0813
161, 11.0257, 11.0604
162, 11.0257, 11.0595
163, 11.0257, 11.0411
164, 11.0257, 11.0275
165, 11.0257, 11.0257
166, 11.0257, 11.0257
167, 11.0257, 11.0257
168, 11.0257, 11.0731
169, 11.0257, 11.1008
170, 11.0257, 11.0963
171, 11.0257, 11.0881
172, 11.0257, 11.0365
173, 11.0257, 11.0472
174, 11.0257, 11.0571
175, 11.0257, 11.0445
176, 11.0257, 11.0767
177, 11.0257, 11.0815
178, 11.0257, 11.0468
179, 11.0257, 11.0257
180, 11.0257, 11.0277
181, 11.0257, 11.0257
182, 11.0257, 11.0284
183, 11.0257, 11.0463
184, 11.0257, 11.0663
185, 11.0257, 11.0876
186, 11.0257, 11.0411
187, 11.0257, 11.0471
188, 11.0257, 11.0488
189, 11.0257, 11.0664
190, 11.0257, 11.0853
191, 11.0257, 11.0293
192, 11.0257, 11.0461
193, 11.0257, 11.0257
194, 11.0257, 11.0289
195, 11.0257, 11.0508
196, 11.0257, 11.0336
197, 11.0257, 11.0353
198, 11.0257, 11.0309
199, 11.0257, 11.0306
200, 11.0257, 11.0257
201, 11.0257, 11.0548
202, 11.0257, 11.0544
203, 11.0257, 11.0323
204, 11.0257, 11.0357
205, 11.0257, 11.0341
206, 11.0257, 11.0771
207, 11.0257, 11.0723
208, 11.0257, 11.0536
209, 11.0257, 11.0258
210, 11.0257, 11.0257
211, 11.0257, 11.0275
212, 11.0257, 11.0257
213, 11.0257, 11.0365
214, 11.0257, 11.042
215, 11.0257, 11.0476
216, 11.0257, 11.0917
217, 11.0257, 11.0573
218, 11.0257, 11.0304
219, 11.0257, 11.0695
220, 11.0257, 11.0414
221, 11.0257, 11.0379
222, 11.0257, 11.0505
223, 11.0257, 11.0438
224, 11.0257, 11.0653
225, 11.0257, 11.0434
226, 11.0257, 11.0295
227, 11.0257, 11.0624
228, 11.0257, 11.0994
229, 11.0257, 11.1304
230, 11.0257, 11.0637
231, 11.0257, 11.0508
232, 11.0257, 11.0445
233, 11.0257, 11.0519
234, 11.0257, 11.0458
235, 11.0257, 11.0268
236, 11.0257, 11.0526
237, 11.0257, 11.0276
238, 11.0257, 11.0632
239, 11.0257, 11.0459
240, 11.0257, 11.0446
241, 11.0257, 11.1098
242, 11.0257, 11.1349
243, 11.0257, 11.0454
244, 11.0257, 11.0415
245, 11.0257, 11.0482
246, 11.0257, 11.0459
247, 11.0257, 11.0392
248, 11.0257, 11.0797
249, 11.0257, 11.1063
250, 11.0257, 11.1024
