beta, l1
0, 31.5347
0.200401, 31.3681
0.400802, 33.0991
0.601202, 31.7718
0.801603, 28.199
1.002, 27.0566
1.2024, 27.9075
1.40281, 22.6947
1.60321, 25.4461
1.80361, 20.6037
2.00401, 27.3128
2.20441, 21.1582
2.40481, 18.5121
2.60521, 18.6026
2.80561, 19.6655
3.00601, 17.8232
3.20641, 15.6452
3.40681, 18.6034
3.60721, 19.1279
3.80762, 17.6346
4.00802, 14.9641
4.20842, 15.4277
4.40882, 16.6174
4.60922, 12.7523
4.80962, 13.8375
5.01002, 14.828
5.21042, 16.4622
5.41082, 13.0939
5.61122, 13.5195
5.81162, 13.6849
6.01202, 12.6088
6.21242, 13.2228
6.41283, 14.7037
6.61323, 13.6469
6.81363, 11.8003
7.01403, 11.1611
7.21443, 11.9476
7.41483, 13.3392
7.61523, 13.0427
7.81563, 12.2783
8.01603, 13.2928
8.21643, 13.2809
8.41683, 12.1396
8.61723, 13.5315
8.81764, 12.3303
9.01804, 12.0732
9.21844, 12.604
9.41884, 12.0432
9.61924, 11.5568
9.81964, 11.3292
10.02, 12.1439
10.2204, 11.8525
10.4208, 11.908
10.6212, 13.1003
10.8216, 10.6313
11.022, 10.8013
11.2224, 10.6937
11.4228, 11.7459
11.6232, 11.4471
11.8236, 10.7585
12.024, 10.8762
12.2244, 10.9045
12.4248, 10.7081
12.6253, 10.6961
12.8257, 10.7475
13.0261, 10.7164
13.2265, 11.0059
13.4269, 10.8135
13.6273, 10.9927
13.8277, 11.1192
14.0281, 10.7862
14.2285, 10.6835
14.4289, 10.8141
14.6293, 10.6835
14.8297, 10.8074
15.0301, 10.9588
15.2305, 10.7501
15.4309, 10.6979
15.6313, 10.672
15.8317, 10.783
16.0321, 10.7164
16.2325, 10.7228
16.4329, 10.9316
16.6333, 10.6313
16.8337, 10.811
17.0341, 10.6835
17.2345, 10.7585
17.4349, 10.7195
17.6353, 10.6054
17.8357, 11.048
18.0361, 10.6937
18.2365, 10.8141
18.4369, 10.8285
18.6373, 10.6054
18.8377, 10.6313
19.0381, 10.6835
19.2385, 10.6054
19.4389, 10.7228
19.6393, 10.7585
19.8397, 10.6835
20.0401, 10.8243
20.2405, 10.6054
20.4409, 10.7501
20.6413, 10.672
20.8417, 10.8563
21.0421, 10.7986
21.2425, 10.6054
21.4429, 10.7475
21.6433, 10.6054
21.8437, 10.7164
22.0441, 10.6054
22.2445, 10.9925
22.4449, 10.6054
22.6453, 10.6835
22.8457, 10.8789
23.0461, 10.6937
23.2465, 10.6961
23.4469, 10.888
23.6473, 10.6961
23.8477, 10.9141
24.0481, 10.7585
24.2485, 10.7585
24.4489, 10.6054
24.6493, 10.6054
24.8497, 10.6054
25.0501, 10.7475
25.2505, 10.722
25.4509, 10.6054
25.6513, 10.6054
25.8517, 10.6835
26.0521, 10.6054
26.2525, 10.7232
26.4529, 10.722
26.6533, 10.6054
26.8537, 10.8071
27.0541, 10.6313
27.2545, 10.6054
27.4549, 10.6054
27.6553, 10.6054
27.8557, 10.6054
28.0561, 10.7988
28.2565, 10.6313
28.4569, 10.6313
28.6573, 10.6054
28.8577, 10.6054
29.0581, 10.6054
29.2585, 10.7228
29.4589, 10.6054
29.6593, 10.6054
29.8597, 10.6313
30.0601, 10.6313
30.2605, 10.6054
30.4609, 10.6054
30.6613, 10.6313
30.8617, 10.6313
31.0621, 10.6054
31.2625, 10.6054
31.4629, 10.6054
31.6633, 10.6961
31.8637, 10.6054
32.0641, 10.6313
32.2645, 10.6313
32.4649, 10.7217
32.6653, 10.6961
32.8657, 10.6054
33.0661, 10.6054
33.2665, 10.6054
33.4669, 10.6313
33.6673, 10.6054
33.8677, 10.6313
