I, I(M), I_error(M)
1000, 0.998984, 0
2000, 0.994736, 0.00424808
3000, 0.99921, 0.00510225
4000, 0.997865, 0.00385023
5000, 0.997986, 0.00298482
6000, 0.999609, 0.00292822
7000, 0.999158, 0.00251567
8000, 0.99873, 0.00222023
9000, 0.998506, 0.0019708
10000, 0.998932, 0.00181343
11000, 0.999736, 0.00182667
12000, 0.999777, 0.00166802
13000, 0.999494, 0.00156022
14000, 0.999081, 0.00150238
15000, 0.999162, 0.00140097
16000, 0.999278, 0.00131558
17000, 0.999009, 0.00126464
18000, 0.999441, 0.00126834
19000, 0.999521, 0.00120235
20000, 0.999565, 0.0011415
21000, 0.999588, 0.00108604
22000, 0.999801, 0.001057
23000, 0.999896, 0.00101453
24000, 0.999929, 0.000971887
25000, 0.999844, 0.000936071
26000, 0.999465, 0.0009758
27000, 0.999299, 0.000953514
28000, 0.999461, 0.000932989
29000, 0.999532, 0.000903035
30000, 0.999544, 0.000872498
31000, 0.999477, 0.000846561
32000, 0.999727, 0.000856927
33000, 0.999956, 0.000861492
34000, 0.999978, 0.000836069
35000, 0.99998, 0.000811833
36000, 0.999928, 0.000790688
37000, 0.999853, 0.00077268
38000, 0.999822, 0.000752724
39000, 0.999916, 0.000739182
40000, 0.999711, 0.000748996
41000, 0.999776, 0.000733367
42000, 0.999718, 0.000718005
43000, 0.999667, 0.000702942
44000, 0.999654, 0.000686919
45000, 0.999646, 0.000671524
46000, 0.999589, 0.00065923
47000, 0.999649, 0.000647828
48000, 0.999637, 0.000634299
49000, 0.999656, 0.00062151
50000, 0.999553, 0.000617625
51000, 0.999547, 0.000605425
52000, 0.999482, 0.000597136
53000, 0.99943, 0.000588115
54000, 0.9995, 0.000581341
55000, 0.999722, 0.00061229
56000, 0.999617, 0.000610314
57000, 0.999686, 0.000603536
58000, 0.999642, 0.00059467
59000, 0.999669, 0.000585127
60000, 0.999702, 0.000576201
61000, 0.999708, 0.000566715
62000, 0.999723, 0.000557698
63000, 0.99976, 0.000550013
64000, 0.999801, 0.000542859
65000, 0.999926, 0.000548856
66000, 0.999922, 0.000540485
67000, 0.999899, 0.000532888
68000, 0.999949, 0.000527421
69000, 1.00001, 0.000523232
70000, 0.999859, 0.000537176
71000, 0.999901, 0.000531157
72000, 1.00004, 0.000540974
73000, 1.00003, 0.000533561
74000, 0.999991, 0.000527675
75000, 0.99986, 0.000536754
76000, 0.999938, 0.00053534
77000, 1.00003, 0.000536355
78000, 1.00005, 0.000529912
79000, 1.00001, 0.000524958
80000, 0.999978, 0.000519326
81000, 1.00005, 0.00051746
82000, 1.00002, 0.000512002
83000, 1.00002, 0.000505797
84000, 0.999958, 0.000503205
85000, 0.999945, 0.000497441
86000, 0.999888, 0.000494848
87000, 0.999943, 0.000492189
88000, 0.999901, 0.000488343
89000, 0.999915, 0.000483021
90000, 0.999905, 0.000477744
91000, 0.999895, 0.000472555
92000, 0.999941, 0.000469662
93000, 0.99991, 0.000465677
94000, 0.999934, 0.000461354
95000, 0.999968, 0.00045774
96000, 0.999909, 0.000456798
97000, 0.999887, 0.000452587
98000, 1.00002, 0.000468117
99000, 1.00006, 0.000465223
100000, 1.00011, 0.000462741
