I, I(M), I_error(M)
1000, 1.00706, 0
2000, 1.02245, 0.0153862
3000, 1.02295, 0.00889753
4000, 1.00874, 0.0155457
5000, 1.00486, 0.0126501
6000, 1.00099, 0.0110314
7000, 0.999871, 0.00938954
8000, 0.998906, 0.00818872
9000, 0.998981, 0.00722216
10000, 0.999028, 0.00645987
11000, 0.998038, 0.00592645
12000, 0.998621, 0.0054414
13000, 0.997134, 0.00522152
14000, 0.995541, 0.00508993
15000, 0.99487, 0.00478573
16000, 0.99516, 0.00448602
17000, 0.994749, 0.00423388
18000, 0.994021, 0.00405747
19000, 0.993621, 0.00385879
20000, 0.992918, 0.00372774
21000, 0.993068, 0.00354895
22000, 0.992715, 0.00340211
23000, 0.992298, 0.00327749
24000, 0.993781, 0.0034708
25000, 0.99354, 0.00333775
26000, 0.994031, 0.00324416
27000, 0.994948, 0.00325354
28000, 0.994901, 0.00313554
29000, 0.994552, 0.00304563
30000, 0.994733, 0.00294796
31000, 0.994909, 0.00285668
32000, 0.995215, 0.00278289
33000, 0.99576, 0.00275181
34000, 0.995944, 0.00267593
35000, 0.995969, 0.00259846
36000, 0.995759, 0.00253396
37000, 0.995877, 0.00246738
38000, 0.995709, 0.00240749
39000, 0.995442, 0.0023601
40000, 0.995542, 0.00230253
41000, 0.99547, 0.00224681
42000, 0.995243, 0.0022044
43000, 0.995905, 0.00225181
44000, 0.996215, 0.00222185
45000, 0.996303, 0.0021737
46000, 0.996417, 0.00212896
47000, 0.996836, 0.00212497
48000, 0.996946, 0.00208313
49000, 0.996884, 0.00204113
50000, 0.997653, 0.00214277
51000, 0.997418, 0.00211351
52000, 0.99749, 0.00207374
53000, 0.998083, 0.00211885
54000, 0.997622, 0.00212973
55000, 0.99757, 0.00209129
56000, 0.99759, 0.0020537
57000, 0.997405, 0.00202579
58000, 0.997478, 0.00199188
59000, 0.997524, 0.00195838
60000, 0.997596, 0.00192682
61000, 0.997149, 0.00194696
62000, 0.997267, 0.00191894
63000, 0.996813, 0.00194218
64000, 0.996996, 0.00192036
65000, 0.997226, 0.00190447
66000, 0.997024, 0.00188615
67000, 0.997592, 0.00194253
68000, 0.997315, 0.00193374
69000, 0.99742, 0.00190845
70000, 0.997705, 0.00190233
71000, 0.997831, 0.00187963
72000, 0.99797, 0.00185851
73000, 0.997881, 0.00183502
74000, 0.998119, 0.00182557
75000, 0.998402, 0.00182324
76000, 0.998535, 0.00180395
77000, 0.998584, 0.00178106
78000, 0.9986, 0.00175815
79000, 0.998512, 0.00173796
80000, 0.998251, 0.00173586
81000, 0.997918, 0.00174634
82000, 0.998233, 0.00175351
83000, 0.99845, 0.0017458
84000, 0.998381, 0.00172626
85000, 0.998172, 0.00171866
86000, 0.998298, 0.00170324
87000, 0.998136, 0.00169133
88000, 0.997954, 0.00168189
89000, 0.997876, 0.00166471
90000, 0.997851, 0.0016463
91000, 0.997753, 0.00163107
92000, 0.997679, 0.00161493
93000, 0.997713, 0.00159784
94000, 0.997918, 0.00159392
95000, 0.998029, 0.00158099
96000, 0.998295, 0.0015869
97000, 0.998188, 0.00157412
98000, 0.998074, 0.00156211
99000, 0.998272, 0.00155883
100000, 0.99833, 0.00154426
