step, r_mean, r_error
0, 0, 0
1, 1, -nan
2, 1.4102, 0.00445655
3, 1.73306, 0.00567697
4, 1.99064, 0.00727885
5, 2.23007, 0.00883953
6, 2.44837, 0.00967775
7, 2.64835, 0.00919903
8, 2.83759, 0.0101904
9, 3.01838, 0.0105897
10, 3.18537, 0.0121064
11, 3.32723, 0.0138922
12, 3.47862, 0.0146855
13, 3.62566, 0.0154454
14, 3.76555, 0.0153723
15, 3.89174, 0.0160801
16, 4.01977, 0.0159492
17, 4.14372, 0.0159284
18, 4.26996, 0.0163625
19, 4.38921, 0.0180893
20, 4.49804, 0.0189653
21, 4.6096, 0.0191177
22, 4.71601, 0.0192747
23, 4.81485, 0.0203118
24, 4.92471, 0.0208084
25, 5.03036, 0.0218481
26, 5.1206, 0.0216459
27, 5.20427, 0.0223817
28, 5.29869, 0.0217463
29, 5.38682, 0.0214938
30, 5.48146, 0.0215631
31, 5.56118, 0.0228517
32, 5.65081, 0.0238996
33, 5.73836, 0.0240053
34, 5.83106, 0.0229968
35, 5.92219, 0.0234263
36, 6.00881, 0.0238669
37, 6.0851, 0.024033
38, 6.18162, 0.0237382
39, 6.26577, 0.0234221
40, 6.34526, 0.0239385
41, 6.42002, 0.0241808
42, 6.49423, 0.0245433
43, 6.56873, 0.0252475
44, 6.64098, 0.0258621
45, 6.72111, 0.0266188
46, 6.78623, 0.0266356
47, 6.86366, 0.0264769
48, 6.9196, 0.0270944
49, 6.99362, 0.0270292
50, 7.06594, 0.027025
51, 7.14019, 0.0274859
52, 7.20613, 0.0287858
53, 7.28133, 0.0290483
54, 7.35653, 0.0282033
55, 7.42151, 0.029767
56, 7.48844, 0.0302079
57, 7.56229, 0.0304631
58, 7.61683, 0.0297873
59, 7.68818, 0.0290578
60, 7.7552, 0.0293644
61, 7.82796, 0.029771
62, 7.88919, 0.030052
63, 7.95646, 0.0307039
64, 8.02246, 0.0307266
65, 8.07789, 0.0310058
66, 8.14894, 0.0315231
67, 8.20287, 0.0318641
68, 8.26121, 0.0332972
69, 8.32019, 0.0342524
70, 8.37268, 0.0342347
71, 8.43141, 0.0341063
72, 8.48572, 0.035294
73, 8.54165, 0.0358377
74, 8.60177, 0.0360036
75, 8.66821, 0.0362666
76, 8.72288, 0.0361903
77, 8.77533, 0.0353662
78, 8.83382, 0.0354656
79, 8.88543, 0.036613
80, 8.94116, 0.0373667
81, 8.99504, 0.0376867
82, 9.05571, 0.0381004
83, 9.11542, 0.0382244
84, 9.16898, 0.0391069
85, 9.22386, 0.0398921
86, 9.27409, 0.0399212
87, 9.33498, 0.0405381
88, 9.37631, 0.0395596
89, 9.43357, 0.0401533
90, 9.47489, 0.0400501
91, 9.53208, 0.0399988
92, 9.58256, 0.0396049
93, 9.63017, 0.0384186
94, 9.68354, 0.0391224
95, 9.75367, 0.0395756
96, 9.80009, 0.0395563
97, 9.85123, 0.0394784
98, 9.90767, 0.0400403
99, 9.95391, 0.0405546
100, 10.0038, 0.0413724
