step, r_mean, r_error
0, 0, 0
1, 1, 0
2, 1.9662, 0.011476
3, 2.9628, 0.0199274
4, 3.9498, 0.0280447
5, 4.935, 0.0358316
6, 5.9656, 0.044156
7, 6.9806, 0.0527147
8, 7.9708, 0.0611285
9, 8.9646, 0.0693432
10, 10.03, 0.0780115
11, 11.0328, 0.0855962
12, 12.0264, 0.0937542
13, 13.0614, 0.102964
14, 14.0194, 0.110716
15, 14.9936, 0.118641
16, 15.957, 0.126426
17, 16.9748, 0.134747
18, 18.0344, 0.142394
19, 19.1294, 0.151714
20, 20.0072, 0.158059
21, 21.038, 0.166624
22, 22.1096, 0.174903
23, 23.024, 0.181844
24, 24.0054, 0.190492
25, 24.9946, 0.199713
26, 26.0732, 0.208483
27, 27.1128, 0.218654
28, 28.074, 0.225857
29, 29.1458, 0.234602
30, 30.2598, 0.243779
31, 31.317, 0.252892
32, 32.3638, 0.262481
33, 33.2522, 0.271325
34, 34.1974, 0.278845
35, 35.2028, 0.286464
36, 36.1566, 0.294818
37, 37.1362, 0.302417
38, 38.24, 0.312227
39, 39.2598, 0.319519
40, 40.2798, 0.329567
41, 41.216, 0.336477
42, 42.2246, 0.343039
43, 43.2768, 0.351047
44, 44.493, 0.36148
45, 45.5676, 0.369365
46, 46.5312, 0.377034
47, 47.5148, 0.384819
48, 48.6206, 0.394258
49, 49.5344, 0.401933
50, 50.4686, 0.410226
51, 51.4426, 0.417619
52, 52.446, 0.427601
53, 53.4292, 0.435859
54, 54.2896, 0.442473
55, 55.2964, 0.449895
56, 56.3436, 0.461189
57, 57.2892, 0.468742
58, 58.2894, 0.476552
59, 59.1912, 0.483574
60, 60.2056, 0.492436
61, 61.2498, 0.500008
62, 62.3306, 0.506817
63, 63.2208, 0.513909
64, 64.4312, 0.522553
65, 65.5712, 0.533658
66, 66.7274, 0.543274
67, 67.8002, 0.553257
68, 68.88, 0.562423
69, 69.858, 0.572443
70, 70.9318, 0.578406
71, 71.9832, 0.586659
72, 72.968, 0.595177
73, 73.8966, 0.602018
74, 74.8824, 0.609794
75, 75.787, 0.615527
76, 76.7584, 0.6234
77, 77.7786, 0.631232
78, 78.5952, 0.637544
79, 79.5456, 0.64545
80, 80.3832, 0.652016
81, 81.427, 0.660298
82, 82.4596, 0.670979
83, 83.5898, 0.680441
84, 84.6628, 0.689923
85, 85.6066, 0.69947
86, 86.7442, 0.707467
87, 87.8142, 0.715602
88, 88.6916, 0.724496
89, 89.6226, 0.731432
90, 90.6054, 0.741645
91, 91.337, 0.746936
92, 92.3634, 0.75632
93, 93.4738, 0.763026
94, 94.3944, 0.768787
95, 95.424, 0.776307
96, 96.4728, 0.783027
97, 97.4328, 0.792282
98, 98.3768, 0.799091
99, 99.382, 0.808164
100, 100.328, 0.816198
