M, C(M), C_error(M)
500, 13.5171, 0
1000, 14.1863, 0.669287
1500, 14.3968, 0.439991
2000, 14.1628, 0.389251
2500, 14.2974, 0.330165
3000, 14.3463, 0.273983
3500, 14.3622, 0.2321
4000, 14.4489, 0.218926
4500, 14.5419, 0.214312
5000, 14.5326, 0.191914
5500, 14.4178, 0.208099
6000, 14.5104, 0.211301
6500, 14.5052, 0.194436
7000, 14.5043, 0.180015
7500, 14.6206, 0.203967
8000, 14.6188, 0.190802
8500, 14.68, 0.189387
9000, 14.6847, 0.178617
9500, 14.7044, 0.170099
10000, 14.7784, 0.177521
10500, 14.7537, 0.170647
11000, 14.7391, 0.163362
11500, 14.6777, 0.167712
12000, 14.7795, 0.1901
12500, 14.7993, 0.183404
13000, 14.7668, 0.179181
13500, 14.7705, 0.172456
14000, 14.7592, 0.166565
14500, 14.7582, 0.160722
15000, 14.7211, 0.159644
15500, 14.7359, 0.155116
16000, 14.7861, 0.158366
16500, 14.797, 0.153878
17000, 14.7666, 0.152338
17500, 14.7841, 0.148955
18000, 14.7789, 0.144852
18500, 14.799, 0.142309
19000, 14.8088, 0.13886
19500, 14.7924, 0.136241
20000, 14.7694, 0.134769
20500, 14.744, 0.133879
21000, 14.7586, 0.131461
21500, 14.7489, 0.128733
22000, 14.7424, 0.125939
22500, 14.75, 0.123345
23000, 14.7572, 0.120849
23500, 14.7681, 0.118751
24000, 14.7745, 0.116423
24500, 14.7995, 0.116745
25000, 14.8026, 0.114427
25500, 14.8078, 0.112281
26000, 14.7895, 0.111605
26500, 14.798, 0.10981
27000, 14.7989, 0.107761
27500, 14.8038, 0.105894
28000, 14.8111, 0.104246
28500, 14.809, 0.102424
29000, 14.8137, 0.100754
29500, 14.7719, 0.107479
30000, 14.7772, 0.105804
30500, 14.7693, 0.104356
31000, 14.7739, 0.10276
31500, 14.7643, 0.101568
32000, 14.7545, 0.100444
32500, 14.7513, 0.0989408
33000, 14.7583, 0.0976879
33500, 14.7551, 0.0962727
34000, 14.7623, 0.0951188
34500, 14.7828, 0.0959407
35000, 14.7811, 0.0945754
35500, 14.7721, 0.0936696
36000, 14.7622, 0.0928847
36500, 14.7463, 0.0929745
37000, 14.7538, 0.0920156
37500, 14.7394, 0.0919203
38000, 14.7489, 0.0912057
38500, 14.7418, 0.0902928
39000, 14.7536, 0.0899043
39500, 14.7593, 0.0889421
40000, 14.7589, 0.0878245
40500, 14.7725, 0.0878013
41000, 14.7808, 0.087119
41500, 14.7716, 0.0865511
42000, 14.7994, 0.0899108
42500, 14.8172, 0.0906134
43000, 14.8212, 0.0896422
43500, 14.8217, 0.0886071
44000, 14.8377, 0.0890548
44500, 14.8293, 0.0884543
45000, 14.8291, 0.0874661
45500, 14.822, 0.0867899
46000, 14.8433, 0.0884514
46500, 14.8516, 0.0878819
47000, 14.867, 0.0883065
47500, 14.8664, 0.087374
48000, 14.863, 0.0865258
48500, 14.8654, 0.0856627
49000, 14.8612, 0.0848904
49500, 14.8545, 0.0842895
50000, 14.8497, 0.0835827
50500, 14.8529, 0.0828115
51000, 14.8645, 0.0828188
51500, 14.869, 0.0821329
52000, 14.8671, 0.0813609
52500, 14.8719, 0.0807215
53000, 14.8665, 0.0801385
53500, 14.8579, 0.0798487
54000, 14.8678, 0.0797265
54500, 14.8683, 0.0789933
55000, 14.876, 0.0786501
55500, 14.885, 0.0784554
56000, 14.8854, 0.0777529
56500, 14.8842, 0.0770722
57000, 14.8966, 0.0773907
57500, 14.8945, 0.0767431
58000, 14.8844, 0.0767406
58500, 14.8845, 0.0760819
59000, 14.8909, 0.0757055
59500, 14.8766, 0.0764211
60000, 14.8668, 0.0764172
60500, 14.8687, 0.0758066
61000, 14.8782, 0.075779
61500, 14.8775, 0.075163
62000, 14.8645, 0.0756796
62500, 14.8673, 0.0751237
63000, 14.8655, 0.074548
63500, 14.8634, 0.0739864
64000, 14.8547, 0.073924
64500, 14.8525, 0.0733831
65000, 14.8673, 0.0743112
65500, 14.8709, 0.0738304
66000, 14.8701, 0.0732731
66500, 14.8662, 0.0728285
67000, 14.8739, 0.0727015
67500, 14.8701, 0.0722615
68000, 14.8673, 0.0717857
68500, 14.8629, 0.0713922
69000, 14.8584, 0.0710159
69500, 14.8567, 0.070523
70000, 14.8499, 0.0703557
70500, 14.8395, 0.0706168
71000, 14.8364, 0.0701865
71500, 14.8244, 0.0707144
72000, 14.8188, 0.0704433
72500, 14.8209, 0.0699853
73000, 14.8242, 0.0695834
73500, 14.8171, 0.0694669
74000, 14.8168, 0.0689967
74500, 14.8191, 0.0685692
75000, 14.8106, 0.0686388
75500, 14.815, 0.068324
76000, 14.8084, 0.0681927
76500, 14.8192, 0.0686078
77000, 14.8188, 0.0681618
77500, 14.8083, 0.068538
78000, 14.8051, 0.0681739
78500, 14.8053, 0.0677387
79000, 14.811, 0.0675494
