M, C(M), C_error(M)
500, 14.4491, 0
1000, 15.4951, 1.04593
1500, 15.6173, 0.616109
2000, 15.366, 0.502934
2500, 15.2761, 0.399799
3000, 15.1449, 0.351818
3500, 15.0809, 0.304157
4000, 15.0564, 0.264543
4500, 15.1316, 0.245122
5000, 15.3002, 0.276575
5500, 15.3178, 0.250794
6000, 15.4249, 0.252747
6500, 15.3592, 0.241599
7000, 15.3744, 0.224195
7500, 15.3401, 0.211513
8000, 15.3284, 0.198202
8500, 15.3543, 0.18798
9000, 15.376, 0.178551
9500, 15.3767, 0.168894
10000, 15.3496, 0.162509
10500, 15.3237, 0.156732
11000, 15.3273, 0.149483
11500, 15.2913, 0.147312
12000, 15.2262, 0.155342
12500, 15.1825, 0.155266
13000, 15.1328, 0.157218
13500, 15.1264, 0.151418
14000, 15.1236, 0.145937
14500, 15.1151, 0.141075
15000, 15.1464, 0.139841
15500, 15.1464, 0.135255
16000, 15.1412, 0.131063
16500, 15.119, 0.128959
17000, 15.1033, 0.126095
17500, 15.0824, 0.12421
18000, 15.0586, 0.123021
18500, 15.0541, 0.119736
19000, 15.0328, 0.118472
19500, 15.03, 0.115429
20000, 15.0212, 0.11285
20500, 15.0109, 0.110547
21000, 15.0101, 0.107886
21500, 15.0663, 0.119412
22000, 15.0968, 0.120593
22500, 15.094, 0.117916
23000, 15.0755, 0.116797
23500, 15.0474, 0.1177
24000, 15.0626, 0.116226
24500, 15.0745, 0.114453
25000, 15.0827, 0.11244
25500, 15.1128, 0.114233
26000, 15.0991, 0.112851
26500, 15.0959, 0.110746
27000, 15.097, 0.108681
27500, 15.0958, 0.106694
28000, 15.0728, 0.10727
28500, 15.0705, 0.105396
29000, 15.086, 0.104711
29500, 15.0758, 0.103415
30000, 15.0739, 0.101696
30500, 15.0766, 0.10005
31000, 15.0852, 0.0988069
31500, 15.0859, 0.097228
32000, 15.0989, 0.0965742
32500, 15.1121, 0.0959902
33000, 15.1157, 0.094593
33500, 15.1108, 0.0932985
34000, 15.0982, 0.0927798
34500, 15.115, 0.0929633
35000, 15.1257, 0.0922522
35500, 15.1361, 0.0915317
36000, 15.1455, 0.0907434
36500, 15.1291, 0.0909915
37000, 15.1409, 0.090527
37500, 15.1531, 0.0901413
38000, 15.1377, 0.0902629
38500, 15.1274, 0.0896756
39000, 15.114, 0.0895387
39500, 15.1239, 0.0889568
40000, 15.1317, 0.0881779
40500, 15.1263, 0.0872468
41000, 15.1124, 0.0872834
41500, 15.1292, 0.0878286
42000, 15.1223, 0.0870484
42500, 15.1226, 0.0860189
43000, 15.1309, 0.0854174
43500, 15.1446, 0.0855343
44000, 15.1398, 0.084696
44500, 15.1354, 0.0838545
45000, 15.1491, 0.0840511
45500, 15.135, 0.0843239
46000, 15.1257, 0.0839115
46500, 15.1233, 0.0830402
47000, 15.1249, 0.0821671
47500, 15.1294, 0.0814219
48000, 15.1289, 0.0805703
48500, 15.1281, 0.0797398
49000, 15.1283, 0.0789222
49500, 15.1173, 0.0788905
50000, 15.1166, 0.078101
50500, 15.1078, 0.0778182
51000, 15.1041, 0.0771412
51500, 15.1083, 0.0765021
52000, 15.118, 0.0763779
52500, 15.1196, 0.0756657
53000, 15.1235, 0.0750491
53500, 15.1284, 0.074506
54000, 15.1226, 0.0740434
54500, 15.1157, 0.0736868
55000, 15.1215, 0.0732473
55500, 15.1082, 0.0737885
56000, 15.0979, 0.0738616
56500, 15.1009, 0.0732677
57000, 15.096, 0.072789
57500, 15.0932, 0.0722065
58000, 15.1069, 0.0728939
58500, 15.107, 0.0722682
59000, 15.1037, 0.0717276
59500, 15.1004, 0.0711989
60000, 15.0994, 0.0706101
60500, 15.0958, 0.0701204
61000, 15.0948, 0.0695501
61500, 15.1046, 0.0696805
62000, 15.1154, 0.0699523
62500, 15.1114, 0.0695076
63000, 15.1218, 0.0697393
63500, 15.1239, 0.0692198
64000, 15.1286, 0.0688391
64500, 15.1309, 0.0683421
65000, 15.1384, 0.0682292
65500, 15.1382, 0.0677068
66000, 15.1413, 0.067265
66500, 15.1391, 0.066795
67000, 15.137, 0.0663261
67500, 15.1219, 0.0675474
68000, 15.1196, 0.0670892
68500, 15.1127, 0.066955
69000, 15.1045, 0.0669757
69500, 15.0963, 0.0669901
70000, 15.0988, 0.0665555
70500, 15.1051, 0.066384
71000, 15.1086, 0.0660052
71500, 15.0998, 0.066128
72000, 15.0956, 0.0657978
72500, 15.0984, 0.0654002
73000, 15.0979, 0.0649528
73500, 15.0804, 0.066818
74000, 15.0924, 0.0674428
