M, P(M), P_error(M)
500, 5.84967, 0
1000, 5.72743, 0.122244
1500, 5.68809, 0.0807981
2000, 5.70578, 0.0598088
2500, 5.73079, 0.0526454
3000, 5.64313, 0.0976284
3500, 5.56777, 0.111749
4000, 5.49296, 0.122322
4500, 5.52727, 0.113204
5000, 5.60702, 0.128886
5500, 5.56941, 0.122498
6000, 5.5644, 0.111937
6500, 5.54691, 0.104441
7000, 5.55284, 0.0968756
7500, 5.55033, 0.0902212
8000, 5.55727, 0.0846791
8500, 5.56515, 0.0799314
9000, 5.57047, 0.0755475
9500, 5.56588, 0.0716077
10000, 5.58331, 0.0701338
10500, 5.57327, 0.0674615
11000, 5.60778, 0.0729936
11500, 5.61371, 0.0699995
12000, 5.61423, 0.0670215
12500, 5.63641, 0.068004
13000, 5.66579, 0.0716374
13500, 5.64952, 0.0708269
14000, 5.65007, 0.0682528
14500, 5.6414, 0.0664253
15000, 5.63217, 0.0648341
15500, 5.60835, 0.0670787
16000, 5.6121, 0.0650567
16500, 5.58731, 0.0677529
17000, 5.55553, 0.0730079
17500, 5.55448, 0.0708991
18000, 5.57654, 0.072348
18500, 5.57526, 0.0703772
19000, 5.57978, 0.0686488
19500, 5.57721, 0.0669147
20000, 5.58571, 0.0657723
20500, 5.58984, 0.0642807
21000, 5.58119, 0.063325
21500, 5.5691, 0.0630058
22000, 5.5599, 0.0622411
22500, 5.55877, 0.0608527
23000, 5.57272, 0.0611277
23500, 5.55886, 0.0613962
24000, 5.55829, 0.0601063
24500, 5.5526, 0.0591409
25000, 5.5501, 0.058
25500, 5.55201, 0.0568834
26000, 5.54337, 0.0564443
26500, 5.54232, 0.0553789
27000, 5.54618, 0.0544803
27500, 5.53834, 0.0540527
28000, 5.53788, 0.0530807
28500, 5.5257, 0.0535434
29000, 5.5283, 0.0526763
29500, 5.52822, 0.0517759
30000, 5.53108, 0.0509861
30500, 5.54248, 0.0514218
31000, 5.53553, 0.0510606
31500, 5.52952, 0.0506012
32000, 5.5296, 0.0498044
32500, 5.52509, 0.049239
33000, 5.52524, 0.0484875
33500, 5.52266, 0.0478276
34000, 5.52915, 0.0475633
34500, 5.51922, 0.0479094
35000, 5.52742, 0.0479276
35500, 5.51831, 0.0481192
36000, 5.51041, 0.0480988
36500, 5.50679, 0.0475731
37000, 5.50284, 0.047092
37500, 5.4997, 0.0465659
38000, 5.49857, 0.0459629
38500, 5.49853, 0.0453621
39000, 5.49761, 0.0447862
39500, 5.50118, 0.04436
40000, 5.50341, 0.0438587
40500, 5.49963, 0.0434788
41000, 5.49632, 0.0430724
41500, 5.48695, 0.0435696
42000, 5.48019, 0.0435755
42500, 5.47604, 0.0432595
43000, 5.47876, 0.0428396
43500, 5.48237, 0.0424983
44000, 5.47981, 0.0420908
44500, 5.4728, 0.0422008
45000, 5.4742, 0.0417528
