M, P(M), P_error(M)
500, 4.58709, 0
1000, 5.24527, 0.658177
1500, 5.22797, 0.380392
2000, 5.15257, 0.279348
2500, 5.353, 0.294946
3000, 5.33885, 0.241237
3500, 5.303, 0.207011
4000, 5.32723, 0.180907
4500, 5.35843, 0.162567
5000, 5.36097, 0.145426
5500, 5.43264, 0.149801
6000, 5.42369, 0.137041
6500, 5.38897, 0.130753
7000, 5.36038, 0.124385
7500, 5.36891, 0.11611
8000, 5.36145, 0.108867
8500, 5.40064, 0.109518
9000, 5.36612, 0.108874
9500, 5.34452, 0.105226
10000, 5.36226, 0.101391
10500, 5.36157, 0.0964447
11000, 5.38772, 0.0956015
11500, 5.42507, 0.0986909
12000, 5.4146, 0.0950675
12500, 5.40501, 0.0916882
13000, 5.42219, 0.0897515
13500, 5.41475, 0.0866839
14000, 5.42314, 0.0839512
14500, 5.44174, 0.0831136
15000, 5.47642, 0.0874647
15500, 5.47421, 0.0846251
16000, 5.49484, 0.0844949
16500, 5.46491, 0.087193
17000, 5.44387, 0.0871672
17500, 5.4535, 0.0851855
18000, 5.42729, 0.0868335
18500, 5.44363, 0.086019
19000, 5.4412, 0.08376
19500, 5.44185, 0.0815867
20000, 5.45635, 0.0808315
20500, 5.47087, 0.0801613
21000, 5.46947, 0.0782419
21500, 5.46587, 0.0764854
22000, 5.46896, 0.0747909
22500, 5.4576, 0.0739876
23000, 5.46356, 0.0726065
23500, 5.46142, 0.0710772
24000, 5.45578, 0.069809
24500, 5.46134, 0.0685956
25000, 5.46533, 0.067328
25500, 5.47422, 0.06659
26000, 5.47713, 0.0653618
26500, 5.47646, 0.0641203
27000, 5.47325, 0.063003
27500, 5.46262, 0.062755
28000, 5.45645, 0.061932
28500, 5.45975, 0.0609253
29000, 5.45506, 0.0600489
29500, 5.46079, 0.0592997
30000, 5.46232, 0.058323
30500, 5.4597, 0.0574186
31000, 5.44975, 0.0573555
31500, 5.44932, 0.0564394
32000, 5.43631, 0.0570541
32500, 5.44407, 0.0567031
33000, 5.44569, 0.0558608
33500, 5.4468, 0.0550321
34000, 5.44316, 0.0543388
34500, 5.44185, 0.0535616
35000, 5.43803, 0.0529288
35500, 5.44628, 0.0528254
36000, 5.44981, 0.0522067
36500, 5.44921, 0.0514901
37000, 5.45363, 0.0509812
37500, 5.45065, 0.0503847
38000, 5.44714, 0.0498412
38500, 5.44583, 0.0492071
39000, 5.44522, 0.0485761
39500, 5.45108, 0.0483138
40000, 5.45222, 0.0477198
40500, 5.45348, 0.0471438
41000, 5.45072, 0.0466467
41500, 5.44866, 0.0461276
42000, 5.44377, 0.0458368
42500, 5.43927, 0.0455173
43000, 5.4409, 0.0450146
43500, 5.43826, 0.0445725
44000, 5.43732, 0.0440732
44500, 5.43574, 0.0436036
45000, 5.43405, 0.0431494
45500, 5.44035, 0.0431351
46000, 5.44526, 0.0429453
46500, 5.44297, 0.042543
47000, 5.44352, 0.0420915
47500, 5.43922, 0.0418673
48000, 5.43753, 0.0414634
48500, 5.43793, 0.0410357
49000, 5.43923, 0.0406357
49500, 5.43631, 0.0403288
50000, 5.43257, 0.0400986
50500, 5.43301, 0.0397021
51000, 5.43855, 0.0396988
51500, 5.4376, 0.039323
52000, 5.43792, 0.0389444
52500, 5.43393, 0.0387771
53000, 5.4302, 0.0385904
53500, 5.43376, 0.0383935
54000, 5.43237, 0.0380618
54500, 5.43481, 0.0377898
55000, 5.43431, 0.037448
55500, 5.43335, 0.0371216
56000, 5.43106, 0.0368595
56500, 5.43147, 0.0365342
57000, 5.43244, 0.0362254
57500, 5.43664, 0.0361538
58000, 5.43872, 0.0359007
58500, 5.44382, 0.0359568
59000, 5.44275, 0.0356668
59500, 5.43593, 0.0360171
60000, 5.4354, 0.0357197
60500, 5.44261, 0.0361503
61000, 5.44279, 0.0358532
61500, 5.44105, 0.0356029
62000, 5.44505, 0.0355394
62500, 5.44695, 0.0353054
63000, 5.44215, 0.035352
63500, 5.44323, 0.0350895
64000, 5.43814, 0.0351855
64500, 5.43818, 0.0349117
65000, 5.4372, 0.0346561
65500, 5.43839, 0.0344112
66000, 5.43981, 0.0341789
66500, 5.43947, 0.0339226
67000, 5.44119, 0.0337124
67500, 5.44288, 0.0335041
68000, 5.44168, 0.0332785
68500, 5.43826, 0.0332111
69000, 5.43359, 0.033298
69500, 5.43745, 0.0332819
70000, 5.44197, 0.0333509
70500, 5.44555, 0.0333065
71000, 5.4455, 0.0330711
71500, 5.44588, 0.0328412
72000, 5.445, 0.0326243
72500, 5.44332, 0.0324419
73000, 5.44046, 0.0323456
73500, 5.44136, 0.0321375
74000, 5.43701, 0.0322146
74500, 5.43805, 0.0320144
75000, 5.44085, 0.0319237
75500, 5.44403, 0.0318708
76000, 5.44339, 0.0316669
76500, 5.43961, 0.0316858
77000, 5.43784, 0.0315289
77500, 5.43649, 0.0313539
78000, 5.43739, 0.0311652
78500, 5.43061, 0.0317011
79000, 5.42717, 0.0316872
79500, 5.42426, 0.031621
80000, 5.42479, 0.0314272
80500, 5.42632, 0.0312693
81000, 5.42684, 0.0310799
81500, 5.42626, 0.0308942
82000, 5.4316, 0.0311661
82500, 5.43566, 0.0312417
83000, 5.43715, 0.0310889
83500, 5.44019, 0.0310509
84000, 5.44151, 0.030894
84500, 5.44406, 0.0308159
85000, 5.44535, 0.0306612
85500, 5.44625, 0.0304947
86000, 5.44699, 0.030326
86500, 5.44723, 0.0301512
87000, 5.44636, 0.0299901
87500, 5.44621, 0.0298186
88000, 5.44631, 0.0296489
88500, 5.44497, 0.0295112
89000, 5.44116, 0.0295923
89500, 5.44209, 0.0294415
90000, 5.44117, 0.0292921
90500, 5.43975, 0.0291641
91000, 5.44083, 0.0290234
91500, 5.44111, 0.0288658
92000, 5.43972, 0.0287423
92500, 5.44305, 0.0287797
93000, 5.44568, 0.0287457
93500, 5.44508, 0.0285979
94000, 5.44699, 0.028509
94500, 5.44717, 0.0283584
95000, 5.44828, 0.0282304
95500, 5.45233, 0.0283727
96000, 5.45248, 0.028225
96500, 5.45433, 0.0281394
97000, 5.45701, 0.0281215
97500, 5.45526, 0.0280312
98000, 5.45348, 0.0279445
98500, 5.4524, 0.0278233
99000, 5.45425, 0.0277442
99500, 5.45357, 0.027613
100000, 5.45513, 0.027519
100500, 5.45996, 0.0278046
101000, 5.4604, 0.0276702
101500, 5.45913, 0.0275631
102000, 5.45966, 0.0274327
102500, 5.45833, 0.0273308
103000, 5.45493, 0.0274095
103500, 5.45249, 0.0273851
104000, 5.44847, 0.0275491
