M, ekin, ekin_error
2500, 1.79961, 0
5000, 1.79006, 0.00955846
7500, 1.79983, 0.0112241
10000, 1.79846, 0.00805414
12500, 1.80139, 0.00689243
15000, 1.80861, 0.00915444
17500, 1.80729, 0.00784821
20000, 1.80706, 0.00680087
22500, 1.8126, 0.00816607
25000, 1.8124, 0.00730649
27500, 1.81497, 0.0070901
30000, 1.81675, 0.00671119
32500, 1.81765, 0.00623917
35000, 1.81476, 0.00645794
37500, 1.81518, 0.00602683
40000, 1.81567, 0.00565837
42500, 1.8155, 0.00531789
45000, 1.81563, 0.00501562
47500, 1.81426, 0.00493803
50000, 1.81221, 0.00511596
52500, 1.8133, 0.00498742
55000, 1.81127, 0.00516945
57500, 1.80953, 0.00523824
60000, 1.80655, 0.00583321
62500, 1.80578, 0.00564808
65000, 1.80654, 0.0054791
67500, 1.80664, 0.00527337
70000, 1.80611, 0.00510983
72500, 1.80558, 0.00495874
75000, 1.80625, 0.00483689
77500, 1.80733, 0.00480299
80000, 1.80698, 0.00466408
82500, 1.80683, 0.00452278
85000, 1.80747, 0.00443289
87500, 1.808, 0.00433694
90000, 1.80853, 0.00424872
92500, 1.80929, 0.00420031
95000, 1.80892, 0.00410498
97500, 1.8091, 0.00400245
100000, 1.80842, 0.00395969
102500, 1.80811, 0.00387406
105000, 1.80756, 0.00382014
107500, 1.80792, 0.00374762
110000, 1.80891, 0.00379097
112500, 1.80934, 0.00373057
115000, 1.80961, 0.00365865
117500, 1.81071, 0.00374642
120000, 1.81146, 0.0037429
122500, 1.81295, 0.0039561
125000, 1.81357, 0.00392616
127500, 1.81358, 0.00384842
130000, 1.81311, 0.00380311
132500, 1.81305, 0.00373115
135000, 1.81302, 0.00366151
137500, 1.81267, 0.00361179
140000, 1.81238, 0.00355821
142500, 1.81183, 0.00353775
145000, 1.81168, 0.00347947
147500, 1.81144, 0.00342822
150000, 1.81065, 0.00346296
152500, 1.81039, 0.00341583
155000, 1.80979, 0.00341302
157500, 1.80918, 0.00341329
160000, 1.80897, 0.00336598
162500, 1.80881, 0.00331755
165000, 1.80843, 0.00328935
167500, 1.80809, 0.00325802
170000, 1.80775, 0.00322742
172500, 1.80732, 0.00320953
175000, 1.80796, 0.00322713
177500, 1.80771, 0.00319082
180000, 1.80816, 0.00317855
182500, 1.80796, 0.00314154
185000, 1.80829, 0.00311694
187500, 1.81019, 0.0036155
190000, 1.81133, 0.0037446
192500, 1.8114, 0.00369637
195000, 1.81159, 0.00365343
197500, 1.81104, 0.00364921
200000, 1.81008, 0.00372707
202500, 1.80983, 0.00368964
205000, 1.81007, 0.00365248
207500, 1.81024, 0.00361226
210000, 1.811, 0.00364933
212500, 1.81132, 0.00361988
215000, 1.81087, 0.00360576
217500, 1.81086, 0.00356409
220000, 1.81062, 0.00353114
222500, 1.81072, 0.00349249
225000, 1.81077, 0.00345392
227500, 1.81055, 0.00342325
230000, 1.81049, 0.00338634
232500, 1.81051, 0.00334982
235000, 1.81033, 0.00331885
237500, 1.81033, 0.00328372
240000, 1.81042, 0.00325047
242500, 1.81028, 0.00321995
245000, 1.81043, 0.0031908
247500, 1.81011, 0.00317514
250000, 1.81007, 0.00314344
