M, epot, epot_error
2500, -0.386009, 0
5000, -0.376421, 0.00958833
7500, -0.386192, 0.0112302
10000, -0.384839, 0.00805538
12500, -0.387772, 0.00689477
15000, -0.394989, 0.00915312
17500, -0.393666, 0.00784807
20000, -0.393428, 0.00680079
22500, -0.398979, 0.00817211
25000, -0.398809, 0.00731132
27500, -0.401395, 0.00710081
30000, -0.403182, 0.00672389
32500, -0.404093, 0.00625179
35000, -0.4012, 0.00647068
37500, -0.401614, 0.00603812
40000, -0.402093, 0.00566837
42500, -0.401919, 0.00532736
45000, -0.402059, 0.00502464
47500, -0.400692, 0.00494534
50000, -0.39864, 0.00512091
52500, -0.399734, 0.00499242
55000, -0.39771, 0.00517275
57500, -0.395963, 0.0052424
60000, -0.392979, 0.005839
62500, -0.392204, 0.00565392
65000, -0.392964, 0.00548498
67500, -0.393079, 0.00527916
70000, -0.392547, 0.00511477
72500, -0.392021, 0.00496324
75000, -0.392691, 0.00484151
77500, -0.39378, 0.00480775
80000, -0.393424, 0.00466873
82500, -0.393282, 0.00452727
85000, -0.393915, 0.00443759
87500, -0.394446, 0.00434153
90000, -0.394982, 0.00425308
92500, -0.395736, 0.00420467
95000, -0.395366, 0.00410921
97500, -0.395546, 0.0040065
100000, -0.394867, 0.00396369
102500, -0.394558, 0.00387807
105000, -0.394011, 0.00382392
107500, -0.394373, 0.00375139
110000, -0.395356, 0.00379481
112500, -0.395786, 0.00373436
115000, -0.396058, 0.00366232
117500, -0.397163, 0.00375011
120000, -0.397912, 0.00374673
122500, -0.399404, 0.00396136
125000, -0.400033, 0.00393193
127500, -0.400043, 0.00385407
130000, -0.399571, 0.0038087
132500, -0.399513, 0.00373658
135000, -0.399487, 0.00366683
137500, -0.399132, 0.00361704
140000, -0.398844, 0.00356353
142500, -0.398295, 0.00354324
145000, -0.398142, 0.00348496
147500, -0.397904, 0.00343364
150000, -0.397111, 0.00346778
152500, -0.39685, 0.00342046
155000, -0.396251, 0.00341766
157500, -0.395639, 0.00341815
160000, -0.395432, 0.00337069
162500, -0.395274, 0.00332221
165000, -0.394889, 0.00329406
167500, -0.394545, 0.00326265
170000, -0.394207, 0.00323207
172500, -0.393774, 0.00321421
175000, -0.394411, 0.00323146
177500, -0.394166, 0.00319504
180000, -0.394619, 0.00318269
182500, -0.394411, 0.00314567
185000, -0.394747, 0.00312108
187500, -0.39665, 0.00361964
190000, -0.397788, 0.00374854
192500, -0.397859, 0.00370023
195000, -0.398044, 0.00365716
197500, -0.39749, 0.00365295
200000, -0.396536, 0.00373083
202500, -0.39628, 0.00369339
205000, -0.396524, 0.00365621
207500, -0.396695, 0.00361596
210000, -0.397457, 0.0036529
212500, -0.397772, 0.00362336
215000, -0.397321, 0.00360916
217500, -0.397311, 0.00356745
220000, -0.397077, 0.00353448
222500, -0.397171, 0.0034958
225000, -0.397226, 0.00345719
227500, -0.396998, 0.00342659
230000, -0.396939, 0.00338966
232500, -0.396962, 0.00335309
235000, -0.396782, 0.00332212
237500, -0.396781, 0.00328697
240000, -0.396866, 0.00325365
242500, -0.396722, 0.00322312
245000, -0.396879, 0.0031939
247500, -0.396552, 0.00317833
250000, -0.396514, 0.00314661
