M, pres, pres_error
2500,0.0507877, 0
5000,0.0505419, 0.000245767
7500,0.0501495, 0.000417268
10000,0.04997, 0.000345363
12500,0.0498829, 0.000281364
15000,0.0497538, 0.000263481
17500,0.050246, 0.000540228
20000,0.0502428, 0.000467862
22500,0.0500377, 0.000460792
25000,0.0499003, 0.000434425
27500,0.0498662, 0.000394431
30000,0.0498371, 0.000361239
32500,0.0500482, 0.000393658
35000,0.0500444, 0.000364476
37500,0.0500111, 0.000340931
40000,0.0500483, 0.000321068
42500,0.0499079, 0.000332666
45000,0.0498786, 0.000315007
47500,0.0497797, 0.000313939
50000,0.0498856, 0.000316077
52500,0.0498, 0.000312596
55000,0.0496139, 0.000351338
57500,0.0496531, 0.000337987
60000,0.0497625, 0.000341615
62500,0.0496838, 0.000336998
65000,0.0496989, 0.00032413
67500,0.0495968, 0.000328183
70000,0.0495955, 0.000316248
72500,0.0496636, 0.000312634
75000,0.0496189, 0.000305316
77500,0.0496136, 0.00029535
80000,0.0495979, 0.000286406
82500,0.0495102, 0.000291103
85000,0.0494809, 0.000283929
87500,0.0494751, 0.000275758
90000,0.0494035, 0.000277388
92500,0.0493752, 0.000271269
95000,0.0493757, 0.000264034
97500,0.0493593, 0.000257693
100000,0.0493623, 0.000251185
102500,0.0493791, 0.00024556
105000,0.0494311, 0.000245206
107500,0.0495073, 0.000251286
110000,0.0494955, 0.000245793
112500,0.0495273, 0.00024236
115000,0.0494224, 0.000259212
117500,0.0494003, 0.000254597
120000,0.0494188, 0.000249925
122500,0.0494574, 0.000247797
125000,0.0494501, 0.000242901
127500,0.0494834, 0.000240419
130000,0.0494679, 0.000236265
132500,0.0494351, 0.00023407
135000,0.0494697, 0.000232291
137500,0.0494838, 0.000228462
140000,0.0495272, 0.000228497
142500,0.0495072, 0.000225337
145000,0.0495397, 0.000223794
147500,0.049537, 0.000219985
150000,0.0495489, 0.000216614
152500,0.0495831, 0.000215768
155000,0.0495858, 0.000212275
157500,0.0495912, 0.00020895
160000,0.0496387, 0.000211068
162500,0.0496382, 0.000207796
165000,0.0496637, 0.000206206
167500,0.049668, 0.00020315
170000,0.0496642, 0.000200175
172500,0.0496727, 0.000197433
175000,0.0496716, 0.000194595
177500,0.0496745, 0.000191857
180000,0.0496926, 0.000190041
182500,0.04969, 0.000187438
185000,0.0496595, 0.000187388
187500,0.0496755, 0.000185569
190000,0.0496878, 0.000183524
192500,0.0496453, 0.000186059
195000,0.0496671, 0.000184954
197500,0.049667, 0.000182598
200000,0.049675, 0.000180481
202500,0.0496557, 0.000179289
205000,0.0496504, 0.000177169
207500,0.0496438, 0.000175145
210000,0.0496425, 0.000173052
212500,0.0496181, 0.000172733
215000,0.0496349, 0.000171529
217500,0.0496633, 0.000171911
220000,0.049652, 0.000170317
222500,0.0496567, 0.000168457
225000,0.049629, 0.000168856
227500,0.0496306, 0.000166997
230000,0.0496089, 0.000166594
232500,0.049634, 0.00016669
235000,0.0496302, 0.000164951
237500,0.0495875, 0.000168697
240000,0.0495672, 0.000168158
242500,0.0495495, 0.000167354
245000,0.0495519, 0.000165654
247500,0.0495575, 0.000164068
250000,0.0495739, 0.000163249
