M, temp, temp_error
2500, 1.19974, 0
5000, 1.19337, 0.00637231
7500, 1.19989, 0.00748274
10000, 1.19897, 0.00536942
12500, 1.20093, 0.00459496
15000, 1.20574, 0.00610296
17500, 1.20486, 0.00523214
20000, 1.2047, 0.00453391
22500, 1.2084, 0.00544405
25000, 1.20827, 0.00487099
27500, 1.20998, 0.00472673
30000, 1.21116, 0.00447413
32500, 1.21177, 0.00415945
35000, 1.20984, 0.00430529
37500, 1.21012, 0.00401789
40000, 1.21045, 0.00377224
42500, 1.21033, 0.00354526
45000, 1.21042, 0.00334374
47500, 1.20951, 0.00329202
50000, 1.20814, 0.00341064
52500, 1.20887, 0.00332495
55000, 1.20752, 0.0034463
57500, 1.20635, 0.00349216
60000, 1.20437, 0.00388881
62500, 1.20385, 0.00376539
65000, 1.20436, 0.00365273
67500, 1.20443, 0.00351558
70000, 1.20407, 0.00340655
72500, 1.20372, 0.00330583
75000, 1.20416, 0.00322459
77500, 1.20489, 0.00320199
80000, 1.20465, 0.00310938
82500, 1.20456, 0.00301519
85000, 1.20498, 0.00295526
87500, 1.20533, 0.00289129
90000, 1.20569, 0.00283248
92500, 1.20619, 0.00280021
95000, 1.20594, 0.00273665
97500, 1.20606, 0.0026683
100000, 1.20561, 0.0026398
102500, 1.20541, 0.00258271
105000, 1.20504, 0.00254676
107500, 1.20528, 0.00249841
110000, 1.20594, 0.00252731
112500, 1.20622, 0.00248705
115000, 1.20641, 0.0024391
117500, 1.20714, 0.00249761
120000, 1.20764, 0.00249527
122500, 1.20863, 0.0026374
125000, 1.20905, 0.00261744
127500, 1.20905, 0.00256561
130000, 1.20874, 0.00253541
132500, 1.2087, 0.00248743
135000, 1.20868, 0.002441
137500, 1.20844, 0.00240786
140000, 1.20825, 0.00237214
142500, 1.20789, 0.0023585
145000, 1.20779, 0.00231965
147500, 1.20763, 0.00228548
150000, 1.2071, 0.00230864
152500, 1.20693, 0.00227722
155000, 1.20653, 0.00227535
157500, 1.20612, 0.00227553
160000, 1.20598, 0.00224398
162500, 1.20588, 0.0022117
165000, 1.20562, 0.0021929
167500, 1.20539, 0.00217201
170000, 1.20517, 0.00215162
172500, 1.20488, 0.00213969
175000, 1.2053, 0.00215142
177500, 1.20514, 0.00212721
180000, 1.20544, 0.00211903
182500, 1.2053, 0.00209436
185000, 1.20553, 0.00207796
187500, 1.2068, 0.00241033
190000, 1.20755, 0.0024964
192500, 1.2076, 0.00246424
195000, 1.20773, 0.00243562
197500, 1.20736, 0.00243281
200000, 1.20672, 0.00248471
202500, 1.20655, 0.00245976
205000, 1.20671, 0.00243499
207500, 1.20683, 0.00240817
210000, 1.20734, 0.00243288
212500, 1.20755, 0.00241325
215000, 1.20725, 0.00240384
217500, 1.20724, 0.00237606
220000, 1.20708, 0.00235409
222500, 1.20715, 0.00232833
225000, 1.20718, 0.00230261
227500, 1.20703, 0.00228217
230000, 1.20699, 0.00225756
232500, 1.20701, 0.00223321
235000, 1.20689, 0.00221256
237500, 1.20689, 0.00218915
240000, 1.20695, 0.00216698
242500, 1.20685, 0.00214664
245000, 1.20696, 0.0021272
247500, 1.20674, 0.00211676
250000, 1.20671, 0.00209563
