M, ekin, ekin_error
2500, 1.62096, 0
5000, 1.6154, 0.00555439
7500, 1.61992, 0.00554126
10000, 1.61866, 0.00411653
12500, 1.61731, 0.00346444
15000, 1.61616, 0.0030506
17500, 1.61546, 0.00267192
20000, 1.61468, 0.00244374
22500, 1.61734, 0.00342283
25000, 1.62038, 0.00431853
27500, 1.61983, 0.00394557
30000, 1.62109, 0.00381777
32500, 1.62101, 0.00351271
35000, 1.62092, 0.00325355
37500, 1.623, 0.0036782
40000, 1.62193, 0.00360505
42500, 1.62202, 0.00338768
45000, 1.62212, 0.00319527
47500, 1.62106, 0.00319985
50000, 1.62126, 0.00304223
52500, 1.62127, 0.00289375
55000, 1.62179, 0.0028072
57500, 1.62163, 0.00268718
60000, 1.62181, 0.00257909
62500, 1.62108, 0.00257989
65000, 1.62065, 0.00251432
67500, 1.62065, 0.00241942
70000, 1.62016, 0.00238128
72500, 1.62007, 0.00229965
75000, 1.62033, 0.00223691
77500, 1.62077, 0.0022073
80000, 1.62132, 0.00220815
82500, 1.62085, 0.00219121
85000, 1.62077, 0.00212731
87500, 1.62016, 0.00215408
90000, 1.61964, 0.00215757
92500, 1.61907, 0.00217363
95000, 1.6187, 0.0021476
97500, 1.61876, 0.00209269
100000, 1.61948, 0.00216263
102500, 1.61874, 0.00223412
105000, 1.61872, 0.00218046
107500, 1.61881, 0.00213111
110000, 1.61765, 0.00238351
112500, 1.61772, 0.00233111
115000, 1.61774, 0.00227995
117500, 1.61785, 0.00223379
120000, 1.61789, 0.0021871
122500, 1.61836, 0.00219315
125000, 1.61801, 0.00217787
127500, 1.61787, 0.00213926
130000, 1.61776, 0.00210051
132500, 1.61814, 0.00209504
135000, 1.61825, 0.00205903
137500, 1.61852, 0.00203808
140000, 1.61837, 0.00200685
142500, 1.61841, 0.00197174
145000, 1.61849, 0.00193918
147500, 1.61844, 0.0019068
150000, 1.61852, 0.00187679
152500, 1.6181, 0.0018936
155000, 1.61781, 0.00188592
157500, 1.61783, 0.00185594
160000, 1.61803, 0.00183689
162500, 1.61826, 0.00182295
165000, 1.61767, 0.00188772
167500, 1.61757, 0.00186226
170000, 1.61735, 0.00184745
172500, 1.61731, 0.00182082
175000, 1.61692, 0.00183782
177500, 1.61669, 0.00182669
180000, 1.61685, 0.00180906
182500, 1.61677, 0.00178595
185000, 1.61639, 0.00180383
187500, 1.61634, 0.0017802
190000, 1.61622, 0.00176053
192500, 1.61692, 0.00187081
195000, 1.61721, 0.00187044
197500, 1.61718, 0.00184684
200000, 1.61723, 0.00182415
202500, 1.6174, 0.00181
205000, 1.6173, 0.00179086
207500, 1.61759, 0.00179301
210000, 1.61734, 0.0017889
212500, 1.61741, 0.00176906
215000, 1.6176, 0.00175806
217500, 1.61737, 0.00175293
220000, 1.61747, 0.00173603
222500, 1.61741, 0.00171749
225000, 1.61741, 0.0016983
227500, 1.61716, 0.00169899
230000, 1.61702, 0.00168577
232500, 1.61707, 0.0016683
235000, 1.61697, 0.00165397
237500, 1.61708, 0.0016407
240000, 1.61707, 0.00162358
242500, 1.61684, 0.00162297
245000, 1.61669, 0.00161312
247500, 1.61708, 0.00164263
250000, 1.61696, 0.00163011
