M, epot, epot_error
2500, -5.04884, 0
5000, -5.04312, 0.00572261
7500, -5.04763, 0.00559154
10000, -5.04629, 0.00417507
12500, -5.04471, 0.00359919
15000, -5.04379, 0.00307883
17500, -5.04307, 0.00269958
20000, -5.04226, 0.00247552
22500, -5.04492, 0.00344295
25000, -5.04781, 0.00422509
27500, -5.04727, 0.00386074
30000, -5.04861, 0.00377239
32500, -5.04854, 0.00347083
35000, -5.0484, 0.00321627
37500, -5.0506, 0.00371218
40000, -5.04944, 0.00366042
42500, -5.04953, 0.00343949
45000, -5.04952, 0.00324278
47500, -5.04844, 0.00325266
50000, -5.04864, 0.00309224
52500, -5.04863, 0.00294132
55000, -5.04916, 0.00285335
57500, -5.04896, 0.00273332
60000, -5.04911, 0.00262099
62500, -5.04836, 0.00262467
65000, -5.04789, 0.0025641
67500, -5.04787, 0.0024674
70000, -5.04734, 0.0024366
72500, -5.04724, 0.0023531
75000, -5.04747, 0.00228511
77500, -5.04794, 0.00225863
80000, -5.04847, 0.00225165
82500, -5.04801, 0.00223142
85000, -5.04793, 0.00216618
87500, -5.04729, 0.00219832
90000, -5.04677, 0.00219807
92500, -5.0462, 0.00221433
95000, -5.04585, 0.00218243
97500, -5.04591, 0.00212643
100000, -5.04663, 0.00219498
102500, -5.04588, 0.00226933
105000, -5.04584, 0.00221495
107500, -5.04596, 0.00216595
110000, -5.0448, 0.00241121
112500, -5.04486, 0.00235774
115000, -5.04486, 0.00230592
117500, -5.045, 0.00226099
120000, -5.04504, 0.0022137
122500, -5.04552, 0.00222072
125000, -5.04516, 0.00220542
127500, -5.04502, 0.00216603
130000, -5.04492, 0.00212651
132500, -5.04533, 0.00212651
135000, -5.04543, 0.00208899
137500, -5.04569, 0.00206757
140000, -5.04553, 0.00203679
142500, -5.04553, 0.00200074
145000, -5.04562, 0.00196811
147500, -5.04559, 0.00193471
150000, -5.04564, 0.00190287
152500, -5.04525, 0.00191277
155000, -5.04493, 0.00190727
157500, -5.04497, 0.00187719
160000, -5.04517, 0.00185812
162500, -5.04541, 0.00184446
165000, -5.04479, 0.00191905
167500, -5.04471, 0.00189175
170000, -5.04451, 0.00187461
172500, -5.04445, 0.00184817
175000, -5.04402, 0.00187099
177500, -5.04378, 0.00186052
180000, -5.04395, 0.0018419
182500, -5.04384, 0.00181962
185000, -5.04344, 0.00183783
187500, -5.0434, 0.00181362
190000, -5.04331, 0.00179179
192500, -5.04404, 0.0019098
195000, -5.04432, 0.00190615
197500, -5.04426, 0.00188267
200000, -5.04432, 0.0018598
202500, -5.0445, 0.00184585
205000, -5.04438, 0.00182714
207500, -5.04467, 0.00182839
210000, -5.04443, 0.00182306
212500, -5.04451, 0.0018035
215000, -5.04471, 0.00179324
217500, -5.04448, 0.00178728
220000, -5.04456, 0.00176888
222500, -5.0445, 0.00175002
225000, -5.04453, 0.00173063
227500, -5.04426, 0.00173245
230000, -5.04411, 0.00171971
232500, -5.04415, 0.00170148
235000, -5.04403, 0.00168706
237500, -5.04416, 0.00167407
240000, -5.04415, 0.00165657
242500, -5.04391, 0.00165644
245000, -5.04376, 0.00164646
247500, -5.04416, 0.00167678
250000, -5.04404, 0.00166414
