M, etot, etot_error
2500, -3.42788, 0
5000, -3.42772, 0.000168222
7500, -3.42771, 9.74553e-05
10000, -3.42763, 0.000104793
12500, -3.4274, 0.000239316
15000, -3.42763, 0.000297233
17500, -3.42761, 0.000251822
20000, -3.42758, 0.000219882
22500, -3.42758, 0.000193942
25000, -3.42743, 0.000231316
27500, -3.42744, 0.000209395
30000, -3.42752, 0.000206991
32500, -3.42753, 0.000190522
35000, -3.42749, 0.000181058
37500, -3.42759, 0.000199917
40000, -3.42751, 0.000204061
42500, -3.4275, 0.000191798
45000, -3.42741, 0.000205044
47500, -3.42738, 0.000196482
50000, -3.42738, 0.000186399
52500, -3.42736, 0.000177944
55000, -3.42737, 0.000169873
57500, -3.42734, 0.000165602
60000, -3.4273, 0.000162355
62500, -3.42728, 0.000157264
65000, -3.42724, 0.000156957
67500, -3.42722, 0.000151804
70000, -3.42717, 0.000153934
72500, -3.42717, 0.000148559
75000, -3.42714, 0.00014637
77500, -3.42717, 0.000144324
80000, -3.42715, 0.000141049
82500, -3.42716, 0.000136789
85000, -3.42716, 0.000132736
87500, -3.42713, 0.000131922
90000, -3.42714, 0.000128311
92500, -3.42713, 0.000125212
95000, -3.42715, 0.000124567
97500, -3.42715, 0.000121489
100000, -3.42715, 0.000118479
102500, -3.42713, 0.000116714
105000, -3.42712, 0.000114255
107500, -3.42715, 0.000114333
110000, -3.42715, 0.00011179
112500, -3.42714, 0.000110366
115000, -3.42711, 0.000110487
117500, -3.42715, 0.000112675
120000, -3.42715, 0.000110306
122500, -3.42716, 0.00010848
125000, -3.42715, 0.000106431
127500, -3.42715, 0.000104361
130000, -3.42716, 0.000102425
132500, -3.42719, 0.000106145
135000, -3.42717, 0.00010557
137500, -3.42718, 0.000103662
140000, -3.42716, 0.000102735
142500, -3.42712, 0.000109136
145000, -3.42713, 0.000107734
147500, -3.42715, 0.000108456
150000, -3.42712, 0.00011272
152500, -3.42715, 0.000114186
155000, -3.42713, 0.000113631
157500, -3.42714, 0.000112696
160000, -3.42715, 0.000110996
162500, -3.42715, 0.000109444
165000, -3.42712, 0.00011348
167500, -3.42714, 0.00011511
170000, -3.42716, 0.000114421
172500, -3.42714, 0.000115124
175000, -3.42711, 0.000117634
177500, -3.42709, 0.000116477
180000, -3.42709, 0.000114924
182500, -3.42706, 0.000116219
185000, -3.42706, 0.000114867
187500, -3.42706, 0.000113442
190000, -3.42709, 0.000115533
192500, -3.42712, 0.000117345
195000, -3.4271, 0.000116816
197500, -3.42708, 0.000118371
200000, -3.42709, 0.00011734
202500, -3.4271, 0.000116176
205000, -3.42708, 0.000115723
207500, -3.42708, 0.000114321
210000, -3.42708, 0.000113003
212500, -3.4271, 0.000112916
215000, -3.42711, 0.000112288
217500, -3.42711, 0.000110994
220000, -3.42709, 0.000111511
222500, -3.42709, 0.000110274
225000, -3.42711, 0.000110477
227500, -3.4271, 0.000109946
230000, -3.42709, 0.000109359
232500, -3.42707, 0.000109257
235000, -3.42707, 0.000108212
237500, -3.42708, 0.000107514
240000, -3.42708, 0.000106457
242500, -3.42707, 0.000105664
245000, -3.42707, 0.000104649
247500, -3.42708, 0.000103964
250000, -3.42707, 0.000103006
