M, pres, pres_error
2500,2.0049, 0
5000,2.05276, 0.047862
7500,2.04358, 0.0291207
10000,2.04388, 0.0205937
12500,2.05559, 0.0197886
15000,2.0546, 0.0161876
17500,2.05238, 0.0138595
20000,2.04629, 0.0134617
22500,2.04186, 0.0126706
25000,2.02632, 0.019237
27500,2.02536, 0.0174269
30000,2.01209, 0.0207116
32500,2.01626, 0.019502
35000,2.0164, 0.018056
37500,2.00539, 0.0200983
40000,2.0128, 0.0202079
42500,2.01385, 0.0190114
45000,2.01941, 0.0187648
47500,2.02559, 0.0187973
50000,2.02036, 0.018586
52500,2.02101, 0.0176908
55000,2.01822, 0.0170968
57500,2.01787, 0.0163402
60000,2.02001, 0.0157894
62500,2.02798, 0.0171147
65000,2.02971, 0.0165337
67500,2.03041, 0.0159253
70000,2.03119, 0.0153657
72500,2.03099, 0.0148278
75000,2.03034, 0.0143397
77500,2.02952, 0.0138932
80000,2.02785, 0.0135559
82500,2.03044, 0.0133906
85000,2.02863, 0.0131153
87500,2.03352, 0.0136415
90000,2.03503, 0.0133428
92500,2.03717, 0.0131519
95000,2.03699, 0.0128024
97500,2.03814, 0.0125227
100000,2.03472, 0.0126756
102500,2.03802, 0.0127952
105000,2.03754, 0.0124961
107500,2.03565, 0.0123473
110000,2.03816, 0.0123219
112500,2.03893, 0.0120694
115000,2.03858, 0.0118091
117500,2.03629, 0.0117804
120000,2.03583, 0.0115415
122500,2.03429, 0.0114085
125000,2.03787, 0.01174
127500,2.0375, 0.0115136
130000,2.03717, 0.0112947
132500,2.03443, 0.0114145
135000,2.03437, 0.0112013
137500,2.03532, 0.0110362
140000,2.03668, 0.0109227
142500,2.03878, 0.0109317
145000,2.03914, 0.0107476
147500,2.03863, 0.010576
150000,2.04092, 0.0106474
152500,2.04173, 0.0105027
155000,2.04376, 0.0105301
157500,2.04393, 0.010363
160000,2.04338, 0.010215
162500,2.04353, 0.0100578
165000,2.04786, 0.010808
167500,2.04828, 0.0106538
170000,2.04909, 0.0105271
172500,2.04968, 0.0103903
175000,2.05271, 0.0106811
177500,2.05338, 0.0105504
180000,2.05164, 0.0105466
182500,2.05213, 0.0104125
185000,2.05435, 0.0105081
187500,2.05344, 0.0104065
190000,2.0536, 0.0102699
192500,2.04975, 0.0108418
195000,2.04825, 0.0108069
197500,2.0478, 0.0106787
200000,2.04747, 0.0105495
202500,2.04754, 0.0104187
205000,2.0478, 0.010294
207500,2.04632, 0.0102758
210000,2.04785, 0.0102663
212500,2.0469, 0.0101892
215000,2.04674, 0.0100711
217500,2.04787, 0.010018
220000,2.04779, 0.00990379
222500,2.04783, 0.00979194
225000,2.04815, 0.00968796
227500,2.0495, 0.00967437
230000,2.04904, 0.0095796
232500,2.04906, 0.00947606
235000,2.05051, 0.00948572
237500,2.04925, 0.00946935
240000,2.05017, 0.00941518
242500,2.0517, 0.00944359
245000,2.05254, 0.00938412
247500,2.05019, 0.0095811
250000,2.05042, 0.00948744
