M, temp, temp_error
2500, 1.08064, 0
5000, 1.07694, 0.00370293
7500, 1.07995, 0.00369417
10000, 1.07911, 0.00274436
12500, 1.0782, 0.00230963
15000, 1.07744, 0.00203373
17500, 1.07697, 0.00178128
20000, 1.07645, 0.00162916
22500, 1.07822, 0.00228189
25000, 1.08025, 0.00287902
27500, 1.07988, 0.00263038
30000, 1.08073, 0.00254518
32500, 1.08068, 0.00234181
35000, 1.08061, 0.00216904
37500, 1.082, 0.00245213
40000, 1.08129, 0.00240337
42500, 1.08135, 0.00225845
45000, 1.08141, 0.00213018
47500, 1.08071, 0.00213323
50000, 1.08084, 0.00202815
52500, 1.08085, 0.00192916
55000, 1.08119, 0.00187147
57500, 1.08109, 0.00179145
60000, 1.08121, 0.0017194
62500, 1.08072, 0.00171993
65000, 1.08044, 0.00167622
67500, 1.08043, 0.00161295
70000, 1.08011, 0.00158752
72500, 1.08005, 0.0015331
75000, 1.08022, 0.00149127
77500, 1.08051, 0.00147154
80000, 1.08088, 0.0014721
82500, 1.08057, 0.00146081
85000, 1.08051, 0.00141821
87500, 1.08011, 0.00143606
90000, 1.07976, 0.00143838
92500, 1.07938, 0.00144909
95000, 1.07913, 0.00143173
97500, 1.07918, 0.00139513
100000, 1.07965, 0.00144175
102500, 1.07916, 0.00148941
105000, 1.07914, 0.00145364
107500, 1.07921, 0.00142074
110000, 1.07843, 0.00158901
112500, 1.07848, 0.00155407
115000, 1.07849, 0.00151997
117500, 1.07857, 0.00148919
120000, 1.07859, 0.00145807
122500, 1.07891, 0.0014621
125000, 1.07867, 0.00145192
127500, 1.07858, 0.00142617
130000, 1.07851, 0.00140034
132500, 1.07876, 0.00139669
135000, 1.07884, 0.00137268
137500, 1.07901, 0.00135872
140000, 1.07891, 0.0013379
142500, 1.07894, 0.00131449
145000, 1.07899, 0.00129279
147500, 1.07896, 0.0012712
150000, 1.07902, 0.00125119
152500, 1.07873, 0.0012624
155000, 1.07854, 0.00125728
157500, 1.07855, 0.00123729
160000, 1.07868, 0.00122459
162500, 1.07884, 0.0012153
165000, 1.07845, 0.00125848
167500, 1.07838, 0.00124151
170000, 1.07823, 0.00123163
172500, 1.07821, 0.00121388
175000, 1.07795, 0.00122522
177500, 1.07779, 0.00121779
180000, 1.0779, 0.00120604
182500, 1.07785, 0.00119063
185000, 1.07759, 0.00120255
187500, 1.07756, 0.0011868
190000, 1.07748, 0.00117369
192500, 1.07794, 0.00124721
195000, 1.07814, 0.00124696
197500, 1.07812, 0.00123122
200000, 1.07815, 0.0012161
202500, 1.07827, 0.00120666
205000, 1.0782, 0.00119391
207500, 1.07839, 0.00119534
210000, 1.07823, 0.0011926
212500, 1.07827, 0.00117937
215000, 1.0784, 0.00117204
217500, 1.07824, 0.00116862
220000, 1.07831, 0.00115735
222500, 1.07827, 0.00114499
225000, 1.07828, 0.0011322
227500, 1.07811, 0.00113266
230000, 1.07802, 0.00112385
232500, 1.07805, 0.0011122
235000, 1.07798, 0.00110265
237500, 1.07806, 0.0010938
240000, 1.07805, 0.00108239
242500, 1.07789, 0.00108198
245000, 1.0778, 0.00107542
247500, 1.07805, 0.00109508
250000, 1.07798, 0.00108674
