M, ekin, ekin_error
2500, 1.2183, 0
5000, 1.21448, 0.00382463
7500, 1.21635, 0.00289502
10000, 1.21755, 0.00237167
12500, 1.21686, 0.00196012
15000, 1.21634, 0.00168378
17500, 1.21598, 0.00146658
20000, 1.21507, 0.00156647
22500, 1.21499, 0.00138342
25000, 1.21537, 0.0012942
27500, 1.21506, 0.00121211
30000, 1.21533, 0.00114013
32500, 1.21518, 0.00105962
35000, 1.21485, 0.00103751
37500, 1.21508, 0.000993637
40000, 1.21508, 0.00092948
42500, 1.21524, 0.00088743
45000, 1.21504, 0.00086079
47500, 1.21505, 0.000814321
50000, 1.21519, 0.000784001
52500, 1.21481, 0.000834335
55000, 1.2147, 0.000803253
57500, 1.21463, 0.000770651
60000, 1.21461, 0.000738083
62500, 1.21454, 0.000711398
65000, 1.21435, 0.000710411
67500, 1.21438, 0.000684274
70000, 1.21446, 0.000663767
72500, 1.21437, 0.000646335
75000, 1.21435, 0.000624851
77500, 1.21433, 0.000604708
80000, 1.21444, 0.000597104
82500, 1.21443, 0.000578822
85000, 1.21453, 0.000569896
87500, 1.21437, 0.000576676
90000, 1.21438, 0.000560558
92500, 1.21435, 0.000546184
95000, 1.21435, 0.000531661
97500, 1.2145, 0.000537575
100000, 1.21448, 0.000524347
102500, 1.21446, 0.000511558
105000, 1.2146, 0.000518237
107500, 1.21447, 0.000522789
110000, 1.21445, 0.000511501
112500, 1.2144, 0.000502158
115000, 1.21443, 0.000491889
117500, 1.21444, 0.000481504
120000, 1.21449, 0.000474004
122500, 1.21438, 0.000476222
125000, 1.21433, 0.000470037
127500, 1.21443, 0.000471465
130000, 1.21446, 0.000463489
132500, 1.21439, 0.000460615
135000, 1.2144, 0.000452136
137500, 1.21446, 0.000448827
140000, 1.21438, 0.000448567
142500, 1.21441, 0.000441717
145000, 1.21441, 0.000434063
147500, 1.2144, 0.000426729
150000, 1.2144, 0.000419598
152500, 1.21441, 0.000412663
155000, 1.21447, 0.000411523
157500, 1.21453, 0.00040955
160000, 1.21458, 0.000406118
162500, 1.21454, 0.000401664
165000, 1.21463, 0.00040478
167500, 1.21463, 0.000398716
170000, 1.21465, 0.000393546
172500, 1.2146, 0.000391302
175000, 1.21459, 0.000385782
177500, 1.21454, 0.000383434
180000, 1.2144, 0.000402744
182500, 1.21442, 0.000397826
185000, 1.21432, 0.000404942
187500, 1.21443, 0.000412749
190000, 1.21439, 0.000409468
192500, 1.2144, 0.000404406
195000, 1.21446, 0.000404049
197500, 1.21441, 0.000402446
200000, 1.21448, 0.000404284
202500, 1.21448, 0.000399361
205000, 1.21451, 0.000396419
207500, 1.21444, 0.000398992
210000, 1.21444, 0.000394217
212500, 1.21437, 0.000396213
215000, 1.21443, 0.000395832
217500, 1.21445, 0.000392216
220000, 1.21444, 0.000387958
222500, 1.21445, 0.00038365
225000, 1.21445, 0.000379371
227500, 1.21447, 0.000375509
230000, 1.21448, 0.000371874
232500, 1.21449, 0.000367952
235000, 1.21447, 0.000364753
237500, 1.21447, 0.000360912
240000, 1.21444, 0.000358389
242500, 1.21446, 0.000355236
245000, 1.21441, 0.000355165
247500, 1.21442, 0.000351634
250000, 1.21438, 0.000350084
