M, epot, epot_error
2500, -6.6513, 0
5000, -6.64792, 0.0033777
7500, -6.65005, 0.00289071
10000, -6.6514, 0.00244771
12500, -6.6506, 0.00205708
15000, -6.65011, 0.00174865
17500, -6.64968, 0.00154113
20000, -6.64868, 0.00166924
22500, -6.6487, 0.00147242
25000, -6.6491, 0.00137394
27500, -6.64881, 0.00127645
30000, -6.64909, 0.00120008
32500, -6.64894, 0.00111405
35000, -6.64863, 0.00107845
37500, -6.64883, 0.00102365
40000, -6.64878, 0.000958495
42500, -6.64888, 0.000905322
45000, -6.64874, 0.000865082
47500, -6.64873, 0.000818295
50000, -6.64883, 0.000782385
52500, -6.64841, 0.000852783
55000, -6.6483, 0.000820972
57500, -6.64824, 0.000787073
60000, -6.64817, 0.000756822
62500, -6.6481, 0.000728882
65000, -6.64789, 0.000732819
67500, -6.64791, 0.000705584
70000, -6.64796, 0.000681882
72500, -6.64787, 0.000664993
75000, -6.64783, 0.000643371
77500, -6.64783, 0.000622273
80000, -6.64797, 0.000617735
82500, -6.64796, 0.000598844
85000, -6.64807, 0.000591312
87500, -6.64787, 0.00060782
90000, -6.64788, 0.000590756
92500, -6.64784, 0.000575649
95000, -6.64785, 0.000560321
97500, -6.648, 0.000567262
100000, -6.648, 0.0005529
102500, -6.64798, 0.000539529
105000, -6.64813, 0.000547405
107500, -6.64801, 0.000548215
110000, -6.64796, 0.00053757
112500, -6.64792, 0.000527516
115000, -6.64796, 0.000517339
117500, -6.64797, 0.000506482
120000, -6.64803, 0.000499175
122500, -6.64792, 0.000501095
125000, -6.64786, 0.000494427
127500, -6.64797, 0.00049582
130000, -6.64802, 0.000488828
132500, -6.64794, 0.000485665
135000, -6.64797, 0.000477525
137500, -6.64805, 0.000475068
140000, -6.64797, 0.000472974
142500, -6.648, 0.000465687
145000, -6.648, 0.000457587
147500, -6.64799, 0.000449923
150000, -6.64799, 0.000442364
152500, -6.64799, 0.000435068
155000, -6.64806, 0.000433533
157500, -6.64813, 0.000432667
160000, -6.6482, 0.000431923
162500, -6.64816, 0.000427685
165000, -6.64824, 0.000430497
167500, -6.64824, 0.000424024
170000, -6.64825, 0.000417828
172500, -6.6482, 0.000415426
175000, -6.64818, 0.000409653
177500, -6.64812, 0.000408303
180000, -6.64798, 0.000427153
182500, -6.648, 0.00042185
185000, -6.6479, 0.000428769
187500, -6.64802, 0.000438472
190000, -6.64797, 0.000435004
192500, -6.64798, 0.000429511
195000, -6.64805, 0.000429575
197500, -6.648, 0.000427784
200000, -6.64808, 0.000430522
202500, -6.64806, 0.000425516
205000, -6.6481, 0.000421753
207500, -6.64801, 0.00042497
210000, -6.64801, 0.000419914
212500, -6.64793, 0.000422328
215000, -6.64797, 0.000419491
217500, -6.648, 0.000415308
220000, -6.64799, 0.000410655
222500, -6.64799, 0.000406051
225000, -6.648, 0.000401667
227500, -6.64802, 0.000397671
230000, -6.64804, 0.000393671
232500, -6.64806, 0.000389866
235000, -6.64803, 0.000386338
237500, -6.64804, 0.000382368
240000, -6.64802, 0.000379205
242500, -6.64804, 0.000375789
245000, -6.64799, 0.00037471
247500, -6.64801, 0.000371199
250000, -6.64797, 0.000369581
