M, pres, pres_error
2500,9.64819, 0
5000,9.67102, 0.0228287
7500,9.66346, 0.0151956
10000,9.65819, 0.011965
12500,9.66512, 0.0115713
15000,9.66821, 0.00993948
17500,9.67032, 0.00866306
20000,9.67626, 0.00956898
22500,9.67656, 0.00844436
25000,9.6738, 0.00804312
27500,9.67647, 0.00774876
30000,9.67613, 0.00708171
32500,9.67579, 0.00652305
35000,9.67827, 0.00652817
37500,9.67661, 0.00629884
40000,9.67699, 0.00590403
42500,9.67688, 0.00554687
45000,9.67752, 0.00526875
47500,9.67741, 0.0049851
50000,9.67732, 0.00473001
52500,9.67932, 0.00492066
55000,9.67989, 0.0047263
57500,9.68032, 0.00453721
60000,9.68022, 0.0043454
62500,9.68043, 0.00417335
65000,9.68151, 0.0041525
67500,9.6814, 0.00399715
70000,9.68158, 0.00385571
72500,9.68163, 0.00372074
75000,9.68166, 0.00359468
77500,9.68115, 0.00351282
80000,9.68021, 0.00352879
82500,9.68012, 0.00342152
85000,9.67972, 0.00334292
87500,9.68122, 0.00357562
90000,9.68093, 0.0034867
92500,9.68117, 0.00339957
95000,9.68135, 0.00331351
97500,9.6805, 0.00333752
100000,9.68072, 0.00326029
102500,9.6809, 0.00318525
105000,9.68059, 0.00312376
107500,9.68128, 0.00312571
110000,9.68119, 0.00305497
112500,9.68142, 0.00299523
115000,9.68129, 0.00293265
117500,9.68191, 0.00293659
120000,9.68198, 0.00287561
122500,9.68265, 0.00289428
125000,9.68305, 0.00286473
127500,9.68263, 0.00283934
130000,9.68242, 0.00279234
132500,9.68247, 0.00273968
135000,9.68226, 0.00269711
137500,9.68189, 0.0026733
140000,9.6821, 0.00263384
142500,9.68175, 0.00261092
145000,9.68197, 0.00257521
147500,9.68193, 0.00253158
150000,9.68214, 0.0024982
152500,9.68246, 0.00247673
155000,9.68218, 0.00245231
157500,9.68167, 0.00246592
160000,9.68139, 0.00244369
162500,9.68151, 0.00240922
165000,9.68077, 0.00248499
167500,9.6808, 0.00244775
170000,9.68068, 0.00241446
172500,9.68115, 0.0024244
175000,9.68149, 0.0024146
177500,9.68158, 0.00238207
180000,9.68237, 0.00247586
182500,9.68216, 0.0024509
185000,9.68269, 0.00247662
187500,9.68209, 0.00251597
190000,9.68232, 0.00249302
192500,9.68226, 0.00246113
195000,9.68196, 0.00244795
197500,9.68222, 0.00243084
200000,9.68162, 0.00247517
202500,9.68163, 0.00244447
205000,9.68133, 0.002433
207500,9.68185, 0.0024594
210000,9.6817, 0.00243508
212500,9.68192, 0.00241708
215000,9.68156, 0.00241587
217500,9.68127, 0.00240561
220000,9.68119, 0.00237948
222500,9.68128, 0.00235435
225000,9.68128, 0.00232804
227500,9.68099, 0.00232074
230000,9.68083, 0.00230149
232500,9.68073, 0.00227851
235000,9.6808, 0.00225518
237500,9.68071, 0.00223311
240000,9.68078, 0.00221072
242500,9.68058, 0.00219632
245000,9.6809, 0.0021974
247500,9.68099, 0.00217684
250000,9.68116, 0.00216138
