M, r_mean(M), r_error(M)
10000, 1.49706, 0
20000, 1.53001, 0.0329468
30000, 1.50951, 0.0279642
40000, 1.49606, 0.0239157
50000, 1.48773, 0.02031
60000, 1.49568, 0.0183909
70000, 1.4989, 0.0158731
80000, 1.49724, 0.0138465
90000, 1.49638, 0.0122419
100000, 1.49837, 0.0111293
110000, 1.49434, 0.0108432
120000, 1.48944, 0.011044
130000, 1.48864, 0.010191
140000, 1.4953, 0.0115517
150000, 1.49464, 0.0107743
160000, 1.49989, 0.0113638
170000, 1.49968, 0.0106765
180000, 1.49521, 0.0110129
190000, 1.49987, 0.0114106
200000, 1.49964, 0.0108274
210000, 1.49899, 0.0103195
220000, 1.49807, 0.00988169
230000, 1.49561, 0.00975828
240000, 1.49503, 0.00936086
250000, 1.49478, 0.008982
260000, 1.49366, 0.00870185
270000, 1.49162, 0.0086204
280000, 1.49284, 0.00839627
290000, 1.4917, 0.00818045
300000, 1.49227, 0.00792346
310000, 1.494, 0.00785612
320000, 1.49343, 0.0076278
330000, 1.49314, 0.00739901
340000, 1.4927, 0.00719148
350000, 1.49245, 0.00698753
360000, 1.49033, 0.00711214
370000, 1.49021, 0.00691833
380000, 1.49001, 0.00673685
390000, 1.48833, 0.00677177
400000, 1.48721, 0.00669514
410000, 1.48807, 0.0065855
420000, 1.48732, 0.00647018
430000, 1.48804, 0.00635862
440000, 1.48839, 0.00622223
450000, 1.4883, 0.00608297
460000, 1.48934, 0.00603972
470000, 1.4883, 0.00600183
480000, 1.48946, 0.00598965
490000, 1.49067, 0.00598869
500000, 1.49095, 0.00587452
510000, 1.49054, 0.00577273
520000, 1.49013, 0.00567554
530000, 1.49009, 0.00556755
540000, 1.48986, 0.00546849
550000, 1.49071, 0.0054361
560000, 1.49055, 0.00534079
570000, 1.49109, 0.00527399
580000, 1.49236, 0.00533548
590000, 1.49167, 0.00528887
600000, 1.49149, 0.00520312
610000, 1.48999, 0.0053312
620000, 1.49066, 0.00528695
630000, 1.49117, 0.00522736
640000, 1.49157, 0.0051603
650000, 1.49212, 0.00511031
660000, 1.4919, 0.00503711
670000, 1.49232, 0.00497877
680000, 1.49254, 0.0049099
690000, 1.49245, 0.00483898
700000, 1.49163, 0.00484013
710000, 1.49183, 0.00477585
720000, 1.49264, 0.00477862
730000, 1.49274, 0.00471363
740000, 1.49304, 0.00465945
750000, 1.49305, 0.00459691
760000, 1.49299, 0.00453643
770000, 1.49212, 0.00456076
780000, 1.49083, 0.00468309
790000, 1.49248, 0.00491166
800000, 1.4923, 0.00485329
810000, 1.49197, 0.00480458
820000, 1.49217, 0.00474994
830000, 1.49215, 0.00469242
840000, 1.49129, 0.00471462
850000, 1.49154, 0.00466567
860000, 1.49092, 0.00465351
870000, 1.49108, 0.00460269
880000, 1.49166, 0.00458633
890000, 1.49128, 0.00455019
900000, 1.49223, 0.00459848
910000, 1.4926, 0.0045625
920000, 1.49337, 0.00457802
930000, 1.49444, 0.00465326
940000, 1.49468, 0.00460953
950000, 1.49452, 0.00456339
960000, 1.49444, 0.00451638
970000, 1.49447, 0.00446971
980000, 1.49464, 0.00442699
990000, 1.49487, 0.00438818
1e+06, 1.49458, 0.00435387
