M, r_mean(M), r_error(M)
10000, 1.47265, 0
20000, 1.5098, 0.037152
30000, 1.48803, 0.0305665
40000, 1.51273, 0.0328209
50000, 1.51763, 0.0258917
60000, 1.50652, 0.0238806
70000, 1.51372, 0.0214278
80000, 1.5096, 0.0190098
90000, 1.50445, 0.0175389
100000, 1.50915, 0.0163784
110000, 1.50989, 0.014833
120000, 1.50595, 0.0141025
130000, 1.50293, 0.0133188
140000, 1.49881, 0.0130016
150000, 1.49984, 0.012148
160000, 1.49614, 0.0119512
170000, 1.49461, 0.0113304
180000, 1.49391, 0.0107053
190000, 1.49438, 0.0101373
200000, 1.49506, 0.00964119
210000, 1.49766, 0.00953268
220000, 1.49482, 0.00952531
230000, 1.49673, 0.00930085
240000, 1.49752, 0.00893948
250000, 1.49704, 0.0085878
260000, 1.49692, 0.00825174
270000, 1.4967, 0.00794321
280000, 1.49843, 0.00784753
290000, 1.49774, 0.00760356
300000, 1.49793, 0.00734816
310000, 1.49937, 0.00725112
320000, 1.5003, 0.00708275
330000, 1.50089, 0.00688996
340000, 1.50085, 0.00668436
350000, 1.5013, 0.00650605
360000, 1.50174, 0.00633796
370000, 1.50086, 0.00622595
380000, 1.5019, 0.00614862
390000, 1.50023, 0.00621807
400000, 1.49993, 0.00606793
410000, 1.49917, 0.00596695
420000, 1.49913, 0.00582328
430000, 1.49907, 0.00568657
440000, 1.49955, 0.00557607
450000, 1.49839, 0.00557205
460000, 1.49807, 0.00545898
470000, 1.4977, 0.00535431
480000, 1.499, 0.0054015
490000, 1.49873, 0.00529728
500000, 1.49934, 0.00522576
510000, 1.49924, 0.00512311
520000, 1.49911, 0.00502533
530000, 1.49829, 0.00499783
540000, 1.49817, 0.00490582
550000, 1.49929, 0.00494297
560000, 1.49922, 0.00485432
570000, 1.50051, 0.00493813
580000, 1.50103, 0.00488019
590000, 1.50244, 0.00499893
600000, 1.50235, 0.00491573
610000, 1.50292, 0.00486817
620000, 1.50262, 0.00479826
630000, 1.50224, 0.00473651
640000, 1.50142, 0.00473422
650000, 1.50041, 0.00476767
660000, 1.49925, 0.00483758
670000, 1.49993, 0.00481316
680000, 1.49987, 0.00474221
690000, 1.50017, 0.00468261
700000, 1.49962, 0.00464751
710000, 1.49873, 0.00466756
720000, 1.49871, 0.00460233
730000, 1.49775, 0.00463894
740000, 1.4971, 0.00462196
750000, 1.49633, 0.00462454
760000, 1.49639, 0.00456374
770000, 1.49682, 0.00452424
780000, 1.49664, 0.00446942
790000, 1.49665, 0.00441248
800000, 1.49602, 0.00440151
810000, 1.49641, 0.00436409
820000, 1.49606, 0.00432425
830000, 1.49606, 0.00427183
840000, 1.49637, 0.00423217
850000, 1.49611, 0.00418999
860000, 1.49627, 0.00414387
870000, 1.49572, 0.00413261
880000, 1.49583, 0.00408695
890000, 1.49575, 0.00404171
900000, 1.49578, 0.00399672
910000, 1.49562, 0.00395589
920000, 1.49634, 0.00397784
930000, 1.49579, 0.00397258
940000, 1.49568, 0.00393176
950000, 1.4957, 0.00389025
960000, 1.49559, 0.00385111
970000, 1.49552, 0.00381183
980000, 1.49584, 0.00378572
990000, 1.49571, 0.00374945
1e+06, 1.49677, 0.00386139
