M, r_mean(M), r_error(M)
6250, 1.56253, 0
12500, 1.53412, 0.0284048
18750, 1.54013, 0.0174638
25000, 1.54417, 0.0129951
31250, 1.53125, 0.0163806
37500, 1.51707, 0.0194898
43750, 1.51055, 0.0177158
50000, 1.51712, 0.0166877
56250, 1.5184, 0.0147734
62500, 1.5201, 0.0133218
68750, 1.51286, 0.0140563
75000, 1.51127, 0.0129299
81250, 1.50611, 0.012964
87500, 1.51115, 0.0130154
93750, 1.50922, 0.0122686
100000, 1.50552, 0.0120596
106250, 1.50682, 0.0114033
112500, 1.50567, 0.0108124
118750, 1.50458, 0.0102858
125000, 1.50579, 0.00983295
131250, 1.5054, 0.00936135
137500, 1.50773, 0.0092259
143750, 1.50434, 0.00944466
150000, 1.50492, 0.00906116
156250, 1.50153, 0.00933179
162500, 1.5032, 0.00912065
168750, 1.50261, 0.00879638
175000, 1.50214, 0.00848945
181250, 1.50346, 0.00829796
187500, 1.50192, 0.00816252
193750, 1.50287, 0.0079507
200000, 1.50202, 0.00774397
206250, 1.50192, 0.00750641
212500, 1.50032, 0.00745536
218750, 1.50257, 0.00758189
225000, 1.50358, 0.00743714
231250, 1.50329, 0.00723926
237500, 1.50342, 0.00704732
243750, 1.50154, 0.00711677
250000, 1.50139, 0.00693822
256250, 1.50374, 0.007163
262500, 1.50614, 0.007392
268750, 1.50526, 0.00727203
275000, 1.50525, 0.00710483
281250, 1.5046, 0.0069754
287500, 1.50662, 0.00711424
293750, 1.50907, 0.00737886
300000, 1.50898, 0.00722399
306250, 1.50823, 0.00711451
312500, 1.50847, 0.00697477
318750, 1.50763, 0.00688789
325000, 1.50814, 0.00677356
331250, 1.50791, 0.00664873
337500, 1.50802, 0.00652537
343750, 1.50724, 0.00645259
350000, 1.50544, 0.00658767
356250, 1.5046, 0.00652548
362500, 1.50281, 0.00665763
368750, 1.5017, 0.0066373
375000, 1.50285, 0.00662687
381250, 1.50241, 0.00653204
387500, 1.50316, 0.00646937
393750, 1.50351, 0.00637516
400000, 1.50286, 0.00630815
406250, 1.50183, 0.00629423
412500, 1.50113, 0.00623736
418750, 1.50041, 0.00618577
425000, 1.50121, 0.00614662
431250, 1.50107, 0.00605856
437500, 1.50045, 0.00600393
443750, 1.49987, 0.00594678
450000, 1.49826, 0.00608035
456250, 1.49787, 0.00600931
462500, 1.49791, 0.00592765
468750, 1.49752, 0.00586104
475000, 1.4978, 0.00579028
481250, 1.49775, 0.00571475
487500, 1.49757, 0.00564392
493750, 1.49714, 0.00558882
500000, 1.49754, 0.005533
506250, 1.49734, 0.00546793
512500, 1.4976, 0.00540708
518750, 1.49801, 0.00535718
525000, 1.49834, 0.00530313
531250, 1.49794, 0.00525536
537500, 1.49803, 0.00519476
543750, 1.49823, 0.00513854
550000, 1.49807, 0.0050824
556250, 1.49829, 0.00502976
562500, 1.49796, 0.00498459
568750, 1.49789, 0.00492993
575000, 1.49787, 0.00487609
581250, 1.49798, 0.00482462
587500, 1.49852, 0.00480367
593750, 1.49851, 0.00475287
600000, 1.49883, 0.00471394
606250, 1.49952, 0.00471694
612500, 1.499, 0.00469726
618750, 1.49912, 0.00465107
625000, 1.4994, 0.00461294
631250, 1.49995, 0.00460004
637500, 1.49949, 0.00457829
643750, 1.49921, 0.00454197
650000, 1.49917, 0.00449832
656250, 1.49863, 0.00448811
662500, 1.49884, 0.00445069
668750, 1.49862, 0.00441422
675000, 1.49842, 0.0043778
681250, 1.49862, 0.00434211
687500, 1.49863, 0.00430247
693750, 1.49854, 0.00426453
700000, 1.49854, 0.00422628
706250, 1.4998, 0.00437465
712500, 1.49927, 0.00436864
718750, 1.4995, 0.00433673
725000, 1.50007, 0.00433727
731250, 1.50009, 0.00430009
737500, 1.50008, 0.00426353
743750, 1.50084, 0.0042952
750000, 1.50065, 0.00426334
756250, 1.50026, 0.00424611
762500, 1.50023, 0.00421123
768750, 1.50058, 0.00419163
775000, 1.50071, 0.00415951
781250, 1.50085, 0.00412849
787500, 1.50105, 0.00410049
793750, 1.50122, 0.00407164
800000, 1.50103, 0.00404425
806250, 1.50111, 0.0040137
812500, 1.5014, 0.00399313
818750, 1.501, 0.00398253
825000, 1.50167, 0.00400862
831250, 1.50156, 0.00397994
837500, 1.50165, 0.00395118
843750, 1.50142, 0.00392888
850000, 1.5016, 0.00390428
856250, 1.50209, 0.003906
862500, 1.50249, 0.00389814
868750, 1.50251, 0.00387004
875000, 1.50258, 0.00384294
881250, 1.50218, 0.00383656
887500, 1.50275, 0.00385295
893750, 1.50237, 0.00384469
900000, 1.50146, 0.00392488
906250, 1.50132, 0.00390042
912500, 1.50159, 0.00388349
918750, 1.50153, 0.00385755
925000, 1.50162, 0.00383259
931250, 1.50133, 0.0038178
937500, 1.50143, 0.00379356
943750, 1.50149, 0.00376873
950000, 1.50203, 0.00378387
956250, 1.50221, 0.0037633
962500, 1.50255, 0.00375358
968750, 1.50265, 0.00373064
975000, 1.5025, 0.00370956
981250, 1.50237, 0.00368829
987500, 1.50257, 0.00367071
993750, 1.50251, 0.00364802
1e+06, 1.50235, 0.00362895
