M, r_mean(M), r_error(M)
6250, 1.47749, 0
12500, 1.49341, 0.0159247
18750, 1.52309, 0.0310694
25000, 1.53691, 0.0259548
31250, 1.54629, 0.022185
37500, 1.53428, 0.0217334
43750, 1.52956, 0.0189649
50000, 1.53875, 0.0188224
56250, 1.53975, 0.0166297
62500, 1.53552, 0.0154634
68750, 1.52965, 0.0151697
75000, 1.5272, 0.014064
81250, 1.51562, 0.0173617
87500, 1.52023, 0.0167213
93750, 1.5162, 0.016078
100000, 1.51304, 0.0153681
106250, 1.51448, 0.014507
112500, 1.51635, 0.0138055
118750, 1.51288, 0.013512
125000, 1.5132, 0.0128226
131250, 1.51183, 0.0122736
137500, 1.51407, 0.0119146
143750, 1.51185, 0.0115987
150000, 1.51128, 0.0111199
156250, 1.50801, 0.0111538
162500, 1.50794, 0.0107164
168750, 1.50729, 0.0103321
175000, 1.5072, 0.00995677
181250, 1.50899, 0.00977279
187500, 1.50863, 0.00944834
193750, 1.51008, 0.009253
200000, 1.5077, 0.00926847
206250, 1.50852, 0.00902048
212500, 1.50707, 0.00886994
218750, 1.50906, 0.00883852
225000, 1.50888, 0.00859129
231250, 1.5079, 0.00841366
237500, 1.50775, 0.00819053
243750, 1.50639, 0.00809403
250000, 1.50621, 0.00789112
256250, 1.50808, 0.00792056
262500, 1.51034, 0.00805241
268750, 1.51015, 0.00786518
275000, 1.51146, 0.00779589
281250, 1.51084, 0.00764582
287500, 1.51266, 0.0076948
293750, 1.51414, 0.00767297
300000, 1.51576, 0.00768617
306250, 1.51552, 0.00753154
312500, 1.51518, 0.00738719
318750, 1.51606, 0.00729414
325000, 1.51565, 0.00716441
331250, 1.5148, 0.00707913
337500, 1.51538, 0.00697133
343750, 1.51506, 0.00685122
350000, 1.51373, 0.00685725
356250, 1.51256, 0.00683784
362500, 1.51098, 0.00690092
368750, 1.50966, 0.00691083
375000, 1.51046, 0.00684187
381250, 1.50976, 0.00676468
387500, 1.50999, 0.00665853
393750, 1.51072, 0.00659295
400000, 1.51005, 0.00652434
406250, 1.50921, 0.00647737
412500, 1.50895, 0.00638377
418750, 1.50848, 0.00630565
425000, 1.50841, 0.00621261
431250, 1.50792, 0.00614105
437500, 1.50719, 0.006097
443750, 1.50645, 0.0060561
450000, 1.50547, 0.00605073
456250, 1.50484, 0.00600064
462500, 1.5043, 0.00594363
468750, 1.50424, 0.00586418
475000, 1.50447, 0.00579111
481250, 1.50441, 0.0057157
487500, 1.50504, 0.00567765
493750, 1.50489, 0.00560747
500000, 1.50484, 0.00553712
506250, 1.50464, 0.00547198
512500, 1.50426, 0.00541848
518750, 1.50441, 0.00535495
525000, 1.50453, 0.00529218
531250, 1.50418, 0.00524146
537500, 1.50378, 0.00519545
543750, 1.50476, 0.00522779
550000, 1.5046, 0.00517053
556250, 1.50507, 0.00513357
562500, 1.50447, 0.00511177
568750, 1.50421, 0.00506169
575000, 1.50424, 0.00500647
581250, 1.50412, 0.00495386
587500, 1.50449, 0.00491454
593750, 1.50428, 0.00486676
600000, 1.50448, 0.00481976
606250, 1.50509, 0.00480837
612500, 1.50486, 0.00476435
618750, 1.50523, 0.00473057
625000, 1.5055, 0.00469043
631250, 1.50538, 0.00464513
637500, 1.50485, 0.00462988
643750, 1.50468, 0.00458785
650000, 1.50461, 0.00454411
656250, 1.50406, 0.00453383
662500, 1.50432, 0.00449791
668750, 1.50395, 0.00447039
675000, 1.50353, 0.00444899
681250, 1.50374, 0.00441289
687500, 1.50394, 0.00437749
693750, 1.50421, 0.00434605
700000, 1.50391, 0.00431777
706250, 1.50467, 0.00434711
712500, 1.50453, 0.00431117
718750, 1.50455, 0.00427356
725000, 1.50515, 0.00427956
731250, 1.50506, 0.00424379
737500, 1.50513, 0.00420825
743750, 1.5056, 0.00419924
750000, 1.50532, 0.00417376
756250, 1.50476, 0.00417724
762500, 1.50462, 0.00414524
768750, 1.50484, 0.00411772
775000, 1.50491, 0.00408483
781250, 1.50484, 0.00405258
787500, 1.50515, 0.00403269
793750, 1.5056, 0.00402519
800000, 1.50539, 0.00399918
806250, 1.50566, 0.00397729
812500, 1.5055, 0.00394971
818750, 1.50446, 0.00405427
825000, 1.50458, 0.00402527
831250, 1.50448, 0.00399611
837500, 1.50462, 0.00396864
843750, 1.50386, 0.004012
850000, 1.50386, 0.00398239
856250, 1.50408, 0.00395932
862500, 1.5041, 0.00393056
868750, 1.50366, 0.00392622
875000, 1.50378, 0.00389975
881250, 1.50327, 0.0039045
887500, 1.50364, 0.0038944
893750, 1.50331, 0.00388118
900000, 1.50246, 0.00394672
906250, 1.50216, 0.00393089
912500, 1.50226, 0.00390514
918750, 1.50223, 0.00387857
925000, 1.50225, 0.00385231
931250, 1.50214, 0.00382801
937500, 1.5024, 0.00381165
943750, 1.50276, 0.00380337
950000, 1.5029, 0.00378084
956250, 1.50291, 0.00375605
962500, 1.50352, 0.00378172
968750, 1.50344, 0.00375809
975000, 1.50331, 0.00373611
981250, 1.50354, 0.00371899
987500, 1.50396, 0.00372012
993750, 1.50393, 0.00369678
1e+06, 1.50393, 0.00367361
