M, u(M), chi(M), m(M)
1, -0.44, 0.16, 0.08
2, -0.28, 2.56, -0.32
3, -0.28, 1.44, -0.24
4, -0.68, 6.76, -0.52
5, -0.52, 6.76, -0.52
6, -0.6, 7.84, -0.56
7, -0.68, 3.24, -0.36
8, -0.44, 0.04, -0.04
9, -0.44, 0.04, -0.04
10, -0.6, 0, 0
11, -0.28, 0.16, 0.08
12, -0.52, 0.16, 0.08
13, -0.44, 0.64, 0.16
14, -0.44, 0, 0
15, -0.6, 0.36, 0.12
16, -0.36, 1, 0.2
17, -0.52, 1.96, 0.28
18, -0.28, 1, 0.2
19, -0.52, 6.76, 0.52
20, -0.28, 1.44, 0.24
21, -0.36, 1, 0.2
22, -0.52, 1, 0.2
23, -0.6, 1.44, 0.24
24, -0.52, 2.56, 0.32
25, -0.52, 1.96, 0.28
26, -0.6, 2.56, 0.32
27, -0.44, 1, 0.2
28, -0.6, 1.96, 0.28
29, -0.6, 2.56, 0.32
30, -0.44, 0.04, 0.04
31, -0.36, 0.04, -0.04
32, -0.6, 0.36, -0.12
33, -0.52, 0.16, -0.08
34, -0.6, 0.16, 0.08
35, -0.6, 0.64, 0.16
36, -0.6, 4.84, 0.44
37, -0.6, 1.96, 0.28
38, -0.84, 4, 0.4
39, -0.44, 2.56, 0.32
40, -0.68, 2.56, 0.32
41, -0.28, 0.16, 0.08
42, -0.6, 0.04, -0.04
43, -0.68, 1.44, 0.24
44, -0.52, 4, 0.4
45, -0.6, 4, 0.4
46, -0.28, 4, 0.4
47, -0.52, 6.76, 0.52
48, -0.68, 10.24, 0.64
49, -0.36, 0.36, 0.12
50, -0.44, 0.36, 0.12
51, -0.36, 0.36, 0.12
52, -0.36, 0.04, -0.04
53, -0.52, 1, 0.2
54, -0.52, 1, 0.2
55, -0.52, 0.04, 0.04
56, -0.36, 0.04, -0.04
57, -0.44, 0.04, 0.04
58, -0.44, 0.16, 0.08
59, -0.12, 0.16, -0.08
60, -0.2, 0, 0
61, -0.2, 0.04, 0.04
62, -0.28, 1.44, -0.24
63, -0.52, 1.96, -0.28
64, -0.52, 3.24, -0.36
65, -0.44, 1.96, -0.28
66, -0.68, 1.44, -0.24
67, -0.6, 0.04, -0.04
68, -0.6, 0, 0
69, -0.6, 0.36, 0.12
70, -0.6, 0.64, 0.16
71, -0.36, 0.64, 0.16
72, -0.44, 0.16, 0.08
73, -0.52, 0, 0
74, -0.28, 0.64, -0.16
75, -0.36, 0.64, 0.16
76, -0.36, 1.96, 0.28
77, -0.44, 1.96, 0.28
78, -0.44, 3.24, 0.36
79, -0.2, 4.84, 0.44
80, -0.44, 1.96, 0.28
81, -0.52, 0.04, 0.04
82, -0.44, 0, 0
83, -0.44, 1.44, 0.24
84, -0.44, 1, 0.2
85, -0.2, 0.36, 0.12
86, -0.36, 1.96, 0.28
87, -0.44, 0, 0
88, -0.28, 1.44, 0.24
89, -0.36, 3.24, 0.36
90, -0.6, 0.04, 0.04
91, -0.52, 1, -0.2
92, -0.28, 2.56, -0.32
93, -0.52, 2.56, -0.32
94, -0.52, 3.24, -0.36
95, -0.36, 1, -0.2
96, -0.52, 0.16, 0.08
97, -0.52, 0, 0
98, -0.6, 0.36, -0.12
99, -0.6, 0.04, 0.04
100, -0.76, 0, 0
101, -0.52, 0, 0
102, -0.44, 0.04, 0.04
103, -0.44, 1.44, -0.24
104, -0.44, 0.16, 0.08
105, -0.52, 0.16, -0.08
106, -0.52, 4, -0.4
107, -0.44, 0.04, -0.04
108, -0.52, 0.04, -0.04
109, -0.6, 0.64, -0.16
110, -0.44, 0.04, -0.04
111, -0.44, 1.96, -0.28
112, -0.44, 1.44, -0.24
113, -0.36, 0.04, -0.04
114, -0.52, 0.36, 0.12
115, -0.52, 0, 0
116, -0.68, 0.04, 0.04
117, -0.44, 0.36, -0.12
118, -0.44, 2.56, -0.32
119, -0.76, 3.24, -0.36
120, -0.6, 0.04, -0.04
121, -0.52, 0.36, 0.12
122, -0.6, 0.16, 0.08
123, -0.36, 0.64, 0.16
124, -0.28, 0.04, 0.04
125, -0.44, 1, -0.2
126, -0.36, 0, 0
127, -0.6, 1, 0.2
128, -0.6, 1.44, 0.24
129, -0.52, 0.64, 0.16
130, -0.28, 3.24, 0.36
