T, u(T), u_error(T), c(T), c_error(T), chi(T), chi_error(T), m(T), m_error(T)
0.5, -1.00525, 0.00130489, 0.227977, 0.0175327, 91.3598, 0.900947, 0.900214, 0.0198557
0.551724, -0.986477, 0.00103485, 0.393892, 0.0105223, 73.2273, 0.727337, 0.754955, 0.029284
0.603448, -0.964045, 0.00182259, 0.478197, 0.00903499, 56.5775, 1.05602, 0.632941, 0.0290224
0.655172, -0.938199, 0.000935393, 0.519662, 0.00764554, 42.4107, 0.57381, 0.57354, 0.0135783
0.706897, -0.908473, 0.00154771, 0.517903, 0.00838936, 30.486, 0.725884, 0.419046, 0.0228091
0.758621, -0.88458, 0.000858343, 0.519527, 0.00513196, 24.0205, 0.305593, 0.368044, 0.0093204
0.810345, -0.855218, 0.0010551, 0.491876, 0.00509191, 17.6065, 0.31498, 0.284551, 0.0102788
0.862069, -0.831987, 0.000757087, 0.48689, 0.00366579, 14.3549, 0.244672, 0.246279, 0.00985214
0.913793, -0.806713, 0.0010332, 0.463463, 0.00407603, 11.5178, 0.169084, 0.198381, 0.0105537
0.965517, -0.783097, 0.000957946, 0.44863, 0.00202252, 9.18431, 0.102462, 0.160482, 0.00699625
1.01724, -0.760206, 0.000698672, 0.43724, 0.00257732, 8.03757, 0.138063, 0.149928, 0.00549089
1.06897, -0.7393, 0.000720179, 0.415865, 0.00298792, 6.77067, 0.0934234, 0.130678, 0.00593992
1.12069, -0.716923, 0.000591294, 0.401269, 0.00247084, 5.72537, 0.0614094, 0.103948, 0.00440008
1.17241, -0.696252, 0.000488391, 0.386086, 0.00178468, 5.02541, 0.0516856, 0.0992758, 0.00328353
1.22414, -0.677107, 0.000588672, 0.370428, 0.00109498, 4.42798, 0.0424068, 0.0841356, 0.00294298
1.27586, -0.656818, 0.00042291, 0.356985, 0.00204327, 3.91068, 0.0377112, 0.075115, 0.003244
1.32759, -0.639678, 0.000416825, 0.343755, 0.00156024, 3.51323, 0.031207, 0.0689178, 0.00315717
1.37931, -0.622125, 0.000418664, 0.326897, 0.00116378, 3.25197, 0.0236833, 0.0631002, 0.00219452
1.43103, -0.605694, 0.000344832, 0.314205, 0.00126399, 2.91544, 0.0253119, 0.0582048, 0.00243038
1.48276, -0.589707, 0.000417775, 0.299398, 0.00114942, 2.70583, 0.0226977, 0.0542698, 0.00271678
1.53448, -0.573811, 0.000378237, 0.286584, 0.00110811, 2.43895, 0.0142735, 0.0474068, 0.00269579
1.58621, -0.559631, 0.000472245, 0.274806, 0.000939917, 2.25172, 0.0172309, 0.0465698, 0.00184964
1.63793, -0.545945, 0.000357992, 0.263237, 0.00103299, 2.12511, 0.0123946, 0.0413702, 0.00171864
1.68966, -0.531834, 0.000518853, 0.253319, 0.000941893, 1.96471, 0.0177559, 0.0395302, 0.00168067
1.74138, -0.520095, 0.000438803, 0.242612, 0.000938537, 1.83669, 0.0134005, 0.0346366, 0.00181842
1.7931, -0.505789, 0.000476201, 0.232008, 0.000950734, 1.71736, 0.0134691, 0.0332684, 0.00243139
1.84483, -0.495635, 0.000437476, 0.223499, 0.00081772, 1.60632, 0.0090045, 0.0311548, 0.00181903
1.89655, -0.484133, 0.00033986, 0.214993, 0.000685062, 1.52937, 0.0121213, 0.0282806, 0.00201071
1.94828, -0.474628, 0.000366059, 0.205582, 0.000633602, 1.44517, 0.0103643, 0.0285152, 0.00151178
2, -0.463696, 0.000501918, 0.197193, 0.000673415, 1.37188, 0.00653353, 0.0262732, 0.00145829
