T, u(T), u_error(T), c(T), c_error(T), chi(T), chi_error(T), m(T), m_error(T)
0.5, -0.973444, 0.00143175, 0.325268, 0.0117196, 78.3386, 1.47352, -0.0603326, 0.116615
0.551724, -0.958346, 0.00131253, 0.387215, 0.00728572, 62.2419, 1.14053, 0.101394, 0.0684378
0.603448, -0.934004, 0.00134394, 0.418195, 0.00717201, 44.0097, 1.1356, -0.0509162, 0.0515063
0.655172, -0.91047, 0.00104238, 0.417512, 0.00738967, 30.6681, 0.71598, 0.0096758, 0.0358264
0.706897, -0.890322, 0.00100409, 0.431821, 0.0054997, 24.5174, 0.55863, 0.0519034, 0.0258124
0.758621, -0.86803, 0.000867092, 0.447719, 0.0047771, 19.3846, 0.461462, 0.0389176, 0.0145963
0.810345, -0.843359, 0.000838874, 0.437233, 0.00307661, 14.2252, 0.264493, 0.0032116, 0.0120671
0.862069, -0.821049, 0.000598645, 0.440805, 0.00239668, 11.9877, 0.239606, -0.011493, 0.00879283
0.913793, -0.798287, 0.000750806, 0.43537, 0.00328845, 9.84949, 0.205204, -0.0012144, 0.00674478
0.965517, -0.77738, 0.00060657, 0.424531, 0.00239359, 8.48779, 0.132596, -0.0020532, 0.00881109
1.01724, -0.754319, 0.000579675, 0.416622, 0.00185109, 6.94631, 0.108136, 0.0056274, 0.00498429
1.06897, -0.732023, 0.000512626, 0.40523, 0.00240245, 6.14413, 0.0844677, -0.000847, 0.00504184
1.12069, -0.711818, 0.000652682, 0.392673, 0.00195384, 5.39002, 0.061053, -0.0021022, 0.00378347
1.17241, -0.692849, 0.000679057, 0.377995, 0.00180136, 4.85336, 0.0574916, -0.0078088, 0.0036849
1.22414, -0.672821, 0.00061309, 0.365572, 0.00142219, 4.10078, 0.0365995, -0.0043822, 0.00380251
1.27586, -0.655583, 0.000467179, 0.354045, 0.00124453, 3.80616, 0.0379067, 0.0004544, 0.00277262
1.32759, -0.636821, 0.000467529, 0.335904, 0.00146173, 3.38294, 0.0244786, -0.0001928, 0.00272391
1.37931, -0.620352, 0.000479057, 0.322783, 0.00144067, 3.07934, 0.031435, -0.0005472, 0.0028002
1.43103, -0.603628, 0.000491326, 0.309023, 0.0011572, 2.7966, 0.0244501, -0.0044596, 0.00313165
1.48276, -0.588175, 0.000508138, 0.298803, 0.00118777, 2.57763, 0.0217951, 0.0060018, 0.00252531
1.53448, -0.572721, 0.000631723, 0.2849, 0.00105734, 2.39534, 0.0229233, -0.0021786, 0.00190101
1.58621, -0.558735, 0.000388722, 0.272934, 0.0011083, 2.22681, 0.0184895, -0.0018388, 0.00190837
1.63793, -0.544689, 0.000457159, 0.262382, 0.00109504, 2.07461, 0.013345, -0.0007014, 0.00247913
1.68966, -0.531705, 0.000383991, 0.252559, 0.000800202, 1.94776, 0.0179684, -0.002249, 0.00194608
1.74138, -0.519141, 0.000332833, 0.241072, 0.000862356, 1.82715, 0.0119077, 0.0013086, 0.00145606
1.7931, -0.504808, 0.000344803, 0.231533, 0.000905784, 1.70172, 0.0112945, -0.001999, 0.00146577
1.84483, -0.494543, 0.000592048, 0.222714, 0.000794103, 1.62396, 0.00946599, -0.0032144, 0.0015409
1.89655, -0.482599, 0.000362146, 0.212704, 0.000670267, 1.52875, 0.00725847, -0.0002716, 0.00197104
1.94828, -0.471738, 0.00055275, 0.205165, 0.00076318, 1.43122, 0.00648246, 0.0011442, 0.00157896
2, -0.461698, 0.000483894, 0.19703, 0.000695815, 1.37311, 0.00699688, 0.0017606, 0.00116936
