M, u(M), chi(M), m(M)
1, -0.68, 1.96, -0.28
2, -0.6, 3.24, -0.36
3, -0.6, 0.16, -0.08
4, -0.52, 4.84, 0.44
5, -0.12, 0.36, -0.12
6, -0.36, 0.16, 0.08
7, -0.52, 6.76, 0.52
8, -0.52, 1, 0.2
9, -0.44, 0.36, 0.12
10, -0.44, 1, 0.2
11, -0.36, 0, 0
12, -0.44, 0.16, -0.08
13, -0.52, 1, -0.2
14, -0.44, 0.16, 0.08
15, -0.28, 0.64, 0.16
16, -0.52, 0.64, 0.16
17, -0.36, 0.16, 0.08
18, -0.44, 0.16, 0.08
19, -0.44, 0, 0
20, -0.6, 4, 0.4
21, -0.6, 1, 0.2
22, -0.44, 0.64, 0.16
23, -0.28, 0.04, 0.04
24, -0.6, 0, 0
25, -0.76, 0.36, -0.12
26, -0.52, 0.64, -0.16
27, -0.44, 0.04, 0.04
28, -0.6, 0.04, -0.04
29, -0.44, 0, 0
30, -0.44, 0.04, -0.04
31, -0.44, 0.36, -0.12
32, -0.28, 0.64, -0.16
33, -0.28, 0.36, -0.12
34, -0.44, 0.16, -0.08
35, -0.52, 0.04, 0.04
36, -0.52, 0.04, 0.04
37, -0.68, 0.04, 0.04
38, -0.28, 0.16, 0.08
39, -0.44, 0.36, 0.12
40, -0.6, 1, -0.2
41, -0.36, 0.16, 0.08
42, -0.6, 1.96, 0.28
43, -0.6, 3.24, 0.36
44, -0.28, 0.64, 0.16
45, -0.44, 0.64, 0.16
46, -0.52, 1, 0.2
47, -0.6, 1, -0.2
48, -0.44, 0.16, -0.08
49, -0.36, 1.96, -0.28
50, -0.52, 1.44, -0.24
51, -0.36, 2.56, -0.32
52, -0.52, 0, 0
53, -0.52, 0, 0
54, -0.36, 1.96, 0.28
55, -0.28, 1.96, 0.28
56, -0.44, 0.16, 0.08
57, -0.68, 1, 0.2
58, -0.52, 2.56, 0.32
59, -0.52, 1, 0.2
60, -0.76, 4, 0.4
61, -0.68, 0.16, 0.08
62, -0.44, 3.24, 0.36
63, -0.52, 1.96, 0.28
64, -0.44, 2.56, 0.32
65, -0.28, 4, 0.4
66, -0.6, 1.96, 0.28
67, -0.6, 2.56, 0.32
68, -0.52, 4, 0.4
69, -0.52, 4, 0.4
70, -0.44, 1.96, 0.28
71, -0.36, 1.44, 0.24
72, -0.36, 0.16, 0.08
73, -0.6, 0.04, -0.04
74, -0.52, 0.36, -0.12
75, -0.68, 0.04, -0.04
76, -0.6, 1.96, -0.28
77, -0.6, 1, -0.2
78, -0.52, 2.56, -0.32
79, -0.6, 10.24, -0.64
80, -0.44, 2.56, -0.32
81, -0.2, 3.24, -0.36
82, -0.28, 0, 0
83, -0.36, 1, 0.2
84, -0.44, 1.96, -0.28
85, -0.52, 3.24, -0.36
86, -0.6, 0.36, -0.12
87, -0.52, 0.16, -0.08
88, -0.52, 0.04, -0.04
89, -0.44, 4, -0.4
90, -0.44, 1, -0.2
91, -0.6, 1.96, -0.28
92, -0.52, 2.56, -0.32
93, -0.36, 1.44, -0.24
94, -0.44, 1, -0.2
95, -0.52, 0.64, 0.16
96, -0.68, 0.04, 0.04
97, -0.68, 0.04, -0.04
98, -0.28, 0.04, -0.04
99, -0.36, 0.64, 0.16
100, -0.44, 2.56, -0.32
101, -0.44, 2.56, -0.32
102, -0.12, 0.16, 0.08
103, -0.44, 0.04, 0.04
104, -0.28, 0.16, 0.08
105, -0.44, 0.16, -0.08
106, -0.36, 3.24, -0.36
107, -0.52, 7.84, -0.56
108, -0.6, 1.96, -0.28
109, -0.76, 0.64, -0.16
110, -0.68, 3.24, -0.36
111, -0.68, 3.24, -0.36
112, -0.28, 4, -0.4
113, -0.68, 0, 0
114, -0.52, 0.64, -0.16
115, -0.6, 0.36, -0.12
116, -0.2, 0.36, -0.12
117, -0.44, 1, -0.2
118, -0.36, 0.36, -0.12
119, -0.44, 1.44, -0.24
120, -0.6, 0.04, -0.04
121, -0.52, 1.96, -0.28
122, -0.6, 0.16, -0.08
123, -0.6, 0, 0
124, -0.52, 0, 0
125, -0.28, 1, 0.2
126, -0.44, 6.76, 0.52
127, -0.6, 4.84, 0.44
128, -0.44, 0.36, 0.12
129, -0.52, 1.44, -0.24
130, -0.52, 0.64, -0.16
131, -0.52, 1, -0.2
132, -0.44, 1, -0.2
133, -0.44, 1, -0.2
134, -0.6, 0.04, -0.04
135, -0.36, 0.16, 0.08
136, -0.44, 0, 0
137, -0.44, 1.96, -0.28
138, -0.44, 0.36, -0.12
139, -0.44, 0.04, -0.04
140, -0.28, 0.16, -0.08
141, -0.52, 1.44, 0.24
142, -0.6, 0.16, -0.08
143, -0.68, 0.04, -0.04
144, -0.6, 0.64, -0.16
145, -0.44, 0.16, 0.08
146, -0.28, 0.16, 0.08
147, -0.44, 0.04, -0.04
148, -0.28, 5.76, 0.48
149, -0.44, 2.56, 0.32
150, -0.44, 6.76, 0.52
151, -0.52, 5.76, 0.48
152, -0.6, 7.84, 0.56
153, -0.52, 6.76, 0.52
154, -0.44, 6.76, 0.52
155, -0.44, 1.96, 0.28
156, -0.44, 4, 0.4
157, -0.52, 2.56, 0.32
158, -0.6, 2.56, 0.32
159, -0.52, 0.64, 0.16
160, -0.68, 1, 0.2
161, -0.68, 1, 0.2
162, -0.44, 0.04, -0.04
163, -0.52, 0.16, -0.08
164, -0.36, 1, 0.2
165, -0.6, 3.24, -0.36
166, -0.44, 1, -0.2
167, -0.44, 2.56, -0.32
168, -0.52, 0.36, 0.12
169, -0.68, 0.36, 0.12
170, -0.52, 0.36, 0.12
171, -0.6, 0, 0
172, -0.52, 0, 0
173, -0.52, 0.04, -0.04
174, -0.44, 1.96, -0.28
175, -0.6, 0.36, -0.12
176, -0.44, 1, 0.2
177, -0.44, 1.44, 0.24
178, -0.36, 0.04, -0.04
179, -0.52, 1, -0.2
180, -0.44, 1.96, -0.28
181, -0.44, 1.96, -0.28
182, -0.36, 2.56, -0.32
183, -0.52, 4.84, -0.44
184, -0.44, 9, -0.6
185, -0.6, 9, -0.6
