T, u(T), u_error(T), c(T), c_error(T), chi(T), chi_error(T), m(T), m_error(T)
0.5, -1.00217, 0.00104541, 0.285178, 0.016033, 89.2666, 0.741248, 0.878198, 0.0200153
0.551724, -0.986049, 0.000956001, 0.395623, 0.00845803, 72.5993, 0.494459, 0.784766, 0.0168527
0.603448, -0.962897, 0.00106311, 0.502415, 0.00773104, 55.8991, 0.658165, 0.672429, 0.0142396
0.655172, -0.935417, 0.00131561, 0.523978, 0.00604051, 40.7742, 0.737385, 0.523384, 0.0144685
0.706897, -0.911606, 0.00124047, 0.519345, 0.00560947, 31.9077, 0.50755, 0.466697, 0.01505
0.758621, -0.882487, 0.000891172, 0.509389, 0.00589423, 23.304, 0.345447, 0.354046, 0.0116569
0.810345, -0.855128, 0.000915827, 0.494092, 0.00451085, 17.4654, 0.29208, 0.278399, 0.0103028
0.862069, -0.830846, 0.000689234, 0.477077, 0.00437503, 14.0276, 0.189803, 0.226765, 0.00723802
0.913793, -0.806519, 0.00076698, 0.4678, 0.00273621, 11.341, 0.148257, 0.197806, 0.00605122
0.965517, -0.782176, 0.000581218, 0.448956, 0.00240502, 9.09953, 0.0869156, 0.151843, 0.00374462
1.01724, -0.760353, 0.000631155, 0.434607, 0.00345513, 7.79102, 0.0852458, 0.143371, 0.005061
1.06897, -0.73796, 0.000584105, 0.42123, 0.00144433, 6.83626, 0.0753282, 0.126511, 0.00281844
1.12069, -0.716561, 0.000640025, 0.401317, 0.00220486, 5.63506, 0.0455846, 0.104674, 0.00355208
1.17241, -0.696347, 0.000462039, 0.389225, 0.00216847, 5.0527, 0.0431953, 0.0936436, 0.0029528
1.22414, -0.676012, 0.000564174, 0.373562, 0.0016934, 4.40255, 0.0444726, 0.0818224, 0.00347214
1.27586, -0.658105, 0.000459794, 0.355485, 0.00164293, 3.97219, 0.0302399, 0.0737028, 0.00303577
1.32759, -0.639887, 0.000329576, 0.3411, 0.0010859, 3.47923, 0.0190074, 0.0650946, 0.00191025
1.37931, -0.622781, 0.000449741, 0.326734, 0.00106619, 3.22685, 0.0243285, 0.0638212, 0.0022189
1.43103, -0.604963, 0.000431475, 0.313445, 0.00142207, 2.9027, 0.0257567, 0.0563296, 0.00275151
1.48276, -0.589983, 0.000385653, 0.300929, 0.0010309, 2.66465, 0.0192119, 0.0496632, 0.00187466
1.53448, -0.573992, 0.000412355, 0.288693, 0.000858181, 2.45982, 0.0134389, 0.0462924, 0.0019076
1.58621, -0.559996, 0.000470097, 0.275941, 0.00092509, 2.28806, 0.011648, 0.0449958, 0.00113824
1.63793, -0.545538, 0.000413112, 0.264326, 0.000991985, 2.10518, 0.014473, 0.0430648, 0.00137892
1.68966, -0.531982, 0.000336544, 0.254193, 0.00127245, 1.96875, 0.0140824, 0.0372658, 0.00167369
1.74138, -0.520162, 0.000402543, 0.24126, 0.000834324, 1.85768, 0.0112452, 0.0376354, 0.00144118
1.7931, -0.507571, 0.000399966, 0.231519, 0.000645886, 1.73151, 0.0105453, 0.0350362, 0.00125728
1.84483, -0.495879, 0.000490646, 0.222189, 0.000866093, 1.63407, 0.00831829, 0.0320552, 0.00126056
1.89655, -0.484139, 0.000429969, 0.214199, 0.000529125, 1.53783, 0.00780699, 0.0296314, 0.00133788
1.94828, -0.47371, 0.000334839, 0.206022, 0.000864837, 1.44965, 0.00713256, 0.0308168, 0.00140119
2, -0.463051, 0.000464039, 0.197463, 0.000503168, 1.3767, 0.00719967, 0.0249872, 0.00107321
