T, u(T), u_error(T), c(T), c_error(T), chi(T), chi_error(T), m(T), m_error(T)
0.5, -0.974144, 0.00104077, 0.326239, 0.00831735, 79.1101, 1.01493, 0.111088, 0.0655936
0.551724, -0.957122, 0.00161721, 0.38869, 0.0066803, 61.1069, 1.34184, 0.005014, 0.0557133
0.603448, -0.932796, 0.000896727, 0.420198, 0.00527864, 42.5394, 0.683192, -0.0432758, 0.0304907
0.655172, -0.913076, 0.000727985, 0.431864, 0.00612142, 32.7124, 0.434121, 0.0178772, 0.0234904
0.706897, -0.889021, 0.000695035, 0.431784, 0.00414994, 23.9201, 0.359972, -0.0115626, 0.012418
0.758621, -0.866536, 0.000768289, 0.432674, 0.00377065, 18.0797, 0.279638, -0.0166314, 0.00941508
0.810345, -0.843362, 0.000612168, 0.436519, 0.00345051, 14.3661, 0.187885, -0.0114476, 0.00671599
0.862069, -0.821487, 0.000635248, 0.438521, 0.00292834, 11.9624, 0.168081, 0.0123664, 0.00877831
0.913793, -0.79862, 0.000631726, 0.436957, 0.0021194, 9.77929, 0.126186, 0.0033826, 0.0057855
0.965517, -0.77651, 0.000575727, 0.428098, 0.00215498, 8.24718, 0.0998668, 0.0071464, 0.00457932
1.01724, -0.754753, 0.000495545, 0.416677, 0.00268375, 7.11388, 0.0742029, 0.0026614, 0.00415553
1.06897, -0.733093, 0.000528907, 0.407078, 0.00186811, 6.10799, 0.0685766, 0.001285, 0.00381574
1.12069, -0.712718, 0.00057662, 0.391247, 0.0017443, 5.35481, 0.035306, -0.0055942, 0.00327182
1.17241, -0.691908, 0.000398075, 0.381469, 0.00128899, 4.72474, 0.0417302, -0.00115, 0.00392312
1.22414, -0.673553, 0.000540544, 0.364244, 0.00179026, 4.25711, 0.0279688, -0.0018646, 0.00230662
1.27586, -0.655034, 0.000485772, 0.351587, 0.00160041, 3.79635, 0.0271268, -0.003209, 0.00347502
1.32759, -0.637195, 0.000540632, 0.337524, 0.00132706, 3.40378, 0.020106, 0.0009084, 0.00272291
1.37931, -0.619786, 0.000432194, 0.323263, 0.00124263, 3.09638, 0.0185524, -0.0030338, 0.00221155
1.43103, -0.603817, 0.000405018, 0.308925, 0.00105342, 2.82903, 0.0188777, -0.0011914, 0.00251897
1.48276, -0.588092, 0.000342961, 0.295963, 0.00127674, 2.55801, 0.0145189, -0.0035222, 0.00202
1.53448, -0.573223, 0.00037873, 0.285001, 0.000980751, 2.38421, 0.012568, 0.0015436, 0.00155559
1.58621, -0.558027, 0.000442031, 0.272026, 0.00132552, 2.2307, 0.0143903, 0.0002522, 0.00193085
1.63793, -0.544229, 0.000425924, 0.262373, 0.000971776, 2.07107, 0.00884814, 0.0024576, 0.00163531
1.68966, -0.531434, 0.00053461, 0.253147, 0.0011084, 1.94602, 0.0098898, 0.000385, 0.00161704
1.74138, -0.519106, 0.000337372, 0.241299, 0.000860061, 1.81498, 0.0106373, 0.0005266, 0.00124277
1.7931, -0.506104, 0.000379127, 0.2307, 0.000800748, 1.70516, 0.0104345, 0.001511, 0.00118472
1.84483, -0.494101, 0.000290709, 0.223417, 0.000868392, 1.6002, 0.00655724, 0.0006864, 0.00138526
1.89655, -0.48351, 0.000439739, 0.21285, 0.00056316, 1.51453, 0.00921616, 0.0002724, 0.0011479
1.94828, -0.472336, 0.000352334, 0.20472, 0.000660953, 1.42201, 0.00703831, 0.0006128, 0.00107178
2, -0.462965, 0.000506687, 0.196148, 0.000509256, 1.37629, 0.00675459, 0.003854, 0.00122619
