M, epot, epot_error
2500, -0.38936, 0
5000, -0.379772, 0.00958833
7500, -0.389543, 0.0112302
10000, -0.38819, 0.00805538
12500, -0.391123, 0.00689477
15000, -0.39834, 0.00915312
17500, -0.397017, 0.00784807
20000, -0.396779, 0.00680079
22500, -0.40233, 0.00817211
25000, -0.40216, 0.00731132
27500, -0.404746, 0.00710081
30000, -0.406533, 0.00672389
32500, -0.407444, 0.00625179
35000, -0.404551, 0.00647068
37500, -0.404965, 0.00603812
40000, -0.405444, 0.00566837
42500, -0.40527, 0.00532736
45000, -0.40541, 0.00502464
47500, -0.404043, 0.00494534
50000, -0.401991, 0.00512091
52500, -0.403085, 0.00499242
55000, -0.401061, 0.00517275
57500, -0.399314, 0.0052424
60000, -0.39633, 0.005839
62500, -0.395555, 0.00565392
65000, -0.396315, 0.00548498
67500, -0.396429, 0.00527916
70000, -0.395898, 0.00511477
72500, -0.395372, 0.00496324
75000, -0.396042, 0.00484151
77500, -0.397131, 0.00480775
80000, -0.396775, 0.00466873
82500, -0.396633, 0.00452727
85000, -0.397266, 0.00443759
87500, -0.397797, 0.00434153
90000, -0.398333, 0.00425308
92500, -0.399087, 0.00420467
95000, -0.398717, 0.00410921
97500, -0.398897, 0.0040065
100000, -0.398217, 0.00396369
102500, -0.397909, 0.00387807
105000, -0.397362, 0.00382392
107500, -0.397724, 0.00375139
110000, -0.398707, 0.00379481
112500, -0.399137, 0.00373436
115000, -0.399408, 0.00366232
117500, -0.400514, 0.00375011
120000, -0.401262, 0.00374673
122500, -0.402755, 0.00396136
125000, -0.403384, 0.00393193
127500, -0.403394, 0.00385407
130000, -0.402922, 0.0038087
132500, -0.402864, 0.00373658
135000, -0.402838, 0.00366683
137500, -0.402483, 0.00361704
140000, -0.402195, 0.00356353
142500, -0.401646, 0.00354324
145000, -0.401493, 0.00348496
147500, -0.401255, 0.00343364
150000, -0.400462, 0.00346778
152500, -0.400201, 0.00342046
155000, -0.399602, 0.00341766
157500, -0.39899, 0.00341815
160000, -0.398783, 0.00337069
162500, -0.398625, 0.00332221
165000, -0.39824, 0.00329406
167500, -0.397896, 0.00326265
170000, -0.397558, 0.00323207
172500, -0.397125, 0.00321421
175000, -0.397762, 0.00323146
177500, -0.397517, 0.00319504
180000, -0.39797, 0.00318269
182500, -0.397762, 0.00314567
185000, -0.398098, 0.00312108
187500, -0.400001, 0.00361964
190000, -0.401139, 0.00374854
192500, -0.40121, 0.00370023
195000, -0.401395, 0.00365716
197500, -0.400841, 0.00365295
200000, -0.399887, 0.00373083
202500, -0.399631, 0.00369339
205000, -0.399875, 0.00365621
207500, -0.400046, 0.00361596
210000, -0.400808, 0.0036529
212500, -0.401123, 0.00362336
215000, -0.400672, 0.00360916
217500, -0.400662, 0.00356745
220000, -0.400428, 0.00353448
222500, -0.400522, 0.0034958
225000, -0.400577, 0.00345719
227500, -0.400349, 0.00342659
230000, -0.40029, 0.00338966
232500, -0.400313, 0.00335309
235000, -0.400133, 0.00332212
237500, -0.400132, 0.00328697
240000, -0.400217, 0.00325365
242500, -0.400073, 0.00322312
245000, -0.40023, 0.0031939
247500, -0.399903, 0.00317833
250000, -0.399865, 0.00314661
