M, etot, etot_error
2500, 1.4136, 0
5000, 1.41363, 2.98668e-05
7500, 1.41364, 1.74714e-05
10000, 1.41362, 2.14777e-05
12500, 1.41362, 1.6992e-05
15000, 1.41362, 1.42313e-05
17500, 1.41363, 1.33178e-05
20000, 1.41363, 1.16199e-05
22500, 1.41362, 1.36096e-05
25000, 1.4136, 2.57373e-05
27500, 1.41358, 2.95987e-05
30000, 1.41356, 2.96978e-05
32500, 1.41356, 2.82892e-05
35000, 1.41356, 2.66882e-05
37500, 1.41357, 2.6061e-05
40000, 1.41358, 2.51284e-05
42500, 1.41358, 2.37197e-05
45000, 1.41358, 2.26754e-05
47500, 1.41357, 2.16882e-05
50000, 1.41357, 2.08711e-05
52500, 1.41357, 1.99371e-05
55000, 1.41356, 1.92082e-05
57500, 1.41357, 1.8693e-05
60000, 1.41357, 1.84867e-05
62500, 1.41357, 1.7905e-05
65000, 1.41357, 1.73639e-05
67500, 1.41357, 1.79444e-05
70000, 1.41356, 1.8252e-05
72500, 1.41356, 1.77597e-05
75000, 1.41356, 1.73036e-05
77500, 1.41355, 1.68375e-05
80000, 1.41355, 1.63188e-05
82500, 1.41355, 1.58323e-05
85000, 1.41355, 1.56026e-05
87500, 1.41355, 1.51592e-05
90000, 1.41355, 1.47437e-05
92500, 1.41355, 1.4377e-05
95000, 1.41355, 1.39942e-05
97500, 1.41355, 1.37344e-05
100000, 1.41355, 1.34041e-05
102500, 1.41355, 1.31669e-05
105000, 1.41355, 1.28681e-05
107500, 1.41355, 1.26068e-05
110000, 1.41355, 1.23657e-05
112500, 1.41355, 1.20984e-05
115000, 1.41355, 1.18355e-05
117500, 1.41355, 1.16122e-05
120000, 1.41355, 1.14658e-05
122500, 1.41354, 1.2186e-05
125000, 1.41354, 1.26723e-05
127500, 1.41354, 1.26324e-05
130000, 1.41354, 1.24024e-05
132500, 1.41354, 1.24128e-05
135000, 1.41353, 1.23196e-05
137500, 1.41353, 1.21038e-05
140000, 1.41354, 1.2102e-05
142500, 1.41354, 1.20745e-05
145000, 1.41354, 1.20619e-05
147500, 1.41354, 1.18678e-05
150000, 1.41354, 1.17752e-05
152500, 1.41354, 1.16379e-05
155000, 1.41354, 1.14793e-05
157500, 1.41354, 1.14768e-05
160000, 1.41354, 1.13343e-05
162500, 1.41354, 1.11789e-05
165000, 1.41354, 1.10778e-05
167500, 1.41354, 1.09144e-05
170000, 1.41354, 1.08001e-05
172500, 1.41354, 1.06899e-05
175000, 1.41355, 1.05817e-05
177500, 1.41354, 1.04382e-05
180000, 1.41354, 1.02934e-05
182500, 1.41355, 1.01848e-05
185000, 1.41354, 1.00793e-05
187500, 1.41354, 1.00253e-05
190000, 1.41354, 9.89343e-06
192500, 1.41354, 9.84106e-06
195000, 1.41355, 9.806e-06
197500, 1.41355, 9.69995e-06
200000, 1.41355, 9.60807e-06
202500, 1.41355, 9.5142e-06
205000, 1.41355, 9.4066e-06
207500, 1.41355, 9.30918e-06
210000, 1.41355, 9.19784e-06
212500, 1.41355, 9.09534e-06
215000, 1.41355, 8.98993e-06
217500, 1.41355, 8.89181e-06
220000, 1.41355, 8.79744e-06
222500, 1.41355, 8.70988e-06
225000, 1.41355, 8.61267e-06
227500, 1.41355, 8.66873e-06
230000, 1.41355, 8.64927e-06
232500, 1.41355, 8.71956e-06
235000, 1.41355, 8.66438e-06
237500, 1.41355, 8.63534e-06
240000, 1.41355, 8.59349e-06
242500, 1.41355, 8.51785e-06
245000, 1.41356, 8.45455e-06
247500, 1.41356, 8.46914e-06
250000, 1.41356, 8.45055e-06
