M, pres, pres_error
2500,0.0504526, 0
5000,0.0502068, 0.000245767
7500,0.0498144, 0.000417268
10000,0.0496349, 0.000345363
12500,0.0495478, 0.000281364
15000,0.0494187, 0.000263481
17500,0.0499109, 0.000540228
20000,0.0499077, 0.000467862
22500,0.0497026, 0.000460792
25000,0.0495652, 0.000434425
27500,0.0495311, 0.000394431
30000,0.049502, 0.000361239
32500,0.0497131, 0.000393658
35000,0.0497093, 0.000364476
37500,0.049676, 0.000340931
40000,0.0497132, 0.000321068
42500,0.0495728, 0.000332666
45000,0.0495435, 0.000315007
47500,0.0494446, 0.000313939
50000,0.0495505, 0.000316077
52500,0.0494649, 0.000312596
55000,0.0492789, 0.000351338
57500,0.049318, 0.000337987
60000,0.0494275, 0.000341615
62500,0.0493487, 0.000336998
65000,0.0493638, 0.00032413
67500,0.0492617, 0.000328183
70000,0.0492605, 0.000316248
72500,0.0493285, 0.000312634
75000,0.0492838, 0.000305316
77500,0.0492785, 0.00029535
80000,0.0492628, 0.000286406
82500,0.0491751, 0.000291103
85000,0.0491458, 0.000283929
87500,0.04914, 0.000275758
90000,0.0490684, 0.000277388
92500,0.0490401, 0.000271269
95000,0.0490406, 0.000264034
97500,0.0490242, 0.000257693
100000,0.0490272, 0.000251185
102500,0.049044, 0.00024556
105000,0.049096, 0.000245206
107500,0.0491722, 0.000251286
110000,0.0491604, 0.000245793
112500,0.0491922, 0.00024236
115000,0.0490873, 0.000259212
117500,0.0490652, 0.000254597
120000,0.0490837, 0.000249925
122500,0.0491223, 0.000247797
125000,0.049115, 0.000242901
127500,0.0491484, 0.000240419
130000,0.0491328, 0.000236265
132500,0.0491, 0.00023407
135000,0.0491346, 0.000232291
137500,0.0491487, 0.000228462
140000,0.0491921, 0.000228497
142500,0.0491721, 0.000225337
145000,0.0492047, 0.000223794
147500,0.0492019, 0.000219985
150000,0.0492138, 0.000216614
152500,0.049248, 0.000215768
155000,0.0492507, 0.000212275
157500,0.0492561, 0.00020895
160000,0.0493036, 0.000211068
162500,0.0493031, 0.000207796
165000,0.0493286, 0.000206206
167500,0.0493329, 0.00020315
170000,0.0493291, 0.000200175
172500,0.0493376, 0.000197433
175000,0.0493365, 0.000194595
177500,0.0493394, 0.000191857
180000,0.0493576, 0.000190041
182500,0.0493549, 0.000187438
185000,0.0493244, 0.000187388
187500,0.0493405, 0.000185569
190000,0.0493528, 0.000183524
192500,0.0493102, 0.000186059
195000,0.049332, 0.000184954
197500,0.0493319, 0.000182598
200000,0.0493399, 0.000180481
202500,0.0493206, 0.000179289
205000,0.0493153, 0.000177169
207500,0.0493087, 0.000175145
210000,0.0493074, 0.000173052
212500,0.0492831, 0.000172733
215000,0.0492998, 0.000171529
217500,0.0493282, 0.000171911
220000,0.049317, 0.000170317
222500,0.0493216, 0.000168457
225000,0.0492939, 0.000168856
227500,0.0492955, 0.000166997
230000,0.0492738, 0.000166594
232500,0.0492989, 0.00016669
235000,0.0492951, 0.000164951
237500,0.0492524, 0.000168697
240000,0.0492321, 0.000168158
242500,0.0492144, 0.000167354
245000,0.0492168, 0.000165654
247500,0.0492224, 0.000164068
250000,0.0492388, 0.000163249
