M, ekin, ekin_error
2500, 1.60947, 0
5000, 1.60825, 0.00121451
7500, 1.6118, 0.00361366
10000, 1.61619, 0.00507889
12500, 1.61619, 0.00393409
15000, 1.61777, 0.00358097
17500, 1.62396, 0.00688775
20000, 1.62106, 0.00663313
22500, 1.61949, 0.00605581
25000, 1.62231, 0.00610642
27500, 1.61995, 0.00600616
30000, 1.61788, 0.00586211
32500, 1.61729, 0.00542462
35000, 1.61721, 0.00502279
37500, 1.61912, 0.00504965
40000, 1.61959, 0.00474716
42500, 1.62131, 0.00477872
45000, 1.62177, 0.00452862
47500, 1.62317, 0.00450571
50000, 1.62303, 0.00427676
52500, 1.62259, 0.00409109
55000, 1.62217, 0.00392307
57500, 1.62271, 0.00378744
60000, 1.62303, 0.00363963
62500, 1.62186, 0.00367966
65000, 1.62057, 0.0037635
67500, 1.61913, 0.00389899
70000, 1.61809, 0.00389765
72500, 1.61766, 0.00378593
75000, 1.61867, 0.0037963
77500, 1.61835, 0.00368568
80000, 1.6186, 0.00357689
82500, 1.61849, 0.00346844
85000, 1.61818, 0.00337933
87500, 1.6181, 0.00328238
90000, 1.61804, 0.00319037
92500, 1.61714, 0.00323201
95000, 1.61705, 0.00314702
97500, 1.6176, 0.00311529
100000, 1.61765, 0.00303678
102500, 1.61829, 0.00302935
105000, 1.61787, 0.00298538
107500, 1.61737, 0.002958
110000, 1.617, 0.00291308
112500, 1.61761, 0.0029106
115000, 1.61728, 0.0028655
117500, 1.61704, 0.00281378
120000, 1.61754, 0.00279966
122500, 1.61721, 0.00276222
125000, 1.61728, 0.00270727
127500, 1.61713, 0.00265796
130000, 1.61738, 0.00261909
132500, 1.61707, 0.00258849
135000, 1.61662, 0.00257999
137500, 1.61682, 0.00254068
140000, 1.6165, 0.00251525
142500, 1.6169, 0.00250269
145000, 1.61678, 0.00246206
147500, 1.61655, 0.00243093
150000, 1.61591, 0.00247354
152500, 1.61594, 0.00243277
155000, 1.61625, 0.00241382
157500, 1.61597, 0.00239121
160000, 1.6161, 0.00235708
162500, 1.61604, 0.00232146
165000, 1.61582, 0.00229585
167500, 1.61665, 0.00240793
170000, 1.61687, 0.00238239
172500, 1.61734, 0.00239467
175000, 1.61759, 0.00237274
177500, 1.6175, 0.0023409
180000, 1.61757, 0.00230926
182500, 1.61775, 0.00228459
185000, 1.61727, 0.00230386
187500, 1.61739, 0.0022761
190000, 1.61717, 0.00225639
192500, 1.61703, 0.00223156
195000, 1.61679, 0.00221517
197500, 1.61712, 0.00221176
200000, 1.61738, 0.00219843
202500, 1.61743, 0.00217189
205000, 1.61721, 0.00215715
207500, 1.61728, 0.00213218
210000, 1.61725, 0.00210689
212500, 1.61743, 0.00208979
215000, 1.61745, 0.00206551
217500, 1.61768, 0.00205474
220000, 1.61777, 0.00203298
222500, 1.61798, 0.00202089
225000, 1.61803, 0.00199902
227500, 1.61768, 0.00200829
230000, 1.61749, 0.00199504
232500, 1.61737, 0.00197692
235000, 1.6174, 0.00195591
237500, 1.61765, 0.00195146
240000, 1.6179, 0.00194773
242500, 1.61806, 0.00193391
245000, 1.61827, 0.00192523
247500, 1.618, 0.00192485
250000, 1.618, 0.00190552
