M, epot, epot_error
2500, -5.45716, 0
5000, -5.4563, 0.000859351
7500, -5.46008, 0.00381825
10000, -5.46458, 0.00524128
12500, -5.46476, 0.00406422
15000, -5.46635, 0.00367808
17500, -5.47271, 0.00707798
20000, -5.46971, 0.00682221
22500, -5.46843, 0.00615147
25000, -5.4713, 0.00620244
27500, -5.46903, 0.00604961
30000, -5.46687, 0.00593079
32500, -5.46623, 0.00549274
35000, -5.46598, 0.00509145
37500, -5.46786, 0.00510036
40000, -5.46831, 0.0047912
42500, -5.47006, 0.00482898
45000, -5.47051, 0.00457539
47500, -5.47191, 0.00454925
50000, -5.47174, 0.0043193
52500, -5.47129, 0.00413298
55000, -5.47081, 0.00396935
57500, -5.47139, 0.00383657
60000, -5.47163, 0.00368132
62500, -5.47044, 0.00372615
65000, -5.46906, 0.00383842
67500, -5.46755, 0.00399056
70000, -5.46643, 0.00400439
72500, -5.46596, 0.00389256
75000, -5.46696, 0.00389188
77500, -5.4666, 0.00378141
80000, -5.46685, 0.00366985
82500, -5.46674, 0.00355875
85000, -5.46642, 0.00346712
87500, -5.46633, 0.00336776
90000, -5.46624, 0.00327402
92500, -5.46531, 0.00331722
95000, -5.46524, 0.00322961
97500, -5.46579, 0.00319429
100000, -5.46581, 0.00311343
102500, -5.46644, 0.00310247
105000, -5.46603, 0.00305611
107500, -5.4655, 0.00302964
110000, -5.46515, 0.00298104
112500, -5.46579, 0.00298328
115000, -5.46547, 0.00293525
117500, -5.4652, 0.00288447
120000, -5.46572, 0.00287181
122500, -5.46538, 0.00283331
125000, -5.46545, 0.00277686
127500, -5.46531, 0.00272541
130000, -5.46558, 0.0026864
132500, -5.46529, 0.00265159
135000, -5.46484, 0.00264037
137500, -5.46502, 0.00259781
140000, -5.46469, 0.00257217
142500, -5.46505, 0.00255239
145000, -5.46493, 0.00251054
147500, -5.46468, 0.00248119
150000, -5.46404, 0.00252151
152500, -5.46409, 0.0024804
155000, -5.4644, 0.00245905
157500, -5.46413, 0.0024343
160000, -5.46427, 0.00239989
162500, -5.46418, 0.00236432
165000, -5.46396, 0.00233859
167500, -5.46479, 0.00245001
170000, -5.465, 0.00242238
172500, -5.46548, 0.00243544
175000, -5.46572, 0.00241255
177500, -5.46562, 0.00238077
180000, -5.46568, 0.00234826
182500, -5.46584, 0.00232137
185000, -5.46534, 0.00234192
187500, -5.46547, 0.00231399
190000, -5.46525, 0.00229417
192500, -5.46512, 0.0022678
195000, -5.46486, 0.00225339
197500, -5.4652, 0.00224983
200000, -5.46545, 0.00223537
202500, -5.46549, 0.00220807
205000, -5.46528, 0.00219153
207500, -5.46535, 0.00216604
210000, -5.46531, 0.00214044
212500, -5.46547, 0.00212138
215000, -5.46549, 0.00209666
217500, -5.4657, 0.00208248
220000, -5.46577, 0.00206004
222500, -5.46597, 0.00204671
225000, -5.46603, 0.0020247
227500, -5.46568, 0.00203309
230000, -5.46549, 0.00201931
232500, -5.46536, 0.00200168
235000, -5.46538, 0.00198034
237500, -5.46563, 0.00197562
240000, -5.4659, 0.00197348
242500, -5.46608, 0.00196133
245000, -5.4663, 0.0019528
247500, -5.46604, 0.00195021
250000, -5.46606, 0.00193069
