M, etot, etot_error
2500, -3.41934, 0
5000, -3.4197, 0.000355161
7500, -3.41994, 0.000316353
10000, -3.42004, 0.00024631
12500, -3.42023, 0.000264865
15000, -3.42023, 0.000216289
17500, -3.4204, 0.000250738
20000, -3.42031, 0.000236434
22500, -3.42059, 0.000353009
25000, -3.42064, 0.000318733
27500, -3.42073, 0.000303824
30000, -3.42065, 0.00029102
32500, -3.4206, 0.000271873
35000, -3.42042, 0.000306672
37500, -3.4204, 0.000286423
40000, -3.42037, 0.000269958
42500, -3.4204, 0.000255636
45000, -3.4204, 0.000241045
47500, -3.4204, 0.000228054
50000, -3.42036, 0.000219155
52500, -3.42035, 0.000209025
55000, -3.42029, 0.000207626
57500, -3.42033, 0.00020177
60000, -3.42026, 0.000205018
62500, -3.42023, 0.000198491
65000, -3.42014, 0.00021265
67500, -3.42007, 0.000215011
70000, -3.41999, 0.000222143
72500, -3.41996, 0.000217494
75000, -3.41994, 0.000210622
77500, -3.4199, 0.000207663
80000, -3.41991, 0.000201199
82500, -3.4199, 0.000195172
85000, -3.41989, 0.000189439
87500, -3.41989, 0.000184057
90000, -3.41986, 0.000181663
92500, -3.41983, 0.0001785
95000, -3.41984, 0.00017421
97500, -3.41984, 0.000169688
100000, -3.41981, 0.000169008
102500, -3.41981, 0.000164834
105000, -3.41981, 0.000160862
107500, -3.41979, 0.000158475
110000, -3.4198, 0.000155319
112500, -3.41983, 0.000156196
115000, -3.41984, 0.000152965
117500, -3.41981, 0.000152793
120000, -3.41983, 0.000151272
122500, -3.41983, 0.000148362
125000, -3.41982, 0.000145377
127500, -3.41984, 0.000143025
130000, -3.41985, 0.000141046
132500, -3.41987, 0.000139988
135000, -3.41988, 0.000137416
137500, -3.41985, 0.000137587
140000, -3.41984, 0.000135476
142500, -3.4198, 0.000138135
145000, -3.41981, 0.000135888
147500, -3.41978, 0.000136589
150000, -3.41978, 0.000134296
152500, -3.41981, 0.000135288
155000, -3.4198, 0.000133448
157500, -3.41981, 0.000131701
160000, -3.41982, 0.000129902
162500, -3.4198, 0.000129805
165000, -3.41979, 0.000128059
167500, -3.4198, 0.000126348
170000, -3.41978, 0.00012534
172500, -3.41979, 0.000123983
175000, -3.41979, 0.000122211
177500, -3.41977, 0.000121529
180000, -3.41976, 0.000120305
182500, -3.41974, 0.000120535
185000, -3.41973, 0.000119535
187500, -3.41974, 0.000118158
190000, -3.41973, 0.000116739
192500, -3.41975, 0.000116329
195000, -3.41972, 0.000117331
197500, -3.41973, 0.000115949
200000, -3.41972, 0.000114547
202500, -3.41971, 0.000113802
205000, -3.41972, 0.000112998
207500, -3.41972, 0.000111656
210000, -3.41972, 0.000110455
212500, -3.4197, 0.000110581
215000, -3.41969, 0.000109412
217500, -3.41967, 0.000111565
220000, -3.41966, 0.00011064
222500, -3.41965, 0.000109679
225000, -3.41965, 0.000108615
227500, -3.41966, 0.000107422
230000, -3.41966, 0.000106261
232500, -3.41964, 0.000105902
235000, -3.41964, 0.00010496
237500, -3.41964, 0.00010386
240000, -3.41965, 0.000103917
242500, -3.41968, 0.000105496
245000, -3.41968, 0.000104555
247500, -3.4197, 0.000104217
250000, -3.41971, 0.000103671
