M, pres, pres_error
2500,1.41362, 0
5000,1.41774, 0.00412565
7500,1.42067, 0.00377432
10000,1.38669, 0.034089
12500,1.37898, 0.0275076
15000,1.36376, 0.0271298
17500,1.32878, 0.0418214
20000,1.35066, 0.0423119
22500,1.35878, 0.0381903
25000,1.3478, 0.0358821
27500,1.35623, 0.0335339
30000,1.36129, 0.0310273
32500,1.36654, 0.0290198
35000,1.37257, 0.0275355
37500,1.36142, 0.0279517
40000,1.35764, 0.0264188
42500,1.35615, 0.024861
45000,1.35316, 0.0236289
47500,1.3464, 0.0233497
50000,1.34675, 0.0221542
52500,1.34903, 0.0211951
55000,1.35066, 0.0202749
57500,1.34519, 0.0201306
60000,1.34649, 0.019317
62500,1.35386, 0.0199413
65000,1.36056, 0.0202977
67500,1.36925, 0.0213774
70000,1.37614, 0.0217214
72500,1.38002, 0.0213137
75000,1.37496, 0.0212032
77500,1.37595, 0.0205318
80000,1.37421, 0.0199562
82500,1.37476, 0.0193501
85000,1.37671, 0.0188726
87500,1.37533, 0.0183774
90000,1.37682, 0.0179223
92500,1.38289, 0.0184579
95000,1.38227, 0.0179765
97500,1.38078, 0.0175729
100000,1.38021, 0.0171374
102500,1.37777, 0.0168905
105000,1.37956, 0.0165802
107500,1.38136, 0.01629
110000,1.38313, 0.0160132
112500,1.37936, 0.0161001
115000,1.38192, 0.015952
117500,1.38154, 0.0156135
120000,1.37936, 0.0154389
122500,1.38161, 0.0152869
125000,1.38232, 0.0149947
127500,1.38243, 0.0146982
130000,1.37985, 0.0146427
132500,1.38073, 0.0143912
135000,1.38423, 0.014548
137500,1.3835, 0.0142996
140000,1.38591, 0.0142464
142500,1.38481, 0.0140373
145000,1.38694, 0.0139565
147500,1.38885, 0.0138509
150000,1.3917, 0.0139137
152500,1.3923, 0.0136967
155000,1.39038, 0.0136107
157500,1.39256, 0.0135703
160000,1.39169, 0.013385
162500,1.3925, 0.0132022
165000,1.3933, 0.0130256
167500,1.38941, 0.0134065
170000,1.38884, 0.0132205
172500,1.38734, 0.0131128
175000,1.38694, 0.0129304
177500,1.38873, 0.0128729
180000,1.38815, 0.0127061
182500,1.38723, 0.0125649
185000,1.38867, 0.0124775
187500,1.38772, 0.0123469
190000,1.38995, 0.0123853
192500,1.39118, 0.0122855
195000,1.39335, 0.0123198
197500,1.39294, 0.0121697
200000,1.39089, 0.01219
202500,1.39064, 0.0120412
205000,1.39246, 0.0120328
207500,1.39258, 0.0118875
210000,1.39223, 0.0117503
212500,1.39099, 0.0116773
215000,1.39088, 0.0115412
217500,1.39046, 0.0114155
220000,1.38941, 0.0113342
222500,1.38888, 0.0112185
225000,1.39006, 0.0111552
227500,1.39157, 0.0111348
230000,1.39222, 0.0110325
232500,1.39342, 0.0109786
235000,1.39355, 0.010862
237500,1.3922, 0.0108324
240000,1.39098, 0.0107882
242500,1.39023, 0.0107028
245000,1.38936, 0.0106281
247500,1.38986, 0.0105319
250000,1.38982, 0.0104261
