M, temp, temp_error
2500, 1.07298, 0
5000, 1.07217, 0.000809674
7500, 1.07453, 0.00240911
10000, 1.07746, 0.00338592
12500, 1.07746, 0.00262273
15000, 1.07851, 0.00238731
17500, 1.08264, 0.00459183
20000, 1.08071, 0.00442209
22500, 1.07966, 0.00403721
25000, 1.08154, 0.00407095
27500, 1.07997, 0.0040041
30000, 1.07859, 0.00390807
32500, 1.07819, 0.00361641
35000, 1.07814, 0.00334852
37500, 1.07941, 0.00336643
40000, 1.07973, 0.00316477
42500, 1.08087, 0.00318581
45000, 1.08118, 0.00301908
47500, 1.08211, 0.00300381
50000, 1.08202, 0.00285117
52500, 1.08173, 0.00272739
55000, 1.08145, 0.00261538
57500, 1.08181, 0.00252496
60000, 1.08202, 0.00242642
62500, 1.08124, 0.00245311
65000, 1.08038, 0.002509
67500, 1.07942, 0.00259932
70000, 1.07873, 0.00259843
72500, 1.07844, 0.00252395
75000, 1.07912, 0.00253087
77500, 1.0789, 0.00245712
80000, 1.07906, 0.00238459
82500, 1.07899, 0.00231229
85000, 1.07879, 0.00225288
87500, 1.07873, 0.00218825
90000, 1.07869, 0.00212692
92500, 1.07809, 0.00215467
95000, 1.07803, 0.00209802
97500, 1.0784, 0.00207686
100000, 1.07843, 0.00202452
102500, 1.07886, 0.00201957
105000, 1.07858, 0.00199026
107500, 1.07825, 0.001972
110000, 1.078, 0.00194205
112500, 1.0784, 0.0019404
115000, 1.07819, 0.00191033
117500, 1.07803, 0.00187585
120000, 1.07836, 0.00186644
122500, 1.07814, 0.00184148
125000, 1.07819, 0.00180485
127500, 1.07808, 0.00177197
130000, 1.07826, 0.00174606
132500, 1.07805, 0.00172566
135000, 1.07774, 0.00171999
137500, 1.07788, 0.00169379
140000, 1.07767, 0.00167683
142500, 1.07793, 0.00166846
145000, 1.07785, 0.00164138
147500, 1.0777, 0.00162062
150000, 1.07727, 0.00164902
152500, 1.07729, 0.00162184
155000, 1.0775, 0.00160921
157500, 1.07732, 0.00159414
160000, 1.0774, 0.00157139
162500, 1.07736, 0.00154764
165000, 1.07722, 0.00153057
167500, 1.07777, 0.00160528
170000, 1.07791, 0.00158826
172500, 1.07823, 0.00159645
175000, 1.07839, 0.00158183
177500, 1.07833, 0.0015606
180000, 1.07838, 0.00153951
182500, 1.0785, 0.00152306
185000, 1.07818, 0.00153591
187500, 1.07826, 0.0015174
190000, 1.07811, 0.00150426
192500, 1.07802, 0.0014877
195000, 1.07786, 0.00147678
197500, 1.07808, 0.00147451
200000, 1.07825, 0.00146562
202500, 1.07829, 0.00144792
205000, 1.07814, 0.0014381
207500, 1.07819, 0.00142145
210000, 1.07816, 0.00140459
212500, 1.07828, 0.00139319
215000, 1.0783, 0.001377
217500, 1.07846, 0.00136983
220000, 1.07851, 0.00135532
222500, 1.07865, 0.00134726
225000, 1.07869, 0.00133268
227500, 1.07845, 0.00133886
230000, 1.07833, 0.00133003
232500, 1.07825, 0.00131795
235000, 1.07826, 0.00130394
237500, 1.07843, 0.00130097
240000, 1.0786, 0.00129848
242500, 1.07871, 0.00128927
245000, 1.07884, 0.00128349
247500, 1.07866, 0.00128323
250000, 1.07867, 0.00127035
