M, epot, epot_error
2500, -7.51421, 0
5000, -7.51083, 0.0033777
7500, -7.51296, 0.00289071
10000, -7.51431, 0.00244771
12500, -7.51351, 0.00205708
15000, -7.51302, 0.00174865
17500, -7.51259, 0.00154113
20000, -7.51158, 0.00166924
22500, -7.51161, 0.00147242
25000, -7.512, 0.00137394
27500, -7.51171, 0.00127645
30000, -7.512, 0.00120008
32500, -7.51185, 0.00111405
35000, -7.51154, 0.00107845
37500, -7.51173, 0.00102365
40000, -7.51169, 0.000958495
42500, -7.51179, 0.000905322
45000, -7.51165, 0.000865082
47500, -7.51164, 0.000818295
50000, -7.51174, 0.000782385
52500, -7.51132, 0.000852783
55000, -7.51121, 0.000820972
57500, -7.51115, 0.000787073
60000, -7.51108, 0.000756822
62500, -7.51101, 0.000728882
65000, -7.51079, 0.000732819
67500, -7.51082, 0.000705584
70000, -7.51087, 0.000681882
72500, -7.51077, 0.000664993
75000, -7.51074, 0.000643371
77500, -7.51074, 0.000622273
80000, -7.51088, 0.000617735
82500, -7.51086, 0.000598844
85000, -7.51097, 0.000591312
87500, -7.51078, 0.00060782
90000, -7.51078, 0.000590756
92500, -7.51075, 0.000575649
95000, -7.51075, 0.000560321
97500, -7.51091, 0.000567262
100000, -7.51091, 0.0005529
102500, -7.51089, 0.000539529
105000, -7.51104, 0.000547405
107500, -7.51092, 0.000548215
110000, -7.51087, 0.00053757
112500, -7.51083, 0.000527516
115000, -7.51086, 0.000517339
117500, -7.51088, 0.000506482
120000, -7.51094, 0.000499175
122500, -7.51083, 0.000501095
125000, -7.51077, 0.000494427
127500, -7.51087, 0.00049582
130000, -7.51093, 0.000488828
132500, -7.51085, 0.000485665
135000, -7.51088, 0.000477525
137500, -7.51096, 0.000475068
140000, -7.51088, 0.000472974
142500, -7.51091, 0.000465687
145000, -7.51091, 0.000457587
147500, -7.5109, 0.000449923
150000, -7.5109, 0.000442364
152500, -7.5109, 0.000435068
155000, -7.51096, 0.000433533
157500, -7.51104, 0.000432667
160000, -7.51111, 0.000431923
162500, -7.51106, 0.000427685
165000, -7.51115, 0.000430497
167500, -7.51115, 0.000424024
170000, -7.51116, 0.000417828
172500, -7.51111, 0.000415426
175000, -7.51109, 0.000409653
177500, -7.51103, 0.000408303
180000, -7.51089, 0.000427153
182500, -7.51091, 0.00042185
185000, -7.51081, 0.000428769
187500, -7.51092, 0.000438472
190000, -7.51088, 0.000435004
192500, -7.51089, 0.000429511
195000, -7.51096, 0.000429575
197500, -7.5109, 0.000427784
200000, -7.51099, 0.000430522
202500, -7.51097, 0.000425516
205000, -7.51101, 0.000421753
207500, -7.51092, 0.00042497
210000, -7.51092, 0.000419914
212500, -7.51084, 0.000422328
215000, -7.51088, 0.000419491
217500, -7.5109, 0.000415308
220000, -7.51089, 0.000410655
222500, -7.5109, 0.000406051
225000, -7.51091, 0.000401667
227500, -7.51093, 0.000397671
230000, -7.51095, 0.000393671
232500, -7.51097, 0.000389866
235000, -7.51094, 0.000386338
237500, -7.51095, 0.000382368
240000, -7.51093, 0.000379205
242500, -7.51095, 0.000375789
245000, -7.5109, 0.00037471
247500, -7.51092, 0.000371199
250000, -7.51088, 0.000369581
