M, etot, etot_error
2500, -5.433, 0
5000, -5.43344, 0.000446938
7500, -5.4337, 0.000367461
10000, -5.43385, 0.000299497
12500, -5.43374, 0.000258701
15000, -5.43378, 0.000214382
17500, -5.43369, 0.000199017
20000, -5.43361, 0.000192452
22500, -5.43371, 0.000198142
25000, -5.43372, 0.000177645
27500, -5.43375, 0.00016233
30000, -5.43376, 0.000148689
32500, -5.43376, 0.00013678
35000, -5.43378, 0.00012864
37500, -5.43375, 0.000124383
40000, -5.4337, 0.000126127
42500, -5.43364, 0.000134707
45000, -5.4337, 0.000141115
47500, -5.43368, 0.000134475
50000, -5.43364, 0.000132621
52500, -5.4336, 0.00013304
55000, -5.4336, 0.000126867
57500, -5.43361, 0.000121338
60000, -5.43355, 0.000126988
62500, -5.43356, 0.00012188
65000, -5.43354, 0.000119185
67500, -5.43353, 0.000114838
70000, -5.43351, 0.00011333
72500, -5.4335, 0.000109779
75000, -5.43348, 0.000106654
77500, -5.43351, 0.000105492
80000, -5.43353, 0.000103925
82500, -5.43352, 0.000100738
85000, -5.43354, 9.85793e-05
87500, -5.4335, 0.000102682
90000, -5.4335, 9.98514e-05
92500, -5.43349, 9.71461e-05
95000, -5.43349, 9.45671e-05
97500, -5.4335, 9.26949e-05
100000, -5.43352, 9.22611e-05
102500, -5.43352, 9.01039e-05
105000, -5.43353, 8.85782e-05
107500, -5.43354, 8.70148e-05
110000, -5.43352, 8.70049e-05
112500, -5.43352, 8.50499e-05
115000, -5.43353, 8.38755e-05
117500, -5.43353, 8.21216e-05
120000, -5.43354, 8.07749e-05
122500, -5.43354, 7.91988e-05
125000, -5.43353, 7.76156e-05
127500, -5.43354, 7.62222e-05
130000, -5.43356, 7.67985e-05
132500, -5.43355, 7.54039e-05
135000, -5.43357, 7.63995e-05
137500, -5.43358, 7.5717e-05
140000, -5.43359, 7.45547e-05
142500, -5.43359, 7.32387e-05
145000, -5.4336, 7.21574e-05
147500, -5.43359, 7.10024e-05
150000, -5.43359, 6.99305e-05
152500, -5.43358, 6.89419e-05
155000, -5.43358, 6.78397e-05
157500, -5.4336, 6.76449e-05
160000, -5.43362, 7.03532e-05
162500, -5.43361, 6.96523e-05
165000, -5.43361, 6.86619e-05
167500, -5.43362, 6.77212e-05
170000, -5.4336, 6.85131e-05
172500, -5.4336, 6.75831e-05
175000, -5.4336, 6.67124e-05
177500, -5.43358, 6.67373e-05
180000, -5.43358, 6.59228e-05
182500, -5.43358, 6.50139e-05
185000, -5.43358, 6.42229e-05
187500, -5.43359, 6.44304e-05
190000, -5.43358, 6.36386e-05
192500, -5.43358, 6.2854e-05
195000, -5.43359, 6.24021e-05
197500, -5.43359, 6.16669e-05
200000, -5.4336, 6.1529e-05
202500, -5.43359, 6.1316e-05
205000, -5.43358, 6.07174e-05
207500, -5.43358, 6.04297e-05
210000, -5.43357, 6.01296e-05
212500, -5.43356, 5.97487e-05
215000, -5.43355, 6.11579e-05
217500, -5.43354, 6.05774e-05
220000, -5.43355, 6.00476e-05
222500, -5.43354, 5.94101e-05
225000, -5.43355, 5.93805e-05
227500, -5.43356, 5.88011e-05
230000, -5.43355, 5.81983e-05
232500, -5.43356, 5.84726e-05
235000, -5.43357, 5.78545e-05
237500, -5.43357, 5.75419e-05
240000, -5.43358, 5.71358e-05
242500, -5.43358, 5.65447e-05
245000, -5.43358, 5.61636e-05
247500, -5.43359, 5.60959e-05
250000, -5.43359, 5.55775e-05
