M, pres, pres_error
2500,7.75539, 0
5000,7.77822, 0.0228287
7500,7.77066, 0.0151956
10000,7.76539, 0.011965
12500,7.77232, 0.0115713
15000,7.77541, 0.00993948
17500,7.77752, 0.00866306
20000,7.78346, 0.00956898
22500,7.78376, 0.00844436
25000,7.781, 0.00804312
27500,7.78367, 0.00774876
30000,7.78333, 0.00708171
32500,7.78299, 0.00652305
35000,7.78547, 0.00652817
37500,7.78381, 0.00629884
40000,7.78419, 0.00590403
42500,7.78408, 0.00554687
45000,7.78472, 0.00526875
47500,7.78461, 0.0049851
50000,7.78452, 0.00473001
52500,7.78652, 0.00492066
55000,7.78709, 0.0047263
57500,7.78752, 0.00453721
60000,7.78742, 0.0043454
62500,7.78763, 0.00417335
65000,7.78871, 0.0041525
67500,7.7886, 0.00399715
70000,7.78878, 0.00385571
72500,7.78883, 0.00372074
75000,7.78886, 0.00359468
77500,7.78835, 0.00351282
80000,7.78741, 0.00352879
82500,7.78732, 0.00342152
85000,7.78692, 0.00334292
87500,7.78842, 0.00357562
90000,7.78813, 0.0034867
92500,7.78837, 0.00339957
95000,7.78855, 0.00331351
97500,7.7877, 0.00333752
100000,7.78792, 0.00326029
102500,7.7881, 0.00318525
105000,7.78779, 0.00312376
107500,7.78848, 0.00312571
110000,7.78839, 0.00305497
112500,7.78862, 0.00299523
115000,7.78849, 0.00293265
117500,7.78911, 0.00293659
120000,7.78918, 0.00287561
122500,7.78985, 0.00289428
125000,7.79025, 0.00286473
127500,7.78983, 0.00283934
130000,7.78962, 0.00279234
132500,7.78967, 0.00273968
135000,7.78946, 0.00269711
137500,7.78909, 0.0026733
140000,7.7893, 0.00263384
142500,7.78895, 0.00261092
145000,7.78917, 0.00257521
147500,7.78913, 0.00253158
150000,7.78934, 0.0024982
152500,7.78966, 0.00247673
155000,7.78938, 0.00245231
157500,7.78887, 0.00246592
160000,7.78859, 0.00244369
162500,7.78871, 0.00240922
165000,7.78797, 0.00248499
167500,7.788, 0.00244775
170000,7.78788, 0.00241446
172500,7.78835, 0.0024244
175000,7.78869, 0.0024146
177500,7.78878, 0.00238207
180000,7.78957, 0.00247586
182500,7.78935, 0.0024509
185000,7.78989, 0.00247662
187500,7.78929, 0.00251597
190000,7.78952, 0.00249302
192500,7.78946, 0.00246113
195000,7.78916, 0.00244795
197500,7.78942, 0.00243084
200000,7.78882, 0.00247517
202500,7.78883, 0.00244447
205000,7.78853, 0.002433
207500,7.78905, 0.0024594
210000,7.7889, 0.00243508
212500,7.78912, 0.00241708
215000,7.78876, 0.00241587
217500,7.78847, 0.00240561
220000,7.78839, 0.00237948
222500,7.78848, 0.00235435
225000,7.78848, 0.00232804
227500,7.78819, 0.00232074
230000,7.78802, 0.00230149
232500,7.78793, 0.00227851
235000,7.788, 0.00225518
237500,7.78791, 0.00223311
240000,7.78798, 0.00221072
242500,7.78778, 0.00219632
245000,7.7881, 0.0021974
247500,7.78819, 0.00217684
250000,7.78836, 0.00216138
