M, temp, temp_error
2500, 0.8122, 0
5000, 0.809651, 0.00254976
7500, 0.810899, 0.00193001
10000, 0.811697, 0.00158111
12500, 0.811241, 0.00130675
15000, 0.810893, 0.00112252
17500, 0.810656, 0.000977719
20000, 0.810045, 0.00104431
22500, 0.809996, 0.000922283
25000, 0.810249, 0.000862798
27500, 0.81004, 0.000808072
30000, 0.810223, 0.000760086
32500, 0.810122, 0.000706415
35000, 0.809897, 0.000691672
37500, 0.810052, 0.000662425
40000, 0.810056, 0.000619654
42500, 0.810162, 0.00059162
45000, 0.810027, 0.00057386
47500, 0.810036, 0.00054288
50000, 0.810125, 0.000522668
52500, 0.809875, 0.000556223
55000, 0.809801, 0.000535502
57500, 0.809755, 0.000513768
60000, 0.809742, 0.000492056
62500, 0.809696, 0.000474265
65000, 0.809567, 0.000473608
67500, 0.809587, 0.000456183
70000, 0.809638, 0.000442511
72500, 0.80958, 0.00043089
75000, 0.809564, 0.000416567
77500, 0.809551, 0.000403138
80000, 0.809629, 0.00039807
82500, 0.809622, 0.000385882
85000, 0.809686, 0.000379931
87500, 0.809578, 0.000384451
90000, 0.809586, 0.000373705
92500, 0.809564, 0.000364123
95000, 0.809569, 0.000354441
97500, 0.809665, 0.000358383
100000, 0.809652, 0.000349565
102500, 0.809643, 0.000341039
105000, 0.809736, 0.000345491
107500, 0.809648, 0.000348526
110000, 0.80963, 0.000341001
112500, 0.809599, 0.000334772
115000, 0.809618, 0.000327926
117500, 0.809627, 0.000321003
120000, 0.80966, 0.000316003
122500, 0.809589, 0.000317481
125000, 0.809551, 0.000313358
127500, 0.809618, 0.00031431
130000, 0.80964, 0.000308993
132500, 0.809591, 0.000307076
135000, 0.809598, 0.000301424
137500, 0.809643, 0.000299218
140000, 0.809587, 0.000299044
142500, 0.809608, 0.000294478
145000, 0.809604, 0.000289375
147500, 0.809599, 0.000284486
150000, 0.809603, 0.000279732
152500, 0.809603, 0.000275109
155000, 0.809648, 0.000274348
157500, 0.809689, 0.000273033
160000, 0.809722, 0.000270745
162500, 0.809697, 0.000267776
165000, 0.809754, 0.000269853
167500, 0.809751, 0.000265811
170000, 0.809767, 0.000262364
172500, 0.809732, 0.000260868
175000, 0.809726, 0.000257188
177500, 0.809694, 0.000255623
180000, 0.809601, 0.000268496
182500, 0.809616, 0.000265217
185000, 0.809549, 0.000269962
187500, 0.809618, 0.000275166
190000, 0.80959, 0.000272979
192500, 0.809601, 0.000269604
195000, 0.809642, 0.000269366
197500, 0.809607, 0.000268297
200000, 0.809656, 0.000269523
202500, 0.80965, 0.00026624
205000, 0.809677, 0.000264279
207500, 0.809626, 0.000265994
210000, 0.809627, 0.000262812
212500, 0.809579, 0.000264142
215000, 0.809617, 0.000263888
217500, 0.809636, 0.000261478
220000, 0.809627, 0.000258639
222500, 0.809632, 0.000255766
225000, 0.809633, 0.000252914
227500, 0.809644, 0.000250339
230000, 0.809656, 0.000247916
232500, 0.809662, 0.000245301
235000, 0.809647, 0.000243169
237500, 0.809649, 0.000240608
240000, 0.809629, 0.000238926
242500, 0.809642, 0.000236824
245000, 0.809609, 0.000236777
247500, 0.809614, 0.000234422
250000, 0.809589, 0.000233389
