M, E_mean(M), E_error(M)
2500, -0.442569, 0
5000, -0.436665, 0.00590424
7500, -0.428911, 0.00846985
10000, -0.434963, 0.00851398
12500, -0.431698, 0.00735872
15000, -0.433649, 0.00631715
17500, -0.436597, 0.00609865
20000, -0.437955, 0.00545348
22500, -0.436263, 0.00509847
25000, -0.434856, 0.00477231
27500, -0.435156, 0.00432712
30000, -0.435432, 0.00395975
32500, -0.436181, 0.00371868
35000, -0.43688, 0.00351297
37500, -0.438063, 0.00347784
40000, -0.438917, 0.0033634
42500, -0.439809, 0.00328296
45000, -0.441599, 0.00357564
47500, -0.442276, 0.00344915
50000, -0.442549, 0.00328353
52500, -0.441896, 0.00319073
55000, -0.442036, 0.00304548
57500, -0.441396, 0.0029797
60000, -0.441766, 0.00287672
62500, -0.441632, 0.00276249
65000, -0.440674, 0.00282178
67500, -0.440789, 0.00271771
70000, -0.440688, 0.00262079
72500, -0.441247, 0.00258969
75000, -0.440884, 0.00252807
77500, -0.440659, 0.00245548
80000, -0.441001, 0.00240203
82500, -0.441619, 0.0024086
85000, -0.440743, 0.00249547
87500, -0.440728, 0.00242317
90000, -0.441602, 0.00251191
92500, -0.441641, 0.0024434
95000, -0.441027, 0.00245636
97500, -0.440246, 0.00251673
100000, -0.440155, 0.00245468
102500, -0.440123, 0.00239427
105000, -0.44034, 0.00234656
107500, -0.44025, 0.00229308
110000, -0.440126, 0.00224381
112500, -0.440438, 0.00221546
115000, -0.43974, 0.00227643
117500, -0.439921, 0.0022348
120000, -0.440001, 0.00218923
122500, -0.44011, 0.00214682
125000, -0.439785, 0.00212839
127500, -0.43975, 0.00208654
130000, -0.439517, 0.00205915
132500, -0.439533, 0.00201998
135000, -0.439524, 0.00198224
137500, -0.439346, 0.00195405
140000, -0.4392, 0.00192434
142500, -0.43964, 0.00194081
145000, -0.439649, 0.00190708
147500, -0.43972, 0.00187585
150000, -0.439392, 0.00187334
152500, -0.439365, 0.00184258
155000, -0.438904, 0.00187023
157500, -0.438602, 0.00186485
160000, -0.439099, 0.00190138
162500, -0.439191, 0.00187418
165000, -0.439414, 0.00185897
167500, -0.439739, 0.00185963
170000, -0.439813, 0.00183359
172500, -0.439478, 0.00183766
175000, -0.439577, 0.00181391
177500, -0.43948, 0.00179082
180000, -0.43931, 0.00177387
182500, -0.439358, 0.00175004
185000, -0.439491, 0.00173137
187500, -0.439488, 0.00170814
190000, -0.43974, 0.00170427
192500, -0.440006, 0.0017028
195000, -0.440157, 0.00168765
197500, -0.440105, 0.00166698
200000, -0.440381, 0.00166904
202500, -0.440529, 0.00165492
205000, -0.440539, 0.00163464
207500, -0.440539, 0.00161483
210000, -0.440826, 0.00162125
212500, -0.440893, 0.00160342
215000, -0.440675, 0.00159947
217500, -0.440675, 0.00158097
220000, -0.440778, 0.00156624
222500, -0.440948, 0.00155793
225000, -0.441189, 0.00155919
227500, -0.441111, 0.00154394
230000, -0.440993, 0.0015316
232500, -0.441126, 0.00152091
235000, -0.441368, 0.00152393
237500, -0.441441, 0.00150956
240000, -0.441432, 0.00149378
242500, -0.441183, 0.00149916
245000, -0.441125, 0.00148489
247500, -0.441242, 0.00147444
250000, -0.440959, 0.00148683
