x, pdf(x), error(x)
-4.95, 0, 0
-4.85, 0, 0
-4.75, 0, 0
-4.65, 0, 0
-4.55, 0, 0
-4.45, 0, 0
-4.35, 0, 0
-4.25, 0, 0
-4.15, 0, 0
-4.05, 0, 0
-3.95, 0, 0
-3.85, 0, 0
-3.75, 0, 0
-3.65, 0, 0
-3.55, 0, 0
-3.45, 0, 0
-3.35, 0, 0
-3.25, 0, 0
-3.15, 0, 0
-3.05, 0, 0
-2.95, 0, 0
-2.85, 0, 0
-2.75, 0, 0
-2.65, 0.00016, 0.00016
-2.55, 4e-05, 4e-05
-2.45, 0.00036, 0.000197724
-2.35, 0.00092, 0.000393297
-2.25, 0.00128, 0.000359033
-2.15, 0.00368, 0.000649923
-2.05, 0.00468, 0.000691781
-1.95, 0.01152, 0.00121443
-1.85, 0.02228, 0.00166169
-1.75, 0.03336, 0.00190457
-1.65, 0.05924, 0.00260765
-1.55, 0.091, 0.0034533
-1.45, 0.12076, 0.00326336
-1.35, 0.16764, 0.00370164
-1.25, 0.21792, 0.0046032
-1.15, 0.27028, 0.00508013
-1.05, 0.32288, 0.00573716
-0.95, 0.3708, 0.00677214
-0.85, 0.39164, 0.00747901
-0.75, 0.4114, 0.00644313
-0.65, 0.40664, 0.00590051
-0.55, 0.41064, 0.0063745
-0.45, 0.37756, 0.0059704
-0.35, 0.35652, 0.00555091
-0.25, 0.33756, 0.00513664
-0.15, 0.31612, 0.00472858
-0.05, 0.30712, 0.00497382
0.05, 0.2916, 0.00556047
0.15, 0.31524, 0.00519384
0.25, 0.32772, 0.00574762
0.35, 0.35544, 0.00630383
0.45, 0.3826, 0.00665802
0.55, 0.40404, 0.00707649
0.65, 0.41432, 0.00669381
0.75, 0.40948, 0.00689023
0.85, 0.40604, 0.00677929
0.95, 0.36492, 0.00570178
1.05, 0.33016, 0.00664029
1.15, 0.27404, 0.00479174
1.25, 0.21088, 0.00410846
1.35, 0.16008, 0.00429761
1.45, 0.12028, 0.00365735
1.55, 0.0824, 0.0030479
1.65, 0.05508, 0.00246764
1.75, 0.03532, 0.00191036
1.85, 0.02164, 0.00151821
1.95, 0.01188, 0.00120129
2.05, 0.0064, 0.000935927
2.15, 0.00324, 0.000634866
2.25, 0.00156, 0.000354572
2.35, 0.0012, 0.000456601
2.45, 0.00032, 0.000232196
2.55, 4e-05, 4e-05
2.65, 4e-05, 4e-05
2.75, 0, 0
2.85, 0, 0
2.95, 0, 0
3.05, 4e-05, 4e-05
3.15, 0, 0
3.25, 0, 0
3.35, 0, 0
3.45, 0, 0
3.55, 0, 0
3.65, 0, 0
3.75, 0, 0
3.85, 0, 0
3.95, 0, 0
4.05, 0, 0
4.15, 0, 0
4.25, 0, 0
4.35, 0, 0
4.45, 0, 0
4.55, 0, 0
4.65, 0, 0
4.75, 0, 0
4.85, 0, 0
4.95, 0, 0
