mu, sigma, E
0.6, 0.4, 0.167159
0.6, 0.402, 0.164926
0.6, 0.404, 0.150509
0.6, 0.406, 0.127841
0.6, 0.408, 0.106882
0.6, 0.41, 0.113333
0.6, 0.412, 0.0750355
0.6, 0.414, 0.0788074
0.6, 0.416, 0.0734109
0.6, 0.418, 0.0357388
0.6, 0.42, 0.0531606
0.6, 0.422, 0.0507635
0.6, 0.424, 0.0316021
0.6, 0.426, 0.00641028
0.6, 0.428, -0.00125098
0.6, 0.43, -0.0138019
0.6, 0.432, -0.0123516
0.6, 0.434, -0.0326541
0.6, 0.436, -0.0345241
0.6, 0.438, -0.0419312
0.6, 0.44, -0.0601834
0.6, 0.442, -0.0604721
0.6, 0.444, -0.0626641
0.6, 0.446, -0.079014
0.6, 0.448, -0.086684
0.6, 0.45, -0.0947262
0.6, 0.452, -0.106644
0.6, 0.454, -0.115316
0.6, 0.456, -0.11464
0.6, 0.458, -0.120891
0.6, 0.46, -0.135373
0.6, 0.462, -0.131437
0.6, 0.464, -0.143206
0.6, 0.466, -0.141677
0.6, 0.468, -0.151038
0.6, 0.47, -0.151997
0.6, 0.472, -0.167939
0.6, 0.474, -0.169058
0.6, 0.476, -0.162422
0.6, 0.478, -0.175548
0.6, 0.48, -0.178786
0.6, 0.482, -0.182668
0.6, 0.484, -0.188946
0.6, 0.486, -0.19943
0.6, 0.488, -0.199317
0.6, 0.49, -0.203723
0.6, 0.492, -0.215043
0.6, 0.494, -0.210285
0.6, 0.496, -0.217498
0.6, 0.498, -0.213088
0.6, 0.5, -0.220785
0.6, 0.502, -0.223281
0.6, 0.504, -0.227197
0.6, 0.506, -0.225972
0.6, 0.508, -0.232088
0.6, 0.51, -0.232853
0.6, 0.512, -0.243431
0.6, 0.514, -0.247241
0.6, 0.516, -0.242438
0.6, 0.518, -0.250044
0.6, 0.52, -0.248196
0.6, 0.522, -0.255455
0.6, 0.524, -0.258002
0.6, 0.526, -0.2558
0.6, 0.528, -0.259497
0.6, 0.53, -0.260935
0.6, 0.532, -0.262026
0.6, 0.534, -0.267181
0.6, 0.536, -0.270648
0.6, 0.538, -0.271078
0.6, 0.54, -0.279115
0.6, 0.542, -0.275694
0.6, 0.544, -0.275761
0.6, 0.546, -0.278049
0.6, 0.548, -0.281154
0.6, 0.55, -0.282694
0.6, 0.552, -0.284952
0.6, 0.554, -0.281279
0.6, 0.556, -0.289768
0.6, 0.558, -0.288086
0.6, 0.56, -0.291595
0.6, 0.562, -0.284939
0.6, 0.564, -0.291677
0.6, 0.566, -0.292196
0.6, 0.568, -0.297844
0.6, 0.57, -0.295555
0.6, 0.572, -0.293776
0.6, 0.574, -0.29898
0.6, 0.576, -0.299265
0.6, 0.578, -0.298013
0.6, 0.58, -0.3023
0.6, 0.582, -0.304505
0.6, 0.584, -0.302574
0.6, 0.586, -0.303527
0.6, 0.588, -0.307506
0.6, 0.59, -0.304856
0.6, 0.592, -0.308009
0.6, 0.594, -0.304904
0.6, 0.596, -0.307941
0.6, 0.598, -0.31361
0.6, 0.6, -0.311654
0.6, 0.602, -0.312874
0.6, 0.604, -0.31221
0.6, 0.606, -0.316992
0.6, 0.608, -0.312448
0.6, 0.61, -0.316063
0.6, 0.612, -0.313118
0.6, 0.614, -0.317329
0.6, 0.616, -0.315892
0.6, 0.618, -0.314342
0.6, 0.62, -0.319354
0.6, 0.622, -0.321008
0.6, 0.624, -0.32057
0.6, 0.626, -0.320953
0.6, 0.628, -0.319277
0.6, 0.63, -0.324522
0.6, 0.632, -0.321753
0.6, 0.634, -0.322608
0.6, 0.636, -0.322384
0.6, 0.638, -0.318583
0.6, 0.64, -0.323779
0.6, 0.642, -0.325151
0.6, 0.644, -0.32229
0.6, 0.646, -0.324556
0.6, 0.648, -0.324927
0.6, 0.65, -0.329552
0.6, 0.652, -0.323655
0.6, 0.654, -0.324586
0.6, 0.656, -0.327746
0.6, 0.658, -0.322634
0.6, 0.66, -0.322108
0.6, 0.662, -0.325468
0.6, 0.664, -0.323095
0.6, 0.666, -0.326407
0.6, 0.668, -0.324028
0.6, 0.67, -0.323837
0.6, 0.672, -0.325721
0.6, 0.674, -0.329183
0.6, 0.676, -0.329507
0.6, 0.678, -0.328158
0.6, 0.68, -0.329515
0.6, 0.682, -0.327094
0.6, 0.684, -0.332118
0.6, 0.686, -0.326785
0.6, 0.688, -0.331752
0.6, 0.69, -0.328773
0.6, 0.692, -0.325527
0.6, 0.694, -0.329029
0.6, 0.696, -0.327985
0.6, 0.698, -0.327205
0.6, 0.7, -0.328146
0.6, 0.702, -0.32724
0.6, 0.704, -0.333781
0.6, 0.706, -0.330399
0.6, 0.708, -0.329928
0.6, 0.71, -0.327844
0.6, 0.712, -0.327625
0.6, 0.714, -0.329558
0.6, 0.716, -0.332284
0.6, 0.718, -0.330602
0.6, 0.72, -0.326813
0.6, 0.722, -0.330378
0.6, 0.724, -0.329158
0.6, 0.726, -0.333832
0.6, 0.728, -0.325264
0.6, 0.73, -0.332538
0.6, 0.732, -0.323786
0.6, 0.734, -0.325018
0.6, 0.736, -0.318514
0.6, 0.738, -0.32538
0.6, 0.74, -0.3238
0.6, 0.742, -0.325018
0.6, 0.744, -0.323316
0.6, 0.746, -0.323212
0.6, 0.748, -0.326743
0.6, 0.75, -0.32868
0.6, 0.752, -0.325178
0.6, 0.754, -0.315721
0.6, 0.756, -0.321353
0.6, 0.758, -0.32582
0.6, 0.76, -0.316205
0.6, 0.762, -0.321195
0.6, 0.764, -0.31504
0.6, 0.766, -0.321713
0.6, 0.768, -0.321474
0.6, 0.77, -0.314578
0.6, 0.772, -0.320436
0.6, 0.774, -0.317159
0.6, 0.776, -0.323788
0.6, 0.778, -0.321889
0.6, 0.78, -0.321954
0.6, 0.782, -0.318601
0.6, 0.784, -0.317423
0.6, 0.786, -0.320451
0.6, 0.788, -0.318195
0.6, 0.79, -0.312209
0.6, 0.792, -0.312893
0.6, 0.794, -0.317921
0.6, 0.796, -0.318231
0.6, 0.798, -0.319055
0.602, 0.4, 0.163904
0.602, 0.402, 0.152502
0.602, 0.404, 0.142796
0.602, 0.406, 0.120918
0.602, 0.408, 0.121236
0.602, 0.41, 0.10684
0.602, 0.412, 0.0917194
0.602, 0.414, 0.0767223
0.602, 0.416, 0.0745361
0.602, 0.418, 0.047676
0.602, 0.42, 0.0502228
0.602, 0.422, 0.0236234
0.602, 0.424, 0.0212178
0.602, 0.426, 0.0193632
0.602, 0.428, 0.00427723
0.602, 0.43, -0.0162178
0.602, 0.432, -0.013111
0.602, 0.434, -0.0255753
0.602, 0.436, -0.0259789
0.602, 0.438, -0.0368094
0.602, 0.44, -0.0510137
0.602, 0.442, -0.0692619
0.602, 0.444, -0.0788944
0.602, 0.446, -0.082268
0.602, 0.448, -0.0773618
0.602, 0.45, -0.0861056
0.602, 0.452, -0.0994745
0.602, 0.454, -0.117726
0.602, 0.456, -0.115773
0.602, 0.458, -0.121162
0.602, 0.46, -0.133073
0.602, 0.462, -0.135492
0.602, 0.464, -0.138952
0.602, 0.466, -0.149345
0.602, 0.468, -0.159036
0.602, 0.47, -0.15692
0.602, 0.472, -0.157653
0.602, 0.474, -0.163286
0.602, 0.476, -0.165587
0.602, 0.478, -0.185984
0.602, 0.48, -0.188789
0.602, 0.482, -0.192764
0.602, 0.484, -0.198285
0.602, 0.486, -0.20177
0.602, 0.488, -0.194481
0.602, 0.49, -0.206131
0.602, 0.492, -0.207945
0.602, 0.494, -0.204834
0.602, 0.496, -0.218536
0.602, 0.498, -0.22086
0.602, 0.5, -0.228577
0.602, 0.502, -0.228787
0.602, 0.504, -0.232326
0.602, 0.506, -0.235384
0.602, 0.508, -0.240251
0.602, 0.51, -0.238082
0.602, 0.512, -0.247099
0.602, 0.514, -0.248095
0.602, 0.516, -0.24589
0.602, 0.518, -0.25242
0.602, 0.52, -0.255893
0.602, 0.522, -0.250373
0.602, 0.524, -0.258253
0.602, 0.526, -0.261247
0.602, 0.528, -0.26313
0.602, 0.53, -0.26893
0.602, 0.532, -0.269215
0.602, 0.534, -0.270953
0.602, 0.536, -0.273814
0.602, 0.538, -0.277614
0.602, 0.54, -0.275256
0.602, 0.542, -0.274176
0.602, 0.544, -0.277935
0.602, 0.546, -0.284645
0.602, 0.548, -0.278226
0.602, 0.55, -0.289344
0.602, 0.552, -0.284436
0.602, 0.554, -0.28689
0.602, 0.556, -0.294087
0.602, 0.558, -0.292856
0.602, 0.56, -0.292748
0.602, 0.562, -0.290239
0.602, 0.564, -0.296565
0.602, 0.566, -0.302021
0.602, 0.568, -0.296799
0.602, 0.57, -0.301413
0.602, 0.572, -0.303456
0.602, 0.574, -0.300267
0.602, 0.576, -0.303947
0.602, 0.578, -0.302483
0.602, 0.58, -0.305624
0.602, 0.582, -0.304346
0.602, 0.584, -0.308077
0.602, 0.586, -0.308784
0.602, 0.588, -0.306322
0.602, 0.59, -0.311353
0.602, 0.592, -0.304832
0.602, 0.594, -0.309505
0.602, 0.596, -0.312178
0.602, 0.598, -0.313086
