igen, l1_best, l1_mean
0, 30.1174, 38.1154
1, 26.5976, 35.4844
2, 24.4804, 33.3346
3, 22.9519, 31.1309
4, 22.9519, 29.1941
5, 17.6402, 26.8557
6, 16.0838, 25.1527
7, 14.5595, 23.7003
8, 14.5581, 22.2023
9, 14.5581, 21.3386
10, 13.1442, 20.0459
11, 12.0799, 19.2995
12, 11.5663, 18.603
13, 11.365, 17.6387
14, 11.2287, 16.798
15, 8.98107, 15.6456
16, 8.70271, 14.1663
17, 8.23791, 12.3186
18, 7.56607, 11.3378
19, 6.3811, 10.3075
20, 6.24726, 9.13764
21, 5.75021, 8.16102
22, 5.49187, 7.39329
23, 5.26284, 6.72241
24, 5.05102, 6.05264
25, 5.02501, 5.68229
26, 4.84861, 5.50548
27, 4.76888, 5.41744
28, 4.70384, 5.3179
29, 4.58703, 5.20771
30, 4.57406, 5.15048
31, 4.49067, 5.0628
32, 4.2697, 4.90438
33, 4.09275, 4.74526
34, 4.07976, 4.67329
35, 3.89037, 4.48752
36, 3.84189, 4.37072
37, 3.78683, 4.21376
38, 3.76086, 4.058
39, 3.73489, 3.9019
40, 3.7219, 3.81197
41, 3.70892, 3.75775
42, 3.69593, 3.74315
43, 3.69199, 3.73392
44, 3.69199, 3.72192
45, 3.69199, 3.71439
46, 3.68294, 3.7085
47, 3.67901, 3.70422
48, 3.67901, 3.70002
49, 3.67901, 3.68988
50, 3.67901, 3.68186
51, 3.67901, 3.67901
52, 3.67901, 3.67901
53, 3.67901, 3.67901
54, 3.67901, 3.67901
55, 3.67901, 3.67901
56, 3.67901, 3.67901
57, 3.67901, 3.67901
58, 3.67901, 3.67901
59, 3.67901, 3.67901
60, 3.67901, 3.67901
61, 3.67901, 3.67901
62, 3.67901, 3.67901
63, 3.67901, 3.67901
64, 3.67901, 3.67901
65, 3.67901, 3.67901
66, 3.67901, 3.67901
67, 3.67901, 3.67901
68, 3.67901, 3.67901
69, 3.67901, 3.67901
70, 3.67901, 3.67901
71, 3.67901, 3.67901
72, 3.67901, 3.67901
73, 3.67901, 3.67901
74, 3.67901, 3.67901
75, 3.67901, 3.67901
76, 3.67901, 3.67901
77, 3.67901, 3.67901
78, 3.67901, 3.67901
79, 3.67901, 3.67901
80, 3.67901, 3.67901
81, 3.67901, 3.67901
82, 3.67901, 3.67901
83, 3.67901, 3.67901
84, 3.67901, 3.67901
85, 3.67901, 3.67901
86, 3.67901, 3.67901
87, 3.67901, 3.67901
88, 3.67901, 3.67901
89, 3.67901, 3.67901
90, 3.67901, 3.67901
91, 3.67901, 3.67901
92, 3.67901, 3.67901
93, 3.67901, 3.67901
94, 3.67901, 3.67901
95, 3.67901, 3.67901
96, 3.67901, 3.67901
97, 3.67901, 3.67901
98, 3.67901, 3.67901
99, 3.67901, 3.67901
100, 3.67901, 3.67901
101, 3.67901, 3.67901
102, 3.67901, 3.67901
103, 3.67901, 3.67901
104, 3.67901, 3.67901
105, 3.67901, 3.67901
106, 3.67901, 3.67901
107, 3.67901, 3.67901
108, 3.67901, 3.67901
109, 3.67901, 3.67901
110, 3.67901, 3.67901
111, 3.67901, 3.67901
112, 3.67901, 3.67901
113, 3.67901, 3.67901
114, 3.67901, 3.67901
115, 3.67901, 3.67901
116, 3.67901, 3.67901
117, 3.67901, 3.67901
118, 3.67901, 3.67901
119, 3.67901, 3.67901
120, 3.67901, 3.67901
121, 3.67901, 3.67901
122, 3.67901, 3.67901
123, 3.67901, 3.67901
124, 3.67901, 3.67901
125, 3.67901, 3.67901
126, 3.67901, 3.67901
127, 3.67901, 3.67901
128, 3.67901, 3.67901
129, 3.67901, 3.67901
130, 3.67901, 3.67901
131, 3.67901, 3.67901
132, 3.67901, 3.67901
133, 3.67901, 3.67901
134, 3.67901, 3.67901
135, 3.67901, 3.67901
136, 3.67901, 3.67901
137, 3.67901, 3.67901
138, 3.67901, 3.67901
139, 3.67901, 3.67901
140, 3.67901, 3.67901
141, 3.67901, 3.67901
142, 3.67901, 3.67901
143, 3.67901, 3.67901
144, 3.67901, 3.67901
145, 3.67901, 3.67901
146, 3.67901, 3.67901
147, 3.67901, 3.67901
148, 3.67901, 3.67901
149, 3.67901, 3.67901
150, 3.67901, 3.67901
151, 3.67901, 3.67901
152, 3.67901, 3.67901
153, 3.67901, 3.67901
154, 3.67901, 3.67901
155, 3.67901, 3.67901
156, 3.67901, 3.67901
157, 3.67901, 3.67901
158, 3.67901, 3.67901
159, 3.67901, 3.67901
160, 3.67901, 3.67901
161, 3.67901, 3.67901
162, 3.67901, 3.67901
163, 3.67901, 3.67901
164, 3.67901, 3.67901
165, 3.67901, 3.67901
166, 3.67901, 3.67901
167, 3.67901, 3.67901
168, 3.67901, 3.67901
169, 3.67901, 3.67901
170, 3.67901, 3.67901
171, 3.67901, 3.67901
172, 3.67901, 3.67901
173, 3.67901, 3.67901
174, 3.67901, 3.67901
175, 3.67901, 3.67901
176, 3.67901, 3.67901
177, 3.67901, 3.67901
178, 3.67901, 3.67901
179, 3.67901, 3.67901
180, 3.67901, 3.67901
181, 3.67901, 3.67901
182, 3.67901, 3.67901
183, 3.67901, 3.67901
184, 3.67901, 3.67901
185, 3.67901, 3.67901
186, 3.67901, 3.67901
187, 3.67901, 3.67901
188, 3.67901, 3.67901
189, 3.67901, 3.67901
190, 3.67901, 3.67901
191, 3.67901, 3.67901
192, 3.67901, 3.67901
193, 3.67901, 3.67901
194, 3.67901, 3.67901
195, 3.67901, 3.67901
196, 3.67901, 3.67901
197, 3.67901, 3.67901
198, 3.67901, 3.67901
199, 3.67901, 3.67901
200, 3.67901, 3.67901
201, 3.67901, 3.67901
202, 3.67901, 3.67901
203, 3.67901, 3.67901
204, 3.67901, 3.67901
205, 3.67901, 3.67901
206, 3.67901, 3.67901
207, 3.67901, 3.67901
208, 3.67901, 3.67901
209, 3.67901, 3.67901
