igen, l1_best, l1_mean
0, 28.9077, 37.9322
1, 28.9077, 35.6079
2, 27.7808, 33.3398
3, 25.6315, 31.5821
4, 24.559, 29.8244
5, 23.933, 27.8025
6, 22.4582, 26.239
7, 21.1575, 25.2457
8, 20.9916, 24.4582
9, 20.6906, 23.2644
10, 19.3747, 22.1777
11, 19.1519, 21.3299
12, 19.1519, 20.798
13, 18.8502, 20.3539
14, 18.0301, 19.8805
15, 17.7182, 19.3216
16, 17.6543, 18.887
17, 16.701, 18.6838
18, 16.701, 18.1858
19, 16.3535, 17.8794
20, 15.9725, 17.4116
21, 15.3799, 17.0309
22, 15.3799, 16.7836
23, 15.3799, 16.3836
24, 14.9228, 16.2056
25, 13.9508, 15.7801
26, 13.8632, 15.4933
27, 13.8632, 15.0909
28, 13.5728, 14.6274
29, 13.179, 14.2704
30, 13.1657, 14.0641
31, 12.71, 14.0348
32, 12.5256, 13.7982
33, 12.2243, 13.5135
34, 11.9338, 13.5727
35, 11.4777, 13.2399
36, 11.4777, 13.0369
37, 11.4777, 12.7327
38, 11.2906, 12.3319
39, 10.0434, 11.9536
40, 9.75304, 11.5366
41, 9.75304, 11.1409
42, 9.75304, 10.5592
43, 8.97794, 10.1966
44, 8.97794, 10.0476
45, 8.9779, 10.0097
46, 8.9779, 9.79509
47, 8.28987, 9.79568
48, 8.28983, 9.55046
49, 8.27288, 9.17224
50, 7.935, 9.12256
51, 7.93496, 8.71374
52, 7.70023, 8.46055
53, 7.70023, 8.32148
54, 7.58893, 8.08542
55, 7.48631, 7.99746
56, 7.48631, 7.88077
57, 7.35802, 7.68938
58, 7.35802, 7.6188
59, 7.22426, 7.51664
60, 6.99335, 7.40188
61, 6.87694, 7.33994
62, 6.87694, 7.30146
63, 6.80894, 7.14402
64, 6.80894, 7.03111
65, 6.80894, 6.94243
66, 6.80894, 6.88955
67, 6.80894, 6.84222
68, 6.80894, 6.82453
69, 6.80894, 6.82048
70, 6.80894, 6.81173
71, 6.78449, 6.80884
72, 6.78449, 6.80949
73, 6.78449, 6.80384
74, 6.78449, 6.79931
75, 6.74175, 6.80085
76, 6.74175, 6.80174
77, 6.74175, 6.86451
78, 6.74175, 6.99743
79, 6.74175, 7.03768
80, 6.74175, 7.36084
81, 6.74175, 7.2937
82, 6.69433, 7.03154
83, 6.69433, 6.91031
84, 6.28094, 6.80724
85, 6.23351, 6.79013
86, 6.23351, 6.72521
87, 6.23351, 6.60673
88, 6.23351, 6.53339
89, 6.23351, 6.34935
90, 6.23351, 6.32551
91, 6.23351, 6.26271
92, 6.23351, 6.23719
93, 6.23351, 6.23852
94, 6.23351, 6.23573
95, 6.23351, 6.23489
96, 6.23351, 6.23605
97, 6.23351, 6.23361
98, 6.23351, 6.23412
99, 6.23351, 6.23351
100, 6.23351, 6.23351
101, 6.23351, 6.23361
102, 6.23351, 6.28215
103, 6.23351, 6.27452
104, 6.23351, 6.2667
105, 6.23351, 6.26869
106, 6.23351, 6.27372
107, 6.23351, 6.28202
108, 6.23351, 6.24506
109, 6.23351, 6.28124
110, 6.23351, 6.25931
111, 6.23351, 6.27608
112, 6.23351, 6.24665
113, 6.23351, 6.25788
114, 6.23351, 6.27449
115, 6.23351, 6.26204
116, 6.23351, 6.23972
117, 6.23351, 6.23369
118, 6.23351, 6.23351
119, 6.23351, 6.23819
120, 6.23351, 6.24767
121, 6.23351, 6.25053
122, 6.23351, 6.23903
123, 6.23351, 6.25973
124, 6.23351, 6.24494
125, 6.23351, 6.28866
126, 6.23351, 6.26102
127, 6.23351, 6.28363
128, 6.23351, 6.30929
129, 6.23351, 6.2542
130, 6.23351, 6.24646
131, 6.23351, 6.27493
132, 6.23351, 6.28245
133, 6.23351, 6.29367
134, 6.23351, 6.29723
135, 6.23351, 6.2716
136, 6.23351, 6.24379
137, 6.23351, 6.23437
138, 6.23351, 6.25151
139, 6.23351, 6.23441
140, 6.23351, 6.24728
141, 6.23351, 6.26988
142, 6.23351, 6.28287
143, 6.23351, 6.32073
144, 6.23351, 6.34888
145, 6.23351, 6.31687
146, 6.23351, 6.25267
147, 6.23351, 6.23493
148, 6.23351, 6.2544
149, 6.23351, 6.25721
150, 6.23351, 6.25125
151, 6.23351, 6.24235
152, 6.23351, 6.24666
153, 6.23351, 6.29935
154, 6.23351, 6.31742
155, 6.23351, 6.27599
156, 6.23351, 6.28829
157, 6.23351, 6.43891
158, 6.23351, 6.25325
159, 6.23351, 6.23351
160, 6.23351, 6.23361
161, 6.23351, 6.23603
162, 6.23351, 6.24915
163, 6.23351, 6.23351
164, 6.23351, 6.23351
165, 6.23351, 6.23351
166, 6.23351, 6.23351
167, 6.23351, 6.23351
168, 6.23351, 6.23351
169, 6.23351, 6.23351
170, 6.23351, 6.24259
171, 6.23351, 6.24563
172, 6.23351, 6.33059
173, 6.23351, 6.26212
174, 6.23351, 6.25034
175, 6.23351, 6.24258
176, 6.23351, 6.27025
177, 6.23351, 6.26015
178, 6.23351, 6.27912
179, 6.23351, 6.24981
180, 6.23351, 6.27333
181, 6.23351, 6.28954
182, 6.23351, 6.30043
183, 6.23351, 6.25568
184, 6.23351, 6.2501
185, 6.23351, 6.24703
186, 6.23351, 6.23493
187, 6.23351, 6.23373
188, 6.23351, 6.23485
189, 6.23351, 6.24459
190, 6.23351, 6.24483
191, 6.23351, 6.24124
192, 6.23351, 6.26371
193, 6.23351, 6.27719
194, 6.23351, 6.28552
195, 6.23351, 6.2443
196, 6.23351, 6.23351
197, 6.23351, 6.26013
198, 6.23351, 6.25823
199, 6.23351, 6.24001
200, 6.23351, 6.23351
201, 6.23351, 6.23351
202, 6.23351, 6.23369
203, 6.23351, 6.24971
204, 6.23351, 6.23915
205, 6.23351, 6.30083
206, 6.23351, 6.31067
207, 6.23351, 6.26751
208, 6.23351, 6.28632
209, 6.23351, 6.32997
210, 6.23351, 6.30443
211, 6.23351, 6.27811
212, 6.23351, 6.23351
213, 6.23351, 6.23351
214, 6.23351, 6.23351
215, 6.23351, 6.23351
216, 6.23351, 6.23351
217, 6.23351, 6.23397
218, 6.23351, 6.24279
219, 6.23351, 6.23379
220, 6.23351, 6.27052
221, 6.23351, 6.25789
222, 6.23351, 6.2426
223, 6.23351, 6.23807
224, 6.23351, 6.23517
225, 6.23351, 6.23351
226, 6.23351, 6.23351
227, 6.23351, 6.23351
228, 6.23351, 6.23351
229, 6.23351, 6.25402
230, 6.23351, 6.25217
231, 6.23351, 6.24526
232, 6.23351, 6.24954
233, 6.23351, 6.23632
234, 6.23351, 6.24748
235, 6.23351, 6.24526
236, 6.23351, 6.25699
237, 6.23351, 6.24655
238, 6.23351, 6.26878
239, 6.23351, 6.24458
240, 6.23351, 6.27381
241, 6.23351, 6.23386
242, 6.23351, 6.23645
243, 6.23351, 6.25654
244, 6.23351, 6.27304
245, 6.23351, 6.23576
246, 6.23351, 6.23875
247, 6.23351, 6.28854
248, 6.23351, 6.26086
249, 6.23351, 6.24044
250, 6.23351, 6.23713
